                            	generic_memccpy	memccpy
Length   16, n   16, char 12, alignment  1/ 1:	10.5408	10.1015
Length   16, n   16, char 23, alignment  1/ 1:	9.68109	9.39548
Length   16, n   16, char 28, alignment  1/ 2:	9.40431	9.49431
Length   16, n   16, char 31, alignment  2/ 1:	9.39807	9.3791
Length    2, n    4, char 1, alignment  7/ 2:	8.29041	8.06279
Length    4, n    2, char 17, alignment  2/ 7:	7.75589	8.56635
Length    2, n    4, char 0, alignment  7/ 2:	7.81937	7.74313
Length    4, n    2, char 1, alignment  2/ 7:	8.14772	8.85364
Length   16, n   16, char 12, alignment  2/ 2:	9.37965	9.41611
Length   16, n   16, char 23, alignment  2/ 2:	9.40706	9.40694
Length   16, n   16, char 28, alignment  2/ 4:	9.41403	9.37914
Length   16, n   16, char 31, alignment  4/ 2:	9.41246	9.7263
Length    4, n    8, char 1, alignment  6/ 4:	9.13199	9.11433
Length    8, n    4, char 17, alignment  4/ 6:	9.17451	9.75009
Length    4, n    8, char 0, alignment  6/ 4:	8.50589	8.25838
Length    8, n    4, char 2, alignment  4/ 6:	8.41991	10.868
Length   16, n   16, char 12, alignment  3/ 3:	9.73454	9.71657
Length   16, n   16, char 23, alignment  3/ 3:	9.72729	9.7258
Length   16, n   16, char 28, alignment  3/ 6:	9.72762	9.61404
Length   16, n   16, char 31, alignment  6/ 3:	9.71326	9.72893
Length    8, n   16, char 1, alignment  5/ 6:	9.15768	9.15817
Length   16, n    8, char 17, alignment  6/ 5:	9.1955	9.59607
Length    8, n   16, char 0, alignment  5/ 6:	8.22154	7.76991
Length   16, n    8, char 3, alignment  6/ 5:	7.83049	9.09109
Length   16, n   16, char 12, alignment  4/ 4:	8.78685	8.77394
Length   16, n   16, char 23, alignment  4/ 4:	8.78882	8.78629
Length   16, n   16, char 28, alignment  4/ 0:	8.78807	8.77394
Length   16, n   16, char 31, alignment  0/ 4:	8.78889	8.7885
Length   16, n   32, char 1, alignment  4/ 0:	9.17972	9.37906
Length   32, n   16, char 17, alignment  0/ 4:	9.39578	9.76903
Length   16, n   32, char 0, alignment  4/ 0:	8.7881	8.77414
Length   32, n   16, char 4, alignment  0/ 4:	8.60623	9.73215
Length   16, n   16, char 12, alignment  5/ 5:	8.78984	8.77377
Length   16, n   16, char 23, alignment  5/ 5:	8.78899	8.63742
Length   16, n   16, char 28, alignment  5/ 2:	9.02225	9.61166
Length   16, n   16, char 31, alignment  2/ 5:	9.53293	9.39372
Length   32, n   64, char 1, alignment  3/ 2:	8.27643	8.29184
Length   64, n   32, char 17, alignment  2/ 3:	8.84193	9.3951
Length   32, n   64, char 0, alignment  3/ 2:	8.27681	8.32642
Length   64, n   32, char 5, alignment  2/ 3:	8.90918	9.39767
Length   16, n   16, char 12, alignment  6/ 6:	9.37895	9.39403
Length   16, n   16, char 23, alignment  6/ 6:	9.43088	9.41379
Length   16, n   16, char 28, alignment  6/ 4:	9.37898	9.39188
Length   16, n   16, char 31, alignment  4/ 6:	9.3934	9.39572
Length   64, n  128, char 1, alignment  2/ 4:	9.38766	10.704
Length  128, n   64, char 17, alignment  4/ 2:	8.84737	9.39787
Length   64, n  128, char 0, alignment  2/ 4:	9.39525	9.38351
Length  128, n   64, char 6, alignment  4/ 2:	9.39122	11.0464
Length   16, n   16, char 12, alignment  7/ 7:	9.39261	9.39885
Length   16, n   16, char 23, alignment  7/ 7:	9.37885	9.3923
Length   16, n   16, char 28, alignment  7/ 6:	9.39728	9.39577
Length   16, n   16, char 31, alignment  6/ 7:	9.37897	9.39299
Length  128, n  256, char 1, alignment  1/ 6:	8.84106	8.84177
Length  256, n  128, char 17, alignment  6/ 1:	9.93352	10.5019
Length  128, n  256, char 0, alignment  1/ 6:	8.88483	8.84108
Length  256, n  128, char 7, alignment  6/ 1:	9.79469	10.324
Length    8, n   16, char 1, alignment  0/ 0:	8.27051	8.3999
Length   32, n   16, char 1, alignment  0/ 0:	9.39738	9.93144
Length    8, n   16, char 1, alignment  7/ 2:	8.87978	8.41734
Length   32, n   16, char 1, alignment  7/ 2:	8.78784	9.82722
Length   16, n   32, char 2, alignment  0/ 0:	8.79044	9.39281
Length   64, n   32, char 2, alignment  0/ 0:	9.05736	9.71423
Length   16, n   32, char 2, alignment  6/ 4:	9.68384	9.39128
Length   64, n   32, char 2, alignment  6/ 4:	8.84221	10.4211
Length   32, n   64, char 3, alignment  0/ 0:	8.2769	8.43977
Length  128, n   64, char 3, alignment  0/ 0:	9.72836	10.3015
Length   32, n   64, char 3, alignment  5/ 6:	8.57227	8.58371
Length  128, n   64, char 3, alignment  5/ 6:	9.16011	9.73744
Length   64, n  128, char 4, alignment  0/ 0:	9.14288	9.15584
Length  256, n  128, char 4, alignment  0/ 0:	10.3011	11.2444
Length   64, n  128, char 4, alignment  4/ 0:	10.5855	9.71408
Length  256, n  128, char 4, alignment  4/ 0:	10.8741	13.095
Length  128, n  256, char 5, alignment  0/ 0:	8.58635	9.16083
Length  512, n  256, char 5, alignment  0/ 0:	11.1575	11.2889
Length  128, n  256, char 5, alignment  3/ 2:	7.75818	7.36774
Length  512, n  256, char 5, alignment  3/ 2:	10.8854	11.648
Length  256, n  512, char 6, alignment  0/ 0:	9.71161	9.69836
Length 1024, n  512, char 6, alignment  0/ 0:	12.8405	12.9348
Length  256, n  512, char 6, alignment  2/ 4:	11.4561	11.885
Length 1024, n  512, char 6, alignment  2/ 4:	16.3753	16.4899
Length  512, n 1024, char 7, alignment  0/ 0:	12.9154	14.4219
Length 2048, n 1024, char 7, alignment  0/ 0:	26.0774	26.0112
