                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length 2048, position   32, alignment  0:	23.7303	4.547	7.01617	4.19461	3.5583	4.19203
Length  256, position   64, alignment  1:	45.9859	4.74141	6.38095	3.88953	3.95782	5.3342
Length 2048, position   32, alignment  0:	27.348	4.76215	7.06491	3.49667	4.04541	4.00069
Length  256, position   64, alignment  1:	45.4563	5.71474	6.89308	3.79869	4.01349	4.96635
Length 2048, position   64, alignment  0:	41.2484	4.14415	6.19353	3.51289	3.66641	4.96574
Length  256, position   64, alignment  2:	41.9013	3.43257	6.19354	3.59039	3.42867	4.64552
Length 2048, position   64, alignment  0:	40.4476	5.16124	6.2655	3.24817	3.222	4.18803
Length  256, position   64, alignment  2:	38.9216	3.6174	6.21031	3.42969	3.42944	4.6454
Length 2048, position  128, alignment  0:	77.2462	5.47488	5.70531	4.44777	5.15714	7.06898
Length  256, position   64, alignment  3:	40.4381	5.17432	6.19402	3.62949	4.64525	4.64554
Length 2048, position  128, alignment  0:	78.6109	4.90123	6.38794	5.10474	5.31926	8.11557
Length  256, position   64, alignment  3:	46.4425	4.74144	7.09061	3.79715	4.01726	4.91994
Length 2048, position  256, alignment  0:	172.27	8.27556	7.86835	6.87343	6.7881	11.9004
Length  256, position   64, alignment  4:	40.4301	3.43307	6.20679	3.61322	3.42946	4.66039
Length 2048, position  256, alignment  0:	177.073	7.99843	9.08359	7.60648	7.5097	13.1991
Length  256, position   64, alignment  4:	43.6962	5.71574	6.90195	3.79805	4.00031	4.9621
Length 2048, position  512, alignment  0:	316.204	12.6166	12.5513	10.5448	10.6067	21.1346
Length  256, position   64, alignment  5:	40.5023	4.16791	6.19325	3.4929	3.76843	4.92049
Length 2048, position  512, alignment  0:	310.785	11.7678	12.3892	10.5698	10.0826	21.7909
Length  256, position   64, alignment  5:	43.2637	5.16139	6.22946	3.61345	3.44266	4.36475
Length 2048, position 1024, alignment  0:	562.927	17.622	17.9905	15.4344	15.8379	36.2905
Length  256, position   64, alignment  6:	42.8801	5.51738	6.79617	4.0007	4.00024	5.08699
Length 2048, position 1024, alignment  0:	597.144	19.7314	20.687	17.8325	19.0078	40.6686
Length  256, position   64, alignment  6:	44.8555	5.71994	6.85696	4.00067	4.04868	4.92178
Length 2048, position 2048, alignment  0:	1120.96	28.9953	30.0715	27.9366	31.5271	71.5557
Length  256, position   64, alignment  7:	40.1595	3.8792	5.86163	3.35359	3.22153	4.23294
Length 2048, position 2048, alignment  0:	1132.69	31.4482	34.859	30.6592	32.2363	67.9816
Length  256, position   64, alignment  7:	42.5647	4.41422	6.6532	3.86263	3.71271	4.74002
Length  192, position   32, alignment  1:	23.8794	4.64609	6.23553	3.09831	3.61365	4.16455
Length  192, position   32, alignment  1:	23.2755	4.1304	6.19356	3.6451	3.61317	4.12915
