                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	10.1172	30.3203	31.4688
String 00000, offset 7:	13.3984	8.28125	49.5078
String 00000, offset 14:	20.8125	8.15625	45.7109
String 00000, offset 21:	22.7734	8.04688	40.0156
String 00000, offset 28:	26.2344	8.05469	37.0938
String 00000, offset 35:	29.9453	9.39062	54.9609
String 00000, offset 42:	33.6484	9.10938	59.5781
String 00000, offset 49:	36.9844	9.125	48.4062
String 00000, offset 56:	40.5547	9.13281	46.1875
String 00000, offset 63:	44.1719	9.875	65.1562
String 00000, offset 70:	48.2266	10.2656	56.5156
String 00000, offset 77:	51.6797	10.1875	54.0625
String 00000, offset 84:	55.1562	10.0781	49.6094
String 00000, offset 91:	58.8047	10.0859	68.4141
String 00000, offset 98:	62.6562	9.71875	63.3984
String 00000, offset 105:	66.6797	9.63281	66.5938
String 00000, offset 112:	69.8984	9.32812	82.3516
String 00000, offset 119:	73.0547	9.29688	73.8672
String 00112233, offset 0:	12.5234	8.125	31.7734
String 00112233, offset 7:	28.375	8.10938	32.0156
String 00112233, offset 14:	24.6484	8	33.25
String 00112233, offset 21:	24.3125	8.01562	35.6953
String 00112233, offset 28:	28.0469	8.02344	36.9141
String 00112233, offset 35:	31.6406	9.14062	37.7734
String 00112233, offset 42:	35.375	9.16406	38.2891
String 00112233, offset 49:	44.3984	10.5156	39.3828
String 00112233, offset 56:	42.5469	9.03125	39.0234
String 00112233, offset 63:	46.2344	9.1875	40.0625
String 00112233, offset 70:	77.7969	10.5859	40.4766
String 00112233, offset 77:	82.0469	10.1172	42.6094
String 00112233, offset 84:	58.1953	10.1016	42.9141
String 00112233, offset 91:	60.4141	10.0156	48.5781
String 00112233, offset 98:	64.0312	9.48438	48.75
String 00112233, offset 105:	68.2578	9.57031	52.1328
String 00112233, offset 112:	71.8281	9.67188	50.9609
String 00112233, offset 119:	75.0781	9.48438	52.7812
String 0123456789, offset 0:	14.5156	8.07031	33.7734
String 0123456789, offset 7:	19.2969	8.02344	36.3672
String 0123456789, offset 14:	26.8203	8.01562	36.3906
String 0123456789, offset 21:	26.5156	8.05469	37.5469
String 0123456789, offset 28:	31.5312	8.07812	39.8125
String 0123456789, offset 35:	35.0781	9.04688	37.6641
String 0123456789, offset 42:	37.3594	9.14844	42.2734
String 0123456789, offset 49:	41	10.5312	42.2422
String 0123456789, offset 56:	44.6953	9.11719	43.8906
String 0123456789, offset 63:	51.3047	9.34375	40.9141
String 0123456789, offset 70:	54.7344	10.0781	43.9453
String 0123456789, offset 77:	83.2656	10.0781	43.5938
String 0123456789, offset 84:	59.4531	10.1094	45.3203
String 0123456789, offset 91:	65.4531	10.1094	48.4375
String 0123456789, offset 98:	67.5547	9.52344	45.2266
String 0123456789, offset 105:	72.6719	9.65625	46.7578
String 0123456789, offset 112:	74.7344	9.5	47.5469
String 0123456789, offset 119:	79.8594	9.375	52.5703
String 0000111100001111, offset 0:	22.4375	8.08594	41.6797
String 0000111100001111, offset 7:	25.0234	8.01562	41.5078
String 0000111100001111, offset 14:	32.4766	8.0625	53.1406
String 0000111100001111, offset 21:	32.1172	8.04688	48.4375
String 0000111100001111, offset 28:	37.1719	8.02344	49.4375
String 0000111100001111, offset 35:	39.2109	9.16406	48.2734
String 0000111100001111, offset 42:	42.8281	9.07812	50.2812
String 0000111100001111, offset 49:	46.6172	10.3828	46.3281
String 0000111100001111, offset 56:	50.1562	10.4375	52.7656
String 0000111100001111, offset 63:	55.0938	8.97656	47.2344
String 0000111100001111, offset 70:	57.8594	10.125	58.7188
String 0000111100001111, offset 77:	62.3438	10.1562	52.9375
String 0000111100001111, offset 84:	65.7188	10.0859	57.2734
String 0000111100001111, offset 91:	68.3438	10.0547	51.4609
String 0000111100001111, offset 98:	71.7188	9.39844	53.8359
String 0000111100001111, offset 105:	75.3438	9.4375	47.7734
String 0000111100001111, offset 112:	89.2812	9.625	50.6875
String 0000111100001111, offset 119:	82.6094	9.66406	65.4922
String 00000111110000022222, offset 0:	23.3125	8.02344	39.125
String 00000111110000022222, offset 7:	29.1484	8.1875	48.3906
String 00000111110000022222, offset 14:	36.7578	8.03125	46.9688
String 00000111110000022222, offset 21:	36.2734	8.08594	49.3359
String 00000111110000022222, offset 28:	39.625	8.03906	47.1953
String 00000111110000022222, offset 35:	43.2109	9.125	53.1797
String 00000111110000022222, offset 42:	46.9531	9.05469	48.0312
String 00000111110000022222, offset 49:	50.6875	9.04688	52.4922
String 00000111110000022222, offset 56:	54.7812	9.07812	61.5781
String 00000111110000022222, offset 63:	58.8203	9.09375	53.4219
String 00000111110000022222, offset 70:	62.2656	10.1016	58.6875
String 00000111110000022222, offset 77:	65.1016	10.0547	53.1797
String 00000111110000022222, offset 84:	69.2969	10.0391	60.2734
String 00000111110000022222, offset 91:	73.6953	10.0312	53.1328
String 00000111110000022222, offset 98:	75.8594	9.625	59.8047
String 00000111110000022222, offset 105:	79.625	9.60938	52.6406
String 00000111110000022222, offset 112:	82.9141	9.5	62.7656
String 00000111110000022222, offset 119:	86.5234	9.42188	53.9297
String 012345678901234567890, offset 0:	25.4297	8.05469	47.0703
String 012345678901234567890, offset 7:	30.125	8.04688	47.9062
String 012345678901234567890, offset 14:	37.6016	8.03906	49.0625
String 012345678901234567890, offset 21:	37.2891	8.03906	49.1562
String 012345678901234567890, offset 28:	40.9219	8.03906	49.0859
String 012345678901234567890, offset 35:	44.5391	9.09375	50.6953
String 012345678901234567890, offset 42:	48.1641	9.29688	50.1875
String 012345678901234567890, offset 49:	52.1172	9.09375	49.6797
String 012345678901234567890, offset 56:	55.3125	9.05469	53.3047
String 012345678901234567890, offset 63:	59.6875	9.1875	51.4141
String 012345678901234567890, offset 70:	64.1562	10.1406	54.2578
String 012345678901234567890, offset 77:	67.1719	10.2656	55.7422
String 012345678901234567890, offset 84:	71.0469	10.2188	53.2344
String 012345678901234567890, offset 91:	73.6016	10.0703	55.3906
String 012345678901234567890, offset 98:	77.1016	9.41406	55.7891
String 012345678901234567890, offset 105:	80.9688	9.61719	52.9375
String 012345678901234567890, offset 112:	84.3828	9.58594	57.9062
String 012345678901234567890, offset 119:	88.0938	9.09375	58.5234
String abc0, offset 0:	7.59375	8.0625	28.3438
String abc0, offset 7:	12.3359	7.92969	31.6484
String abc0, offset 14:	21.3906	8.05469	33.3672
String abc0, offset 21:	20.4844	8.09375	37.0312
String abc0, offset 28:	24.0078	8.1875	38.0469
String abc0, offset 35:	28.25	9.08594	42.0078
String abc0, offset 42:	31.8047	10.4531	42.0547
String abc0, offset 49:	35.4219	9.10156	45.0391
String abc0, offset 56:	39.0391	9.09375	48.7578
String abc0, offset 63:	42.7656	9.01562	48.6953
String abc0, offset 70:	93.3984	10.1406	52.0859
String abc0, offset 77:	50	10.3125	55.5312
String abc0, offset 84:	53.7109	9.96875	56.0859
String abc0, offset 91:	57.3203	10.0859	65.5391
String abc0, offset 98:	60.9922	9.40625	67.0625
String abc0, offset 105:	64.6562	9.625	69.1953
String abc0, offset 112:	67.9531	9.59375	72.2734
String abc0, offset 119:	71.5156	9.5625	74.1172
String aaaa0, offset 0:	9.22656	8.03906	29.3516
String aaaa0, offset 7:	13.5547	8.03125	33.5156
String aaaa0, offset 14:	20.8906	8.05469	34.6172
String aaaa0, offset 21:	20.4141	8.07031	35.4453
String aaaa0, offset 28:	26.0781	7.92188	37.9141
String aaaa0, offset 35:	30.0391	9.08594	44.2578
String aaaa0, offset 42:	33.5625	9.10156	42.3672
String aaaa0, offset 49:	37.3203	9.01562	43.5156
String aaaa0, offset 56:	40.7969	9.01562	44.2578
String aaaa0, offset 63:	44.3906	9.07031	51.8359
String aaaa0, offset 70:	48.0078	10.1562	52.6172
String aaaa0, offset 77:	51.7109	10.1484	50.8828
String aaaa0, offset 84:	55.0859	10.0781	49.5
String aaaa0, offset 91:	62.7344	10.7734	64.7188
String aaaa0, offset 98:	67.1641	10.1328	63.875
String aaaa0, offset 105:	71.3125	10.0781	65.0156
String aaaa0, offset 112:	74.6094	10.1875	62.1641
String aaaa0, offset 119:	78.2344	9.71094	77.75
String abcabc0, offset 0:	13.8125	8.63281	34.2188
String abcabc0, offset 7:	17.1016	8.69531	35.1484
String abcabc0, offset 14:	25.2891	8.64062	36.3125
String abcabc0, offset 21:	27.5703	8.60938	37.9297
String abcabc0, offset 28:	28.8047	8.57812	41.3672
String abcabc0, offset 35:	49.5938	9.8125	43.0078
String abcabc0, offset 42:	39.0078	9.70312	40.4922
String abcabc0, offset 49:	43.3125	9.6875	45.0234
String abcabc0, offset 56:	46.9922	9.73438	44.75
String abcabc0, offset 63:	50.8203	9.71094	45.9375
String abcabc0, offset 70:	54.875	10.8203	54.2188
String abcabc0, offset 77:	55.9297	10.875	54.7188
String abcabc0, offset 84:	62.1484	10.7422	51.1641
String abcabc0, offset 91:	66.0078	10.7422	64.2812
String abcabc0, offset 98:	69.8672	10.1328	65.6094
String abcabc0, offset 105:	71.5156	9.71094	66.5469
String abcabc0, offset 112:	77.8047	9.70312	62.875
