                    	simple_memrchr	__memrchr_avx2	__memrchr_avx2_rtm	__memrchr_evex	__memrchr_sse2
Length 2048, position   32, alignment  0:	1108.81	28.0557	32.313	39.6691	72.2697
Length  256, position   64, alignment  1:	100.01	6.82156	8.77472	7.11833	11.6924
Length 2048, position   32, alignment  0:	1075.53	34.0123	32.3768	33.4058	65.3556
Length  256, position   64, alignment  1:	95.3558	5.8777	7.11133	5.8642	9.43549
Length  256, position    1, alignment  0:	175.735	8.76738	9.44292	8.871	13.0818
Length  256, position    1, alignment  0:	181.039	7.71318	8.29858	7.80411	11.2064
Length  256, position    1, alignment  1:	182.269	9.27254	9.09781	7.9545	10.9962
Length  256, position    1, alignment  1:	154.397	8.39278	8.97183	8.50089	12.3786
Length 2048, position   64, alignment  0:	1022.35	28.1964	34.2967	39.8358	73.4834
Length  256, position   64, alignment  2:	98.0975	7.40651	9.69284	7.20943	11.8694
Length 2048, position   64, alignment  0:	1039.16	25.5599	28.781	31.9138	66.322
Length  256, position   64, alignment  2:	113.915	6.82544	8.25894	7.13455	11.2619
Length  256, position    2, alignment  0:	160.128	9.0775	9.73688	9.23425	13.3035
Length  256, position    2, alignment  0:	169.305	8.19315	8.25679	7.82643	11.2059
Length  256, position    2, alignment  2:	175.399	8.43195	8.99013	8.50996	12.7761
Length  256, position    2, alignment  2:	178.981	8.04649	8.43399	7.95297	11.5752
Length 2048, position  128, alignment  0:	989.709	28.8745	31.6812	35.4567	67.5088
Length  256, position   64, alignment  3:	112.333	7.2921	8.82841	7.24838	11.8723
Length 2048, position  128, alignment  0:	1059.31	30.4803	29.3596	32.9699	60.5725
Length  256, position   64, alignment  3:	103.276	7.50786	9.75084	7.48676	11.9672
Length  256, position    3, alignment  0:	163.805	7.28206	7.75867	7.85786	11.2102
Length  256, position    3, alignment  0:	151.175	7.70512	8.39423	8.39084	11.9383
Length  256, position    3, alignment  3:	178.031	7.40579	7.743	7.49849	13.6248
Length  256, position    3, alignment  3:	171.627	8.11967	8.94452	8.5184	12.0114
Length 2048, position  256, alignment  0:	1040.14	29.0721	27.5556	31.5683	61.3878
Length  256, position   64, alignment  4:	118.379	7.83363	10.1182	7.70372	11.7768
Length 2048, position  256, alignment  0:	1020.22	29.0032	31.8479	35.5206	66.5777
Length  256, position   64, alignment  4:	103.67	7.50594	9.18224	7.46095	12.1231
Length  256, position    4, alignment  0:	163.581	8.45947	9.77318	9.19514	13.2052
Length  256, position    4, alignment  0:	168.102	8.20319	8.82195	8.29463	12.7978
Length  256, position    4, alignment  4:	183.09	8.9861	8.64543	7.62659	11.6655
Length  256, position    4, alignment  4:	158.504	7.26117	7.73807	7.29066	10.6676
Length 2048, position  512, alignment  0:	870.225	23.3919	27.3917	30.7753	57.4151
Length  256, position   64, alignment  5:	106.4	7.5488	9.18172	7.48225	12.126
Length 2048, position  512, alignment  0:	825.083	27.1507	27.9321	32.7209	53.9508
Length  256, position   64, alignment  5:	100.706	7.51074	9.21313	7.46339	12.1724
Length  256, position    5, alignment  0:	183.278	8.19633	8.52728	7.8279	11.4895
Length  256, position    5, alignment  0:	179.657	9.0368	8.90709	7.96527	11.1944
Length  256, position    5, alignment  5:	182.963	9.28699	9.93988	9.49477	13.6649
Length  256, position    5, alignment  5:	168.673	7.2252	7.74336	7.90114	11.6148
Length 2048, position 1024, alignment  0:	544.889	14.5087	14.7327	16.4176	37.5369
Length  256, position   64, alignment  6:	114.159	6.82031	8.61925	6.75726	10.9229
Length 2048, position 1024, alignment  0:	568.796	19.8506	16.2902	17.9058	33.334
Length  256, position   64, alignment  6:	90.8057	5.87344	7.57954	5.77454	9.27663
Length  256, position    6, alignment  0:	165.188	8.97678	9.43716	8.1134	11.2031
Length  256, position    6, alignment  0:	161.353	7.66742	8.22754	7.91176	12.0141
Length  256, position    6, alignment  6:	185.902	7.22293	7.79311	8.03079	11.4088
Length  256, position    6, alignment  6:	185.491	7.87895	8.09843	7.39566	10.9101
Length 2048, position 2048, alignment  0:	1041.11	30.2627	32.0694	41.0009	73.8374
Length  256, position   64, alignment  7:	103.736	6.78148	8.30626	6.76901	10.9539
Length 2048, position 2048, alignment  0:	1085.44	30.5592	32.0172	35.9483	63.9736
Length  256, position   64, alignment  7:	114.837	7.53758	8.97935	6.07809	9.36653
Length  256, position    7, alignment  0:	163.505	8.89998	9.4361	8.92609	12.7316
Length  256, position    7, alignment  0:	190.553	9.07133	9.76167	9.18304	12.8405
Length  256, position    7, alignment  7:	179.13	9.03189	9.58885	9.05656	13.3926
Length  256, position    7, alignment  7:	181.363	9.32439	9.93134	9.45401	13.6642
Length  192, position   32, alignment  1:	115.327	7.59084	7.83475	7.17688	8.89822
Length  192, position   32, alignment  1:	112.751	8.42155	9.56886	8.60298	10.468
Length  256, position   32, alignment  1:	180.377	8.18628	9.19949	8.1353	10.9754
Length  256, position   32, alignment  1:	177.333	7.61697	8.80826	7.62657	10.9184
Length  512, position   32, alignment  1:	298.827	11.6004	12.3715	11.5288	19.0223
Length  512, position   32, alignment  1:	286.346	11.588	12.3825	11.4767	19.0351
Length  192, position   64, alignment  2:	80.2761	5.22514	5.95439	5.17763	8.16513
Length  192, position   64, alignment  2:	77.2792	5.08696	5.7009	5.0354	7.85532
Length  256, position   64, alignment  2:	115.537	7.50795	8.08197	7.5388	12.0659
Length  256, position   64, alignment  2:	117.767	7.55342	9.19283	7.42751	12.1195
Length  512, position   64, alignment  2:	295.333	10.7392	11.8898	10.6052	18.727
Length  512, position   64, alignment  2:	292.224	10.8484	11.8962	10.6527	18.729
Length  192, position   96, alignment  3:	61.4352	4.82422	5.54716	4.70883	7.14767
Length  192, position   96, alignment  3:	60.6123	4.64996	5.31033	4.63663	6.82021
Length  256, position   96, alignment  3:	119.162	6.89543	6.80925	6.82864	10.9199
Length  256, position   96, alignment  3:	117.038	6.57474	6.58513	6.62553	10.5651
Length  512, position   96, alignment  3:	272.055	8.39253	8.36586	7.62172	13.7282
Length  512, position   96, alignment  3:	253.639	8.94603	9.15981	9.33014	16.0003
Length  192, position  128, alignment  4:	38.3355	4.4144	4.52087	4.41426	5.11147
Length  192, position  128, alignment  4:	40.3148	4.41382	4.51736	4.59578	5.28596
Length  256, position  128, alignment  4:	81.904	5.41873	6.17236	5.3679	8.45708
Length  256, position  128, alignment  4:	81.267	5.05673	5.90643	5.1788	7.8923
Length  512, position  128, alignment  4:	248.645	9.94942	10.7754	10.159	16.1842
Length  512, position  128, alignment  4:	256.947	10.3008	11.1522	10.1427	16.7651
Length  192, position  160, alignment  5:	25.8007	4.00101	5.47287	3.42917	4.57173
Length  192, position  160, alignment  5:	25.8049	4.04808	4.5726	2.85738	4.61668
Length  256, position  160, alignment  5:	62.2198	4.65227	5.76289	4.64728	6.8087
Length  256, position  160, alignment  5:	56.8074	4.24063	4.98155	4.48427	6.66351
Length  512, position  160, alignment  5:	231.026	10.3896	11.7641	10.0544	15.8337
Length  512, position  160, alignment  5:	207.692	9.28004	9.90999	9.52751	14.3661
Length  192, position  192, alignment  6:	112.867	9.12224	9.65791	8.47148	10.3824
Length  192, position  192, alignment  6:	97.5016	8.10521	8.72296	7.70576	11.5821
Length  256, position  192, alignment  6:	42.5385	4.40877	5.92604	4.74132	5.52237
Length  256, position  192, alignment  6:	43.4608	4.77206	5.70782	4.16228	4.36311
Length  512, position  192, alignment  6:	182.444	9.72981	11.1254	9.26244	14.9151
Length  512, position  192, alignment  6:	188.674	8.78613	10.3569	8.76385	13.5952
Length  192, position  224, alignment  7:	113.369	9.49306	9.96114	9.36684	12.2199
Length  192, position  224, alignment  7:	90.9209	7.09096	7.50136	6.99142	9.49963
Length  256, position  224, alignment  7:	20.0661	3.11131	3.9998	2.70518	3.55568
Length  256, position  224, alignment  7:	21.256	3.11127	3.99998	2.66682	3.59947
Length  512, position  224, alignment  7:	184.636	8.04057	7.7234	7.54984	12.2671
Length  512, position  224, alignment  7:	181.985	9.38622	9.77809	9.28291	14.4082
Length    2, position    1, alignment  0:	6.90965	4.41499	5.89075	3.88565	3.86295
