                       	generic_stpcpy	__stpcpy_ssse3	__stpcpy_avx2	__stpcpy_avx2_rtm	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.4109	2.97705	4.16187	4.77026	4.75342	5.34058	5.34351
Length    0, alignments in bytes  0/ 0:	10.0837	2.98145	4.16479	4.75928	4.1626	5.34766	4.7522
Length    0, alignments in bytes  0/ 0:	8.89624	2.97144	4.74878	5.34082	4.15894	5.34131	4.74829
Length    0, alignments in bytes  0/ 0:	8.89429	2.96411	4.74585	5.34131	4.74805	5.33301	5.33521
Length    1, alignments in bytes  0/ 0:	9.49048	2.97461	5.34326	6.53857	5.34424	5.34058	6.02588
Length    1, alignments in bytes  0/ 0:	9.50732	2.97876	4.75439	6.53491	4.75244	5.34985	5.34546
Length    1, alignments in bytes  0/ 1:	9.49048	2.96484	4.7522	6.52954	4.75049	5.34082	5.34058
Length    1, alignments in bytes  1/ 0:	9.48682	2.97021	4.74609	7.11523	4.74707	5.3396	3.57031
Length    2, alignments in bytes  0/ 0:	9.83911	3.70801	4.93433	4.93604	4.31909	5.54565	6.16992
Length    2, alignments in bytes  0/ 0:	11.0769	3.70532	5.04395	5.34668	4.15991	5.68457	6.52588
Length    2, alignments in bytes  0/ 2:	10.667	3.55981	4.74756	5.33618	3.86987	5.3374	6.52612
Length    2, alignments in bytes  2/ 0:	9.48169	3.56006	4.75024	4.74634	4.15723	5.33716	4.78223
Length    3, alignments in bytes  0/ 0:	8.90137	3.56958	4.7522	4.20679	4.15942	5.33887	6.53003
Length    3, alignments in bytes  0/ 0:	10.0815	3.57031	4.75635	4.77905	3.58911	5.34546	6.52856
Length    3, alignments in bytes  0/ 3:	8.89038	3.56299	4.7522	4.77319	4.15381	7.76343	6.52515
Length    3, alignments in bytes  3/ 0:	10.0737	3.56323	4.74365	4.77002	4.15674	5.34131	5.64697
Length    4, alignments in bytes  0/ 0:	8.89038	3.56909	4.75317	4.20532	5.34204	5.33936	8.3064
Length    4, alignments in bytes  0/ 0:	10.0737	3.57397	4.75195	5.34668	4.75464	5.34302	8.30396
Length    4, alignments in bytes  0/ 4:	10.0745	3.56299	4.85327	5.15063	4.01147	5.14941	8.00757
Length    4, alignments in bytes  4/ 0:	8.57324	3.43555	4.9231	4.57593	4.00464	5.14697	6.59521
Length    5, alignments in bytes  0/ 0:	8.57129	3.44238	4.58105	5.15039	4.00415	5.14966	7.44067
Length    5, alignments in bytes  0/ 0:	8.57617	3.44458	4.57788	4.04736	4.57935	5.15527	8.01001
Length    5, alignments in bytes  0/ 5:	8.57568	3.43555	4.57446	4.57886	4.57642	5.14917	8.00342
Length    5, alignments in bytes  5/ 0:	8.57178	3.43652	4.6001	4.57446	5.14502	5.14893	6.30078
Length    6, alignments in bytes  0/ 0:	8.57227	3.44604	4.93457	4.74878	3.61621	4.65137	8.26929
Length    6, alignments in bytes  0/ 0:	7.77002	3.10986	4.13257	4.1521	4.13184	4.65576	8.26587
Length    6, alignments in bytes  0/ 6:	7.74414	3.11157	4.14941	4.13354	3.61719	4.65186	8.26221
Length    6, alignments in bytes  6/ 0:	7.74292	3.10254	5.16797	4.65283	3.62012	4.64941	7.23682
Length    7, alignments in bytes  0/ 0:	7.74878	3.11768	5.16235	4.13599	3.6189	4.65137	8.2688
Length    7, alignments in bytes  0/ 0:	7.75488	3.62329	4.65747	5.15942	4.50488	4.65479	8.26709
Length    7, alignments in bytes  0/ 7:	8.81445	3.10791	4.13745	3.65869	4.13428	4.65088	8.26514
