                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length    0, alignment  0/ 0:	9.9325	4.91443	3.31244
Length    0, alignment  0/ 0:	9.38171	4.41693	3.31305
Length    0, alignment  0/ 0:	9.92999	4.41565	3.31061
Length    0, alignment  0/ 0:	9.6062	4.41541	3.31085
Length    1, alignment  0/ 0:	9.38086	4.41577	3.31256
Length    1, alignment  0/ 0:	10.0475	5.14551	4.57385
Length    1, alignment  0/ 1:	9.84161	4.41632	4.41504
Length    1, alignment  1/ 0:	9.37982	4.41559	3.31787
Length    2, alignment  0/ 0:	9.37909	3.96289	6.52594
Length    2, alignment  0/ 0:	9.71454	4.00244	6.57349
Length    2, alignment  0/ 2:	9.71393	4.57239	6.28693
Length    2, alignment  2/ 0:	9.88068	4.57318	6.28601
Length    3, alignment  0/ 0:	9.71521	4.00238	7.42932
Length    3, alignment  0/ 0:	9.38513	3.43488	7.42993
Length    3, alignment  0/ 3:	9.71466	4.57288	7.42902
Length    3, alignment  3/ 0:	9.7135	5.28119	7.42908
Length    4, alignment  0/ 0:	9.14307	5.1449	9.1449
Length    4, alignment  0/ 0:	9.14221	5.14453	10.3738
Length    4, alignment  0/ 4:	9.71375	5.14349	10.3071
Length    4, alignment  4/ 0:	9.37891	4.96539	10.1412
Length    5, alignment  0/ 0:	8.82745	3.86304	9.38208
Length    5, alignment  0/ 0:	8.82849	4.41534	7.37714
Length    5, alignment  0/ 5:	9.37506	3.91235	7.4613
Length    5, alignment  5/ 0:	9.14246	5.14362	11.0328
Length    6, alignment  0/ 0:	9.14331	4.57245	12.574
Length    6, alignment  0/ 0:	9.14282	5.1427	13.3564
Length    6, alignment  0/ 6:	9.7132	4.57294	13.1734
Length    6, alignment  6/ 0:	9.71356	5.14252	13.1696
Length    7, alignment  0/ 0:	8.85254	4.00153	13.7159
Length    7, alignment  0/ 0:	9.94226	3.8634	13.2429
Length    7, alignment  0/ 7:	8.82855	4.41418	13.2399
Length    7, alignment  7/ 0:	9.01453	4.41443	13.2399
Length    8, alignment  0/ 0:	9.37903	4.41998	13.4078
Length    8, alignment  0/ 0:	8.82715	4.41663	10.5216
Length    8, alignment  0/ 0:	8.82715	4.41406	10.1309
Length    8, alignment  0/ 0:	8.82751	4.41425	10.6991
Length    9, alignment  0/ 0:	9.14252	5.1427	11.588
Length    9, alignment  0/ 0:	9.71362	5.14258	11.4288
Length    9, alignment  0/ 1:	9.7132	4.57166	11.2933
Length    9, alignment  1/ 0:	9.14264	4.57642	11.4275
Length   10, alignment  0/ 0:	9.7132	4.57147	11.7604
Length   10, alignment  0/ 0:	9.14209	4.5766	11.8087
Length   10, alignment  0/ 2:	9.14264	4.57117	12.4363
Length   10, alignment  2/ 0:	9.14221	5.14307	12.286
Length   11, alignment  0/ 0:	9.14282	5.27167	12.5726
Length   11, alignment  0/ 0:	9.14203	5.1424	11.9996
Length   11, alignment  0/ 3:	9.89569	4.57642	12.5715
Length   11, alignment  3/ 0:	9.7149	4.57776	12.5706
Length   12, alignment  0/ 0:	9.32666	3.43573	14.858
Length   12, alignment  0/ 0:	9.14246	4.57184	14.6403
Length   12, alignment  0/ 4:	8.828	3.31622	14.345
Length   12, alignment  4/ 0:	9.37921	3.86426	14.2043
Length   13, alignment  0/ 0:	8.26227	4.12921	14.4524
Length   13, alignment  0/ 0:	8.25909	3.90887	14.4516
Length   13, alignment  0/ 5:	8.77362	4.13477	14.4513
