                            	generic_stpncpy	__stpncpy_ssse3	__stpncpy_avx2	__stpncpy_avx2_rtm	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_sse2
Length   16, n   16, alignment  1/ 1:	11.1711	7.91935	5.08788	5.95211	7.50661	4.66526	9.30885
Length   16, n   16, alignment  1/ 1:	10.1839	6.73947	7.12094	8.6608	6.77196	5.31207	11.7943
Length   16, n   16, alignment  1/ 2:	11.4115	7.07517	7.22919	5.75121	6.42583	4.14054	9.61682
Length   16, n   16, alignment  2/ 1:	10.3785	7.66283	5.9445	6.60075	6.63211	4.36528	10.3832
Length    2, n    4, alignment  7/ 2:	11.0795	6.47249	8.09103	9.01181	7.77772	8.28293	12.1047
Length    4, n    2, alignment  2/ 7:	9.85075	4.78745	5.30305	5.59194	5.85513	5.82843	9.62961
Length    2, n    4, alignment  7/ 2:	11.8952	7.59672	7.14913	7.35596	9.46342	9.17567	11.4422
Length    4, n    2, alignment  2/ 7:	9.60037	4.46199	5.53858	9.44527	7.49418	6.2449	9.60645
Length   16, n   16, alignment  2/ 2:	10.7116	7.92809	5.15269	6.92578	6.2924	4.65596	9.52493
Length   16, n   16, alignment  2/ 2:	10.0572	7.24683	5.99948	8.04662	6.65401	4.73714	8.52843
Length   16, n   16, alignment  2/ 4:	8.47475	5.82475	5.67907	5.67306	7.19754	4.78814	10.742
Length   16, n   16, alignment  4/ 2:	10.7177	6.07531	4.66842	7.12754	5.37859	4.01136	8.46984
Length    4, n    8, alignment  6/ 4:	9.136	9.41021	9.51723	9.97477	8.6497	8.17757	10.0412
Length    8, n    4, alignment  4/ 6:	9.19292	4.42464	5.38087	7.05042	6.63837	5.19305	9.885
Length    4, n    8, alignment  6/ 4:	12.5674	8.59642	8.49273	7.78754	7.78151	8.1363	11.5027
Length    8, n    4, alignment  4/ 6:	9.41538	4.42292	5.47738	6.46998	6.21889	6.06458	10.0005
Length   16, n   16, alignment  3/ 3:	11.0882	7.6554	5.18392	9.60813	7.18674	5.15288	10.738
Length   16, n   16, alignment  3/ 3:	9.44901	6.42485	4.67962	7.87259	6.87705	5.62011	11.2048
Length   16, n   16, alignment  3/ 6:	10.5212	6.8837	5.6854	9.73957	7.31134	5.1614	9.72951
Length   16, n   16, alignment  6/ 3:	8.75298	6.11449	4.58989	5.96455	5.83624	4.00085	9.35847
Length    8, n   16, alignment  5/ 6:	11.1292	8.79927	8.78931	9.40862	8.50054	9.27881	12.565
Length   16, n    8, alignment  6/ 5:	10.0236	4.8675	4.82029	5.35308	6.00537	3.91404	8.13363
Length    8, n   16, alignment  5/ 6:	9.97747	7.96338	8.19924	8.3086	8.84674	8.11026	11.8244
Length   16, n    8, alignment  6/ 5:	9.9042	6.31501	5.10843	6.8149	5.43907	3.97725	9.05228
Length   16, n   16, alignment  4/ 4:	11.3007	7.70164	5.18091	5.81425	5.9695	4.55863	10.8058
Length   16, n   16, alignment  4/ 4:	10.9617	7.67089	4.10965	5.35188	5.46136	4.05698	8.24583
Length   16, n   16, alignment  4/ 0:	8.52863	7.36644	6.14478	7.92165	6.72782	4.38051	9.00264
Length   16, n   16, alignment  0/ 4:	9.6208	7.17194	4.91401	5.94048	7.17225	5.24821	10.5613
