                       	simple_strcasecmp	__strcasecmp_avx	__strcasecmp_sse42	__strcasecmp_ssse3	__strcasecmp_sse2
Length    1, alignment  1/ 1:	6.79834	3.88745	4.13306	4.94629	4.9646
Length    1, alignment  1/ 1:	4.37427	3.88916	4.13379	4.98096	4.97437
Length    1, alignment  1/ 1:	4.38184	3.92188	4.39355	5.50854	4.94092
Length    2, alignment  2/ 2:	8.24951	3.8855	6.12183	4.9729	4.9751
Length    2, alignment  2/ 2:	4.85522	3.88647	4.36987	4.96606	4.98413
Length    2, alignment  2/ 2:	4.85889	3.88599	4.37036	4.97778	4.95752
Length    3, alignment  3/ 3:	8.7793	3.88745	4.37085	4.96582	4.97534
Length    3, alignment  3/ 3:	6.55176	3.88721	4.12988	4.93335	4.93994
Length    3, alignment  3/ 3:	6.55786	3.88525	4.37158	4.96851	5.10913
Length    4, alignment  4/ 4:	10.0137	4.00879	4.25952	5.09668	5.13013
Length    4, alignment  4/ 4:	7.76099	4.0061	4.2561	5.12695	5.49805
Length    4, alignment  4/ 4:	8.15991	3.88501	4.12842	4.98682	4.98706
Length    5, alignment  5/ 5:	10.1892	3.88599	4.37036	4.98584	4.99023
Length    5, alignment  5/ 5:	10.1914	3.89404	4.36914	5.00439	4.96411
Length    5, alignment  5/ 5:	10.1907	3.8855	4.12891	4.99829	4.94922
Length    6, alignment  6/ 6:	11.1594	3.88599	4.37109	4.98169	4.96045
Length    6, alignment  6/ 6:	10.6797	3.88501	4.12769	4.96411	4.96802
Length    6, alignment  6/ 6:	10.6763	3.88525	4.51074	4.95874	4.96411
Length    7, alignment  7/ 7:	11.1626	3.88745	4.12842	4.95337	4.96558
Length    7, alignment  7/ 7:	11.1594	3.88574	4.12744	4.95239	4.95239
Length    7, alignment  7/ 7:	11.1606	3.88525	4.1272	4.96875	4.97412
Length    8, alignment  0/ 0:	11.1614	3.88696	4.12744	4.94507	4.96777
Length    8, alignment  0/ 0:	8.98193	3.8855	4.12866	4.9502	4.92456
Length    8, alignment  0/ 0:	8.98071	3.88501	4.12744	4.95215	4.95728
Length    9, alignment  1/ 1:	12.2573	3.88623	4.12793	4.96436	4.96802
Length    9, alignment  1/ 1:	10.6741	3.88477	4.12939	4.97559	4.96802
Length    9, alignment  1/ 1:	10.677	3.88623	4.12671	4.92383	4.9519
Length   10, alignment  2/ 2:	13.103	3.88721	4.1272	4.96729	4.98145
Length   10, alignment  2/ 2:	11.1619	3.88501	4.12817	4.9834	4.9751
Length   10, alignment  2/ 2:	11.1626	3.88501	4.1272	4.97876	4.97192
Length   11, alignment  3/ 3:	12.6194	3.88452	4.43896	4.95703	4.93677
Length   11, alignment  3/ 3:	11.6472	3.8855	4.12915	4.98779	4.97046
Length   11, alignment  3/ 3:	11.6482	3.8855	4.1272	4.99951	4.98242
Length   12, alignment  4/ 4:	14.5542	3.88403	4.12598	4.97119	4.9707
Length   12, alignment  4/ 4:	12.136	3.88574	4.12842	4.95923	4.96973
Length   12, alignment  4/ 4:	12.1316	3.88574	4.36938	4.97754	4.96655
Length   13, alignment  5/ 5:	16.0105	3.88403	4.12939	5.27759	4.97095
Length   13, alignment  5/ 5:	12.6184	3.88574	4.12793	4.98926	4.96362
Length   13, alignment  5/ 5:	12.615	3.88452	4.12817	4.98413	4.97876
Length   14, alignment  6/ 6:	16.9788	3.88403	4.12524	4.97314	4.99683
Length   14, alignment  6/ 6:	14.5566	3.88477	4.13086	4.96167	4.9563
Length   14, alignment  6/ 6:	14.5552	3.88525	4.12817	4.95532	4.94775
Length   15, alignment  7/ 7:	13.7822	3.88477	4.13013	5.20728	4.979
Length   15, alignment  7/ 7:	15.5247	3.88623	4.12988	4.96753	4.97705
Length   15, alignment  7/ 7:	15.5212	3.88501	4.12695	5.00879	4.96802
Length    4, alignment  0/ 0:	8.24878	3.88403	4.12646	4.93457	4.97314
Length    4, alignment  0/ 0:	8.25244	3.88525	4.12842	4.96118	4.95728
Length    4, alignment  0/ 0:	7.52271	3.88501	4.12817	4.96362	4.93896
Length    4, alignment  0/ 0:	7.51855	3.8855	4.12842	4.95142	4.9624
Length    4, alignment  0/ 0:	7.52075	4.17505	4.12964	4.98242	4.95776
Length    4, alignment  0/ 0:	7.76147	3.8855	4.12866	4.96826	4.96094
Length    8, alignment  0/ 0:	11.616	3.88452	4.37012	4.96094	4.97314
Length    8, alignment  0/ 0:	11.3975	3.56079	4.00708	4.54272	4.55981
Length    8, alignment  0/ 0:	8.23657	3.56177	4.00708	4.53491	4.56348
Length    8, alignment  0/ 0:	8.22339	3.56323	3.78345	4.55518	4.54932
Length    8, alignment  0/ 0:	8.23096	3.56128	4.00562	4.55396	4.52466
Length    8, alignment  0/ 0:	10.6689	3.5625	4.01953	4.54419	4.55664
Length   16, alignment  0/ 0:	13.3455	6.08643	6.67773	6.91162	6.90503
Length   16, alignment  0/ 0:	13.3447	6.08594	6.67822	6.90723	6.90845
Length   16, alignment  0/ 0:	15.1172	3.56738	4.00879	4.55176	4.55688
Length   16, alignment  0/ 0:	15.1196	3.56104	4.00415	4.56177	4.54419
Length   16, alignment  0/ 0:	15.1155	3.56323	3.78589	4.55103	4.5647
Length   16, alignment  0/ 0:	15.3987	3.55957	3.78369	4.55103	4.54932
Length   32, alignment  0/ 0:	23.7429	7.14502	8.01514	8.90576	8.90527
Length   32, alignment  0/ 0:	23.5525	7.13086	8.01025	8.90112	8.90063
Length   32, alignment  0/ 0:	22.8403	6.09253	6.67749	6.90356	6.91284
Length   32, alignment  0/ 0:	23.0947	6.08252	6.67383	6.90234	6.90381
Length   32, alignment  0/ 0:	22.7971	6.0835	6.70923	6.89917	6.8999
Length   32, alignment  0/ 0:	22.7883	6.08179	6.67407	6.89893	6.90576
Length   64, alignment  0/ 0:	43.8379	11.1101	11.199	12.333	12.4023
Length   64, alignment  0/ 0:	43.9001	10.7517	11.1218	12.3557	12.3364
Length   64, alignment  0/ 0:	43.0745	8.9978	10.2952	10.5559	10.5486
Length   64, alignment  0/ 0:	43.1519	8.96777	9.96436	10.5537	10.5466
Length   64, alignment  0/ 0:	43.7014	9.25586	10.2178	10.9727	10.8906
Length   64, alignment  0/ 0:	43.1343	8.99731	9.93579	10.5383	10.5403
Length  128, alignment  0/ 0:	84.3398	19.01	19.5413	20.9939	20.9365
Length  128, alignment  0/ 0:	84.4331	19.0029	19.2739	21.2844	20.9299
Length  128, alignment  0/ 0:	83.4343	17.1543	17.3967	18.8601	18.8296
Length  128, alignment  0/ 0:	83.8188	17.1421	17.323	18.8149	18.8511
Length  128, alignment  0/ 0:	83.6912	17.1428	17.3428	18.8296	18.8337
Length  128, alignment  0/ 0:	83.4358	17.481	17.3845	18.8274	18.832
Length  256, alignment  0/ 0:	180.476	35.3867	35.5117	38.3643	38.5718
Length  256, alignment  0/ 0:	180.289	35.6499	35.4646	38.3857	38.3574
Length  256, alignment  0/ 0:	181.667	33.4275	33.6697	36.543	36.2258
Length  256, alignment  0/ 0:	181.702	33.416	33.6228	36.2632	36.5068
Length  256, alignment  0/ 0:	181.402	33.729	33.605	36.2683	36.2119
