                       	strcasestr	simple_strcasestr
Length    4/2, alignment  0/ 0, found:	51.5625	67.1016
Length    4/2, alignment  0/ 0, fail:	24.9297	36.5469
Length    4/2, alignment  0/ 3, found:	25.3125	34.1406
Length    4/2, alignment  0/ 3, fail:	27.6719	37.6406
Length    4/2, alignment  0/ 9, found:	25.4688	35.4844
Length    4/2, alignment  0/ 9, fail:	27.3906	38.4531
Length    4/2, alignment  0/15, found:	27.4688	35.3438
Length    4/2, alignment  0/15, fail:	29.4141	37.8438
Length    4/2, alignment  3/ 0, found:	24.2969	35.3281
Length    4/2, alignment  3/ 0, fail:	25.7109	36.7422
Length    4/2, alignment  3/ 3, found:	24.4844	33.9141
Length    4/2, alignment  3/ 3, fail:	27.3906	37.3672
Length    4/2, alignment  3/ 9, found:	26.5547	33.625
Length    4/2, alignment  3/ 9, fail:	28.4219	37.3359
Length    4/2, alignment  3/15, found:	26.7422	35.3984
Length    4/2, alignment  3/15, fail:	28.5078	38.4062
Length    4/2, alignment  9/ 0, found:	26.4922	35.5312
Length    4/2, alignment  9/ 0, fail:	29.4219	38.4531
Length    4/2, alignment  9/ 3, found:	27.5078	35.2969
Length    4/2, alignment  9/ 3, fail:	30.4297	38.5547
Length    4/2, alignment  9/ 9, found:	27.4844	35.3203
Length    4/2, alignment  9/ 9, fail:	30.4219	38.3438
Length    4/2, alignment  9/15, found:	27.4297	35.8594
Length    4/2, alignment  9/15, fail:	28.9062	37.4062
Length    4/2, alignment 15/ 0, found:	26.4844	34.8828
Length    4/2, alignment 15/ 0, fail:	29.2969	37.3516
Length    4/2, alignment 15/ 3, found:	26.4688	33.6172
Length    4/2, alignment 15/ 3, fail:	29.4062	36.3516
Length    4/2, alignment 15/ 9, found:	26.9766	33.3281
Length    4/2, alignment 15/ 9, fail:	29.4609	36.2891
Length    4/2, alignment 15/15, found:	27.5625	33.3047
Length    4/2, alignment 15/15, fail:	30.4453	37.3281
Length    6/2, alignment  0/ 0, found:	27.1094	37.0312
Length    6/2, alignment  0/ 0, fail:	27.9141	38.9922
Length    6/2, alignment  0/ 3, found:	27.875	37.1641
Length    6/2, alignment  0/ 3, fail:	28.1562	39.375
Length    6/2, alignment  0/ 9, found:	29.0312	38.3906
Length    6/2, alignment  0/ 9, fail:	29	39.5391
Length    6/2, alignment  0/15, found:	31.0312	38.3125
Length    6/2, alignment  0/15, fail:	31.5703	37.5
Length    6/2, alignment  3/ 0, found:	31.0156	36.2812
Length    6/2, alignment  3/ 0, fail:	29.4219	37.9062
Length    6/2, alignment  3/ 3, found:	30.4766	37.6406
Length    6/2, alignment  3/ 3, fail:	28.9297	37.8281
Length    6/2, alignment  3/ 9, found:	30.0078	36.2109
Length    6/2, alignment  3/ 9, fail:	29.9297	37.3203
Length    6/2, alignment  3/15, found:	30.9766	35.8359
Length    6/2, alignment  3/15, fail:	31.4375	38.3359
Length    6/2, alignment  9/ 0, found:	29.3438	36.875
Length    6/2, alignment  9/ 0, fail:	28.9688	38.8828
Length    6/2, alignment  9/ 3, found:	29.0547	37.0234
Length    6/2, alignment  9/ 3, fail:	30.4688	38.7656
Length    6/2, alignment  9/ 9, found:	30.0234	36.7656
Length    6/2, alignment  9/ 9, fail:	30.4375	39.3984
Length    6/2, alignment  9/15, found:	31.0312	37.7422
Length    6/2, alignment  9/15, fail:	29.9453	38.8672
