                            	generic_strcat	__strcat_avx2	__strcat_avx2_rtm	__strcat_evex	__strcat_ssse3	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	18.349	18.3592	18.3324	18.4026	3.84642	17.1374	5.75163
Length    0/   0, alignment  0/ 0:	17.5435	16.5826	16.5607	17.063	3.6315	15.5171	6.20729
Length    0/   0, alignment  0/ 0:	18.1365	17.7082	17.7134	18.238	3.34755	16.5888	4.38312
Length    0/   0, alignment  0/ 0:	17.3832	16.9391	18.9362	19.5972	3.56871	17.5948	4.57819
Length    1/   1, alignment  0/ 0:	18.9267	18.3818	18.92	18.9109	3.43071	17.186	12.0145
Length    1/   1, alignment  0/ 0:	18.9185	18.1503	17.7018	18.2386	3.51576	15.6326	10.5947
Length    1/   1, alignment  0/ 1:	17.0759	16.567	16.5487	17.0619	3.17249	16.028	6.2466
Length    1/   1, alignment  1/ 0:	18.9233	18.3296	18.3592	18.8983	3.96133	17.1863	12.5849
Length    2/   2, alignment  0/ 0:	17.4772	15.844	15.5407	16.0367	3.40247	14.5804	10.6801
Length    2/   2, alignment  0/ 0:	17.8856	19.0133	18.8159	19.5979	3.82594	18.5197	13.5573
Length    2/   2, alignment  0/ 2:	19.6321	17.7213	17.7131	17.2604	3.20016	15.8622	8.00456
Length    2/   2, alignment  2/ 0:	18.2879	17.6873	16.9022	16.7643	3.1438	16.2278	12.7231
Length    3/   3, alignment  0/ 0:	18.2563	17.6951	17.7081	19.1467	3.94257	18.3738	13.8138
Length    3/   3, alignment  0/ 0:	19.4235	18.3401	18.3257	18.9066	4.00916	16.1402	12.7599
Length    3/   3, alignment  0/ 3:	18.5374	18.3389	18.3414	18.8966	4.04025	17.2228	9.15672
Length    3/   3, alignment  3/ 0:	18.9094	17.9531	17.5044	18.2607	3.31157	16.6113	14.0541
Length    4/   4, alignment  0/ 0:	20.1488	20.7493	20.6982	21.2225	4.60788	17.3904	15.0824
Length    4/   4, alignment  0/ 0:	21.4404	20.811	20.7406	21.2334	4.63057	17.2163	14.553
Length    4/   4, alignment  0/ 4:	18.9783	18.3569	18.2513	18.2779	4.45522	16.6757	12.0351
Length    4/   4, alignment  4/ 0:	20.7702	20.7424	20.6647	20.8268	4.10449	16.133	13.8926
Length    5/   5, alignment  0/ 0:	20.5959	20.7948	20.7537	21.2947	5.15858	17.2189	15.4415
Length    5/   5, alignment  0/ 0:	20.4302	20.1578	20.7618	21.2904	5.19366	17.2198	15.6709
Length    5/   5, alignment  0/ 5:	18.9403	18.3918	18.361	18.9643	4.53886	17.2144	13.7978
Length    5/   5, alignment  5/ 0:	20.7273	20.724	20.7104	21.2237	5.34857	16.2311	14.9789
Length    6/   6, alignment  0/ 0:	18.4927	17.6196	18.5332	22.0579	5.47722	18.0983	16.9541
Length    6/   6, alignment  0/ 0:	21.4617	21.5791	21.4833	21.6525	5.26071	14.1996	13.3233
Length    6/   6, alignment  0/ 6:	16.0837	15.6994	15.844	17.1057	5.61197	16.6324	15.2323
Length    6/   6, alignment  6/ 0:	21.5655	21.88	21.4691	22.0037	5.96262	16.7065	14.8473
Length    7/   7, alignment  0/ 0:	18.6211	17.6982	18.1578	18.9586	5.56096	16.258	16.2914
Length    7/   7, alignment  0/ 0:	20.6524	20.8178	20.7615	21.2373	6.34474	16.0179	13.7069
Length    7/   7, alignment  0/ 7:	16.1063	15.5874	14.5206	14.7168	4.51021	13.3885	12.5164
Length    7/   7, alignment  7/ 0:	16.1248	16.0991	16.1172	16.5211	5.1107	14.7137	14.8614
Length    8/   8, alignment  0/ 0:	17.1011	17.7591	17.1701	17.1978	6.19637	16.1357	11.2192
Length    8/   8, alignment  0/ 0:	17.1555	16.5894	17.3207	17.0023	5.33922	14.661	10.2856
Length    8/   8, alignment  0/ 0:	15.4484	15.0483	14.3399	18.8937	6.34624	17.8479	12.6736
Length    8/   8, alignment  0/ 0:	19.7547	19.1177	18.4282	18.7942	5.82816	15.5906	10.9522
Length    9/   9, alignment  0/ 0:	17.1031	16.5875	17.6982	18.9235	7.47617	17.2256	13.414
Length    9/   9, alignment  0/ 0:	18.9381	18.4088	18.1636	18.3176	7.18221	16.6817	12.9082
Length    9/   9, alignment  0/ 1:	18.6327	18.4096	18.3565	18.9651	7.4341	16.8063	13.0113
Length    9/   9, alignment  1/ 0:	18.6333	17.502	18.3327	18.9355	6.87941	17.2411	17.1301
Length   10/  10, alignment  0/ 0:	18.9852	18.3651	16.9147	17.1007	7.27556	15.5815	13.2436
Length   10/  10, alignment  0/ 0:	18.2949	17.7338	17.7305	17.9178	7.23001	15.6335	13.3474
Length   10/  10, alignment  0/ 2:	18.9349	18.4197	18.3513	18.9651	8.0383	17.2132	16.0379
Length   10/  10, alignment  2/ 0:	16.9943	16.3265	16.5784	17.534	7.74406	16.864	16.9431
Length   11/  11, alignment  0/ 0:	18.9761	18.3624	18.4008	18.9209	8.52042	16.6818	13.6819
Length   11/  11, alignment  0/ 0:	18.9367	18.4095	18.3517	18.9693	8.00662	17.2904	14.3199
Length   11/  11, alignment  0/ 3:	18.3035	15.583	16.161	17.1388	7.74152	15.5533	13.5952
Length   11/  11, alignment  3/ 0:	16.0671	16.452	16.5726	17.0882	6.97075	14.6381	14.6884
Length   12/  12, alignment  0/ 0:	16.0765	15.6215	15.5899	16.0448	7.80263	15.1178	14.3311
Length   12/  12, alignment  0/ 0:	17.153	17.2935	17.743	18.3703	8.70544	16.8516	15.6509
Length   12/  12, alignment  0/ 4:	19.6484	19.0541	18.6481	18.9839	9.14264	17.1682	10.5913
Length   12/  12, alignment  4/ 0:	14.7403	14.2825	14.2902	14.948	7.79942	14.6203	13.6234
