                    	simple_STRCHR	__strchr_avx2	__strchr_avx2_rtm	__strchr_evex	__strchr_sse2_no_bsf	__strchr_sse2
Length   32, alignment in bytes  0:	26.2342	3.60562	4.74918	4.16684	7.41681	5.2917
Length   32, alignment in bytes  1:	26.1863	4.14859	5.12906	4.14851	6.5977	4.58269
Length   64, alignment in bytes  0:	41.0155	3.8757	4.9666	3.86299	11.0464	9.16699
Length   64, alignment in bytes  2:	41.3707	3.62895	4.13072	3.61345	10.1858	8.58815
Length  128, alignment in bytes  0:	78.1679	5.56053	6.15556	5.63898	14.2202	12.6586
Length  128, alignment in bytes  3:	80.3634	5.29271	5.71455	5.19682	13.5624	11.3598
Length  256, alignment in bytes  0:	166.859	11.0334	10.9714	9.52087	22.2671	16.6241
Length  256, alignment in bytes  4:	182.28	11.3436	11.3774	9.85059	24.0744	16.9636
Length  512, alignment in bytes  0:	327.994	16.0487	17.0255	14.1364	40.217	26.9392
Length  512, alignment in bytes  5:	330.182	16.0623	16.982	14.1238	41.4016	26.9229
Length 1024, alignment in bytes  0:	598.031	25.2347	26.1357	22.8383	78.332	43.6315
Length 1024, alignment in bytes  6:	575.39	23.469	23.296	19.8816	74.0729	44.5634
Length 2048, alignment in bytes  0:	1118.28	43.5119	48.0618	40.8375	145.834	83.8415
Length 2048, alignment in bytes  7:	1141.27	44.3305	43.9092	40.8407	150.024	88.4219
Length   32, alignment in bytes  0:	24.2577	3.67441	4.41544	3.31163	7.29272	4.88808
Length   32, alignment in bytes  1:	25.2903	3.46875	4.57295	3.99995	7.26027	4.90253
Length   64, alignment in bytes  0:	42.4682	3.86308	4.41637	3.95403	9.45752	9.47571
Length   64, alignment in bytes  2:	43.7264	4.00024	4.6073	4.57143	10.1791	9.53127
Length  128, alignment in bytes  0:	74.0829	4.48489	4.84984	4.522	11.9133	10.4484
Length  128, alignment in bytes  3:	71.9135	5.15848	5.71497	5.19699	13.4385	11.3225
Length  256, alignment in bytes  0:	170.965	11.3447	11.3662	9.80959	22.6462	16.0252
Length  256, alignment in bytes  4:	177.989	10.9363	10.9646	9.32945	20.7254	15.0317
Length  512, alignment in bytes  0:	298.88	14.5933	14.7956	13.1769	40.4947	24.3338
Length  512, alignment in bytes  5:	302.944	14.2094	14.7886	12.3227	44.1252	26.9361
Length 1024, alignment in bytes  0:	542.197	22.0762	21.9014	18.9531	68.3376	47.5616
Length 1024, alignment in bytes  6:	576.535	26.3725	26.7412	22.8389	77.2277	40.9053
