                    	simple_STRCHRNUL	__strchrnul_avx2	__strchrnul_avx2_rtm	__strchrnul_evex	__strchrnul_sse2
Length   32, alignment in bytes  0:	20.454	2.96443	3.88531	3.39442	3.93492
Length   32, alignment in bytes  1:	21.5117	3.11143	4.64529	3.61316	4.15176
Length   64, alignment in bytes  0:	39.4642	3.61392	6.18877	4.12978	8.2243
Length   64, alignment in bytes  2:	38.3084	3.61333	5.26266	4.12938	8.29556
Length  128, alignment in bytes  0:	74.6792	5.54515	5.5815	5.54033	12.4114
Length  128, alignment in bytes  3:	84.1613	5.5428	5.57503	5.47081	11.9454
Length  256, alignment in bytes  0:	175.531	10.718	11.2948	9.59576	17.2818
Length  256, alignment in bytes  4:	174.372	9.0658	9.67705	7.89801	15.0126
Length  512, alignment in bytes  0:	269.904	13.6366	13.2117	11.4952	22.8725
Length  512, alignment in bytes  5:	298.136	16.0453	16.0652	14.0417	27.9199
Length 1024, alignment in bytes  0:	557.587	25.802	24.3463	19.9127	41.1129
Length 1024, alignment in bytes  6:	584.831	26.741	26.1208	19.949	41.5909
Length 2048, alignment in bytes  0:	1081.38	36.2428	36.1352	30.5519	69.1031
Length 2048, alignment in bytes  7:	1106.2	48.1106	48.1266	40.8261	92.024
Length   32, alignment in bytes  0:	25.3306	3.45853	4.57188	4.00034	4.60596
Length   32, alignment in bytes  1:	25.3975	3.42972	5.14241	4.02824	4.57431
Length   64, alignment in bytes  0:	43.8282	4.00061	5.53278	4.54457	8.56886
Length   64, alignment in bytes  2:	40.7816	3.73355	4.09447	3.99979	8.05753
Length  128, alignment in bytes  0:	66.4954	4.4976	4.45459	4.36382	9.78908
Length  128, alignment in bytes  3:	70.5493	4.46056	4.36644	4.40721	9.78911
Length  256, alignment in bytes  0:	141.162	8.24619	8.50307	7.17902	12.9317
Length  256, alignment in bytes  4:	166.324	10.7138	11.3223	9.57199	17.2333
Length  512, alignment in bytes  0:	321.96	15.663	15.4727	13.4212	25.7015
Length  512, alignment in bytes  5:	264.311	12.1712	12.0395	10.5189	20.9156
Length 1024, alignment in bytes  0:	614.51	23.0136	22.6899	17.2243	36.9884
Length 1024, alignment in bytes  6:	484.565	20.2325	20.4509	18.5998	38.8443
Length 2048, alignment in bytes  0:	1077.63	41.5969	48.1236	40.733	92.0791
Length 2048, alignment in bytes  7:	1097.98	36.3864	37.2703	33.3593	73.0941
Length   64, alignment in bytes  1:	33.9777	3.11124	3.5563	3.55539	7.15578
Length   64, alignment in bytes  1:	33.976	3.11122	4.44426	3.60298	7.11258
Length   64, alignment in bytes  2:	33.972	3.11124	4.49094	3.55556	7.14455
Length   64, alignment in bytes  2:	33.9467	3.15511	4.88853	3.55533	7.14763
Length   64, alignment in bytes  3:	33.9795	3.11128	4.88846	3.58687	7.35442
Length   64, alignment in bytes  3:	44.4419	4.14815	5.82635	4.74048	9.51361
Length   64, alignment in bytes  4:	45.3013	4.14821	4.74205	4.78421	9.48116
Length   64, alignment in bytes  4:	45.2914	4.17442	5.9258	4.74078	9.51732
Length   64, alignment in bytes  5:	45.2613	4.14951	5.73137	4.74077	9.32494
Length   64, alignment in bytes  5:	33.2705	3.11111	3.1149	3.59732	7.69452
Length   64, alignment in bytes  6:	34.2216	3.20003	3.58792	3.63266	7.11003
Length   64, alignment in bytes  6:	32.2087	3.11104	4.00591	3.59007	7.11028
Length   64, alignment in bytes  7:	32.6998	3.394	3.77948	3.87859	7.80115
Length   64, alignment in bytes  7:	37.0618	3.39401	5.33308	3.92326	7.75563
Length  256, alignment in bytes  0:	148.651	8.79201	9.27838	7.87877	14.0988
Length  256, alignment in bytes  0:	167.552	9.02365	9.22505	7.53407	12.9136
Length  256, alignment in bytes 16:	163.826	8.28178	9.27092	7.72018	12.9288
Length  256, alignment in bytes 16:	136.85	8.16536	8.51855	7.1859	12.9247
Length  256, alignment in bytes 32:	157.915	10.9099	10.888	9.82921	16.611
