                       	generic_strcpy	__strcpy_avx2	__strcpy_avx2_rtm	__strcpy_evex	__strcpy_ssse3	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	8.58398	4.00977	4.59985	4.01025	2.87183	4.58032	4.58032
Length    0, alignments in bytes  0/ 0:	8.01196	4.01636	4.58643	5.23535	2.87427	4.58154	4.57837
Length    0, alignments in bytes  0/ 0:	8.00366	4.00684	4.60327	4.01294	2.86597	4.57544	3.4646
Length    0, alignments in bytes  0/ 0:	8.00122	4.57593	5.14844	4.01367	2.85938	4.57593	3.43457
Length    1, alignments in bytes  0/ 0:	7.44043	4.01611	5.16748	4.01367	2.88281	4.57788	3.44312
Length    1, alignments in bytes  0/ 0:	7.43945	4.58911	4.60938	4.02222	3.448	4.57935	3.44238
Length    1, alignments in bytes  0/ 1:	8.57812	4.57837	4.604	4.57617	2.88184	4.57715	3.43896
Length    1, alignments in bytes  1/ 0:	7.43433	4.96338	5.14966	4.57837	3.43384	4.58105	3.47119
Length    2, alignments in bytes  0/ 0:	8.57202	3.48193	5.16138	4.58228	2.88623	4.57788	5.15625
Length    2, alignments in bytes  0/ 0:	7.43335	4.01489	5.16479	4.58301	2.88281	4.58105	4.01807
Length    2, alignments in bytes  0/ 2:	8.57202	4.01245	4.60107	3.5498	2.87817	4.58521	4.58008
Length    2, alignments in bytes  2/ 0:	7.43506	4.00854	5.34863	3.39526	3.31201	4.41992	4.98999
Length    3, alignments in bytes  0/ 0:	8.2832	3.87231	4.97412	4.42114	2.79785	4.42261	5.24121
Length    3, alignments in bytes  0/ 0:	8.28711	3.34131	4.97852	3.88013	2.78174	3.87939	4.45117
Length    3, alignments in bytes  0/ 3:	8.28247	3.87354	4.9729	4.41992	2.77612	4.42236	4.44995
Length    3, alignments in bytes  3/ 0:	9.37964	4.41577	4.44336	3.34277	3.31543	4.41406	7.19116
Length    4, alignments in bytes  0/ 0:	8.27539	3.87964	4.42407	3.87817	3.32495	4.42041	6.65576
Length    4, alignments in bytes  0/ 0:	9.37842	3.87061	4.42603	3.87524	3.32861	4.42505	6.63086
Length    4, alignments in bytes  0/ 4:	9.37842	4.42407	4.80811	3.87573	3.31616	4.42749	6.63062
Length    4, alignments in bytes  4/ 0:	8.27637	3.33276	4.41821	3.86743	2.77612	4.41943	8.83911
Length    5, alignments in bytes  0/ 0:	9.37891	4.4165	4.41724	3.33252	2.78662	4.41992	6.08789
Length    5, alignments in bytes  0/ 0:	9.38013	3.31958	4.41772	3.33252	3.3252	4.42114	6.63452
Length    5, alignments in bytes  0/ 5:	8.28027	3.86475	4.41724	3.33447	3.31787	4.41455	6.07422
Length    5, alignments in bytes  5/ 0:	9.37988	3.86816	4.41797	3.86475	2.77466	4.41797	8.85889
Length    6, alignments in bytes  0/ 0:	9.37988	3.86865	4.4187	3.33691	2.95898	4.53101	8.05444
Length    6, alignments in bytes  0/ 0:	8.00317	3.45508	4.5752	3.45239	3.44629	4.0144	8.05298
Length    6, alignments in bytes  0/ 6:	7.44531	4.57373	4.57397	4.00391	3.45044	4.57837	8.05078
Length    6, alignments in bytes  6/ 0:	8.00122	3.45605	4.5752	4.00732	3.43579	4.57788	8.58032
Length    7, alignments in bytes  0/ 0:	8.00952	3.45117	4.57422	3.4563	4.02734	4.57788	8.2915
Length    7, alignments in bytes  0/ 0:	9.15137	4.57349	4.57666	3.45288	4.02222	4.57129	7.84326
Length    7, alignments in bytes  0/ 7:	9.14941	4.00317	5.68115	3.45605	4.021	4.58081	7.43994
Length    7, alignments in bytes  7/ 0:	8.00879	4.00366	5.65576	4.00488	4.02075	4.57568	7.44434
Length    8, alignments in bytes  0/ 0:	8.00464	4.01074	5.15308	4.01709	4.58813	4.57788	4.59155
