                       	__strcpy_chk	normal_strcpy	simple_strcpy_chk
Length    0, alignment  0/ 0:	8.77576	5.13123	2.83606
Length    0, alignment  0/ 0:	8.77466	4.13275	3.09961
Length    0, alignment  0/ 0:	8.25952	3.75226	3.61426
Length    0, alignment  0/ 0:	8.7749	4.13068	3.61444
Length    1, alignment  0/ 0:	7.74353	4.64661	3.6153
Length    1, alignment  0/ 0:	7.22754	4.66534	3.10461
Length    1, alignment  0/ 1:	7.74323	4.64734	3.63605
Length    1, alignment  1/ 0:	7.74176	4.13538	3.61383
Length    2, alignment  0/ 0:	7.74194	4.64673	5.73767
Length    2, alignment  0/ 0:	7.73431	4.13715	5.67969
Length    2, alignment  0/ 2:	7.74139	4.64703	5.67792
Length    2, alignment  2/ 0:	7.74152	3.76007	5.67694
Length    3, alignment  0/ 0:	7.23151	4.13367	6.71094
Length    3, alignment  0/ 0:	8.77563	4.64783	5.99115
Length    3, alignment  0/ 3:	8.83453	4.13312	6.70978
Length    3, alignment  3/ 0:	8.77368	4.13446	6.70905
Length    4, alignment  0/ 0:	8.77417	4.18671	8.77606
Length    4, alignment  0/ 0:	8.77472	4.30829	8.7821
Length    4, alignment  0/ 4:	8.7738	4.13184	9.38013
Length    4, alignment  4/ 0:	8.258	3.61407	9.28925
Length    5, alignment  0/ 0:	7.74152	4.12927	9.88287
Length    5, alignment  0/ 0:	8.25757	3.10291	9.80768
Length    5, alignment  0/ 5:	8.25775	4.12939	9.80597
Length    5, alignment  5/ 0:	8.05988	3.61334	9.28937
Length    6, alignment  0/ 0:	8.258	4.90295	11.363
Length    6, alignment  0/ 0:	8.83008	3.61499	7.48602
Length    6, alignment  0/ 6:	8.77362	4.12952	7.48309
Length    6, alignment  6/ 0:	7.74152	4.30634	7.55243
Length    7, alignment  0/ 0:	8.25928	4.30646	7.4856
Length    7, alignment  0/ 0:	8.25903	3.6142	8.00244
Length    7, alignment  0/ 7:	8.03839	3.61407	7.99994
Length    7, alignment  7/ 0:	8.25854	4.30847	7.99939
Length    8, alignment  0/ 0:	8.25781	4.32379	9.80725
Length    8, alignment  0/ 0:	8.2572	3.61749	9.29102
Length    8, alignment  0/ 0:	8.25922	4.12964	10.1382
Length    8, alignment  0/ 0:	8.2757	4.41583	10.4831
Length    9, alignment  0/ 0:	8.27655	4.41492	10.586
Length    9, alignment  0/ 0:	8.27551	3.86322	10.5141
Length    9, alignment  0/ 1:	8.82758	4.41388	10.4989
Length    9, alignment  1/ 0:	7.74164	3.61414	9.84143
Length   10, alignment  0/ 0:	7.74176	4.9032	10.3731
Length   10, alignment  0/ 0:	7.88788	4.90295	10.8919
Length   10, alignment  0/ 2:	8.25818	4.12927	10.8919
Length   10, alignment  2/ 0:	7.80975	3.61365	10.8901
Length   11, alignment  0/ 0:	7.74188	4.12921	12.9031
Length   11, alignment  0/ 0:	7.80408	4.30774	12.9036
Length   11, alignment  0/ 3:	8.25824	4.12933	12.9019
Length   11, alignment  3/ 0:	8.06818	3.61371	12.9019
Length   12, alignment  0/ 0:	8.25824	4.12952	13.9356
Length   12, alignment  0/ 0:	8.3288	3.61365	13.9349
Length   12, alignment  0/ 4:	7.74176	3.6134	14.4631
Length   12, alignment  4/ 0:	7.74097	3.61407	14.0928
Length   13, alignment  0/ 0:	7.27246	3.39471	14.0345
Length   13, alignment  0/ 0:	7.79492	3.79474	16.6495
Length   13, alignment  0/ 5:	8.29938	3.56183	16.9588
Length   13, alignment  5/ 0:	9.14203	4.0011	16.5692
Length   14, alignment  0/ 0:	9.19995	3.43427	12.6171
Length   14, alignment  0/ 0:	9.14337	4.57147	12.6007
Length   14, alignment  0/ 6:	8.63251	3.43481	12.6133
Length   14, alignment  6/ 0:	8.57172	4.76807	12.6195
Length   15, alignment  0/ 0:	9.77325	4.76697	13.1818
Length   15, alignment  0/ 0:	9.14447	4.00061	14.0253
Length   15, alignment  0/ 7:	9.14221	4.00134	12.6096
Length   15, alignment  7/ 0:	9.7135	4.00085	12.6747
Length   16, alignment  0/ 0:	9.14166	4.57886	13.7574
Length   16, alignment  7/ 2:	9.1438	4.1441	13.7574
Length   32, alignment  0/ 0:	10.2872	5.18726	23.6469
Length   32, alignment  6/ 4:	10.0794	4.74457	23.7045
Length   64, alignment  0/ 0:	10.0498	6.28796	41.2682
Length   64, alignment  5/ 6:	9.14508	5.151	41.2157
Length  128, alignment  0/ 0:	11.4314	6.86102	77.7677
Length  128, alignment  4/ 0:	12.0018	6.85938	78.0696
Length  256, alignment  0/ 0:	14.3263	10.0776	198.798
Length  256, alignment  3/ 2:	16.218	10.0757	187.362
Length  512, alignment  0/ 0:	16.915	13.1475	327.608
Length  512, alignment  2/ 4:	19.7158	15.4692	291.665
Length 1024, alignment  0/ 0:	25.2068	17.0023	590.774
Length 1024, alignment  1/ 6:	31.1177	28.7896	558.071
Length   16, alignment  1/ 2:	10.1501	4.15405	16.0637
Length   16, alignment  2/ 1:	9.48224	4.15033	15.8544
Length   16, alignment  1/ 1:	9.48059	4.14929	14.2627
Length   16, alignment  1/ 1:	9.48071	3.56201	14.201
Length   32, alignment  2/ 4:	9.48956	6.5553	24.0076
Length   32, alignment  4/ 2:	11.2601	5.9328	23.7752
Length   32, alignment  2/ 2:	10.5862	5.92828	23.7717
Length   32, alignment  2/ 2:	10.0867	6.23511	22.3517
Length   64, alignment  3/ 6:	9.71954	6.5036	37.0318
Length   64, alignment  6/ 3:	8.77856	5.68835	35.1156
Length   64, alignment  3/ 3:	8.24567	4.68005	32.2122
Length   64, alignment  3/ 3:	8.00409	4.44946	32.2239
Length  128, alignment  4/ 0:	8.00983	6.22516	62.0594
Length  128, alignment  0/ 4:	8.89362	6.22632	60.5858
Length  128, alignment  4/ 4:	8.89008	5.33759	61.3257
Length  128, alignment  4/ 4:	9.33356	5.77844	60.7806
Length  256, alignment  5/ 2:	12.5732	8.37103	169.757
Length  256, alignment  2/ 5:	16.1415	10.8881	186.881
Length  256, alignment  5/ 5:	16.312	10.0751	182.326
Length  256, alignment  5/ 5:	13.6065	8.50116	168.603
Length  512, alignment  6/ 4:	19.9249	15.412	334.62
Length  512, alignment  4/ 6:	19.8824	15.408	296.672
Length  512, alignment  6/ 6:	16.5103	11.6041	312.479
Length  512, alignment  6/ 6:	18.9858	13.3056	299.804
Length 1024, alignment  7/ 6:	26.5589	24.39	600.632
Length 1024, alignment  6/ 7:	26.7645	22.218	584.334
Length 1024, alignment  7/ 7:	26.6725	18.8029	548.382
Length 1024, alignment  7/ 7:	26.1859	18.7975	616.08
Length    0, alignment  0/ 0:	8.83514	4.20905	2.91156
Length    0, alignment  0/ 0:	7.27435	3.89154	2.42621
Length    0, alignment  0/ 0:	7.479	3.39655	2.91022
Length    0, alignment  0/ 0:	8.2417	3.91168	3.39478
Length    1, alignment  0/ 0:	7.30566	4.31952	3.88165
Length    1, alignment  0/ 0:	7.42767	4.64661	4.21466
Length    1, alignment  0/ 1:	7.77942	4.57452	4.00146
Length    1, alignment  1/ 0:	8.18903	5.14362	4.00024
Length    2, alignment  0/ 0:	8.27661	4.57562	6.02777
Length    2, alignment  0/ 0:	8.00012	4.57336	6.01947
Length    2, alignment  0/ 2:	8.5708	4.77271	6.01794
Length    2, alignment  2/ 0:	8.00055	4.57819	6.0177
Length    3, alignment  0/ 0:	9.71539	4.57965	7.14447
Length    3, alignment  0/ 0:	9.26624	4.57831	7.42889
