                                	simple_strcspn	__strcspn_sse42	__strcspn_sse2
Length  512, alignment  0, rej len  0:	601.971	11.6377	304.15
Length  512, alignment  0, rej len  0:	588.204	11.1611	303.537
Length  512, alignment  0, rej len  1:	882.39	73.9443	302.432
Length  512, alignment  1, rej len  1:	722.303	74.3574	303.609
Length  512, alignment  0, rej len  2:	1006.39	74.3926	305.341
Length  512, alignment  2, rej len  2:	1012.09	73.1768	301.571
Length  512, alignment  0, rej len  3:	1860.21	73.8076	298.244
Length  512, alignment  3, rej len  3:	1806.29	68.4287	299.035
Length  512, alignment  0, rej len  4:	2508.18	74.8545	316.799
Length  512, alignment  4, rej len  4:	2547.51	78.543	327.761
Length  512, alignment  0, rej len  5:	3934.78	76.1162	315.974
Length  512, alignment  5, rej len  5:	4162.78	78.416	314.915
Length  512, alignment  0, rej len  6:	3421.14	72.2393	308.955
Length  512, alignment  6, rej len  6:	2532.79	68.4004	287.807
Length  512, alignment  0, rej len  7:	2650.11	64.0195	268.379
Length  512, alignment  7, rej len  7:	2640.68	64.2568	269.016
Length  512, alignment  0, rej len  8:	3230.62	71.0488	308.355
Length  512, alignment  0, rej len  8:	3345.67	72.2451	308.703
Length  512, alignment  0, rej len  9:	4126.43	66.0176	268.237
Length  512, alignment  1, rej len  9:	3500.46	60.8877	245.194
Length  512, alignment  0, rej len 10:	3674.51	58.7217	246.594
Length  512, alignment  2, rej len 10:	3934.94	64.9111	271.204
Length  512, alignment  0, rej len 11:	4728.94	76.4629	318.312
Length  512, alignment  3, rej len 11:	5042.61	76.9316	318.32
Length  512, alignment  0, rej len 12:	4922	69.0469	292.479
Length  512, alignment  4, rej len 12:	5302.47	76.915	319.549
Length  512, alignment  0, rej len 13:	5542.25	73.8438	308.375
Length  512, alignment  5, rej len 13:	4826.75	66.5137	272.222
Length  512, alignment  0, rej len 14:	5973.57	69.1084	292.631
Length  512, alignment  6, rej len 14:	6512.64	76.8564	320.394
Length  512, alignment  0, rej len 15:	7552.3	73.8574	312.617
Length  512, alignment  7, rej len 15:	7529.86	78.3555	318.787
Length  512, alignment  0, rej len 16:	7686.79	64.8789	272.438
Length  512, alignment  0, rej len 16:	6862.7	69.1006	292.674
Length  512, alignment  0, rej len 17:	5439.88	292.901	292.129
Length  512, alignment  1, rej len 17:	5420.65	297.13	318.901
Length  512, alignment  0, rej len 18:	6236.25	329.274	321.307
Length  512, alignment  2, rej len 18:	5963.29	315.248	310.094
Length  512, alignment  0, rej len 19:	5937.08	278.746	276.82
Length  512, alignment  3, rej len 19:	6369.79	314.228	314.699
Length  512, alignment  0, rej len 20:	6446.32	296.693	294.886
Length  512, alignment  4, rej len 20:	6439.89	316.583	314.321
Length  512, alignment  0, rej len 21:	6681.47	310.917	312.394
Length  512, alignment  5, rej len 21:	6879.18	314.646	312.125
Length  512, alignment  0, rej len 22:	7149.65	326.542	324.11
