                       	simple_strncasecmp	__strncasecmp_avx	__strncasecmp_sse42	__strncasecmp_ssse3	__strncasecmp_sse2
Length    1, alignment  1/ 1:	3.87329	3.9834	4.32031	6.71631	4.5415
Length    1, alignment  1/ 1:	7.21777	4.42749	3.33276	3.37402	3.8728
Length    1, alignment  1/ 1:	6.08179	3.87866	3.32593	3.87329	3.34741
Length    1, alignment  1/ 1:	6.08057	3.87476	3.31885	3.35327	3.34521
Length    1, alignment  1/ 1:	10.4944	5.03003	5.17407	5.65186	5.60083
Length    1, alignment  1/ 1:	6.07642	4.89014	5.16699	5.59033	5.60327
Length    1, alignment  1/ 1:	6.07446	4.89136	5.1626	5.61475	5.58911
Length    2, alignment  2/ 2:	7.73389	4.42578	3.32129	3.87061	3.87158
Length    2, alignment  2/ 2:	11.0989	4.9917	4.98828	5.69092	5.44019
Length    2, alignment  2/ 2:	8.61426	4.89258	5.16772	5.59937	5.61328
Length    2, alignment  2/ 2:	8.56055	4.88843	5.16016	5.60889	5.60938
Length    2, alignment  2/ 2:	11.0481	4.88647	5.16016	5.6084	5.5979
Length    2, alignment  2/ 2:	8.55566	4.97583	5.1604	5.61572	5.58521
Length    2, alignment  2/ 2:	8.55371	4.97729	5.1582	5.59912	5.59668
Length    3, alignment  3/ 3:	10.4946	5.99561	4.99097	5.61938	5.58545
Length    3, alignment  3/ 3:	12.7029	5.52759	5.52441	5.52661	5.56934
Length    3, alignment  3/ 3:	10.9382	4.88721	5.15991	5.60571	5.60132
Length    3, alignment  3/ 3:	11.0488	4.97656	5.15942	5.59937	5.57544
Length    3, alignment  3/ 3:	12.1543	4.97534	5.15918	5.60229	5.73438
Length    3, alignment  3/ 3:	9.49316	4.88647	5.15967	5.61084	5.59644
Length    3, alignment  3/ 3:	11.4263	4.97681	5.16016	5.59033	5.58179
Length    4, alignment  4/ 4:	11.0466	5.52588	5.52588	5.57007	5.50854
Length    4, alignment  4/ 4:	12.1465	5.52515	5.5249	5.71387	5.57178
Length    4, alignment  4/ 4:	11.0444	4.97656	5.16016	5.60498	5.61328
Length    4, alignment  4/ 4:	11.0459	4.97729	5.16016	5.58813	5.58984
Length    4, alignment  4/ 4:	13.2976	4.97632	5.15967	5.59766	6.98193
Length    4, alignment  4/ 4:	11.04	4.88794	5.16016	5.5896	5.5979
Length    4, alignment  4/ 4:	11.0444	4.88843	5.15942	5.59766	5.60474
Length    5, alignment  5/ 5:	12.1487	4.98608	4.98779	5.62573	5.55249
Length    5, alignment  5/ 5:	13.292	5.52417	4.98584	5.6709	5.52563
Length    5, alignment  5/ 5:	12.1479	4.97217	5.15967	5.60376	5.5896
Length    5, alignment  5/ 5:	12.1504	4.97729	6.09863	5.59863	5.59619
Length    5, alignment  5/ 5:	14.4001	4.97095	5.15967	5.5874	5.61646
Length    5, alignment  5/ 5:	12.1406	4.88867	5.15942	5.58789	5.59839
Length    5, alignment  5/ 5:	9.16943	4.97705	5.15845	5.62305	5.57983
Length    6, alignment  6/ 6:	13.2517	5.52563	5.52637	5.60449	5.55469
Length    6, alignment  6/ 6:	14.356	5.52173	5.52393	5.63696	5.5542
Length    6, alignment  6/ 6:	18.124	5.59229	5.5415	5.63232	5.61279
Length    6, alignment  6/ 6:	13.2493	4.8894	5.15894	5.59888	5.61841
Length    6, alignment  6/ 6:	15.458	4.97681	5.16187	5.61694	5.60278
Length    6, alignment  6/ 6:	13.2441	4.97729	5.15869	5.60913	5.60156
Length    6, alignment  6/ 6:	10.2285	4.97559	5.15869	5.59033	5.59082
Length    7, alignment  7/ 7:	15.6609	4.98779	4.98682	5.72412	5.55127
Length    7, alignment  7/ 7:	15.4673	4.98438	4.71143	5.71582	5.57886
Length    7, alignment  7/ 7:	14.3552	4.8877	5.15918	5.60107	5.59448
Length    7, alignment  7/ 7:	12.9531	4.97681	5.16089	5.61572	5.60181
Length    7, alignment  7/ 7:	16.0149	4.8877	5.15918	5.60547	5.60498
Length    7, alignment  7/ 7:	14.3496	4.88818	6.11108	5.60498	5.59595
Length    7, alignment  7/ 7:	14.3464	4.88892	5.16333	5.60303	5.60327
Length    8, alignment  0/ 0:	15.4583	4.98584	5.52563	5.69873	5.51343
Length    8, alignment  0/ 0:	16.564	4.98584	4.98218	5.57715	5.50977
Length    8, alignment  0/ 0:	15.4656	4.97656	5.15942	5.59058	5.60498
Length    8, alignment  0/ 0:	15.4546	4.97583	5.15967	6.30225	5.60205
Length    8, alignment  0/ 0:	17.6748	4.97705	5.15967	5.59839	5.60693
Length    8, alignment  0/ 0:	15.4563	4.97681	5.34082	5.81714	5.78882
Length    8, alignment  0/ 0:	15.9392	5.06274	5.34351	5.81152	5.81812
Length    9, alignment  1/ 1:	17.4734	5.72363	5.1665	5.97437	5.94482
Length    9, alignment  1/ 1:	18.321	5.72363	5.81689	5.99268	5.70605
Length    9, alignment  1/ 1:	14.3513	5.06201	5.34595	5.80957	5.82202
Length    9, alignment  1/ 1:	14.3423	5.06152	5.34473	5.81885	5.78931
Length    9, alignment  1/ 1:	19.4497	5.1543	5.34399	5.80127	5.81445
Length    9, alignment  1/ 1:	17.1448	5.0625	5.34424	5.81592	5.79761
Length    9, alignment  1/ 1:	14.3474	5.15527	6.08716	5.80566	5.79199
Length   10, alignment  2/ 2:	18.2971	5.16553	4.87646	5.79248	5.73926
Length   10, alignment  2/ 2:	19.5093	5.72412	5.72266	5.79443	5.72559
Length   10, alignment  2/ 2:	17.7349	5.06226	5.34375	5.80493	5.82788
Length   10, alignment  2/ 2:	13.3621	5.15283	5.34375	5.78662	5.80273
Length   10, alignment  2/ 2:	23.0857	5.15381	5.34375	5.80786	5.81641
Length   10, alignment  2/ 2:	13.3662	5.06226	5.34277	5.81348	5.81372
Length   10, alignment  2/ 2:	13.8762	5.06079	5.3418	5.99194	6.03125
Length   11, alignment  3/ 3:	20.1589	5.93384	5.35254	6.36426	5.66284
Length   11, alignment  3/ 3:	22.2009	5.35522	5.93408	6.13599	6.17847
Length   11, alignment  3/ 3:	17.032	5.34595	5.54395	6.02075	6.02734
Length   11, alignment  3/ 3:	20.0669	5.06152	5.34351	5.81079	5.80005
Length   11, alignment  3/ 3:	22.2771	5.06274	5.34497	5.79077	5.80884
Length   11, alignment  3/ 3:	16.0828	5.15405	5.3396	5.81128	5.80322
Length   11, alignment  3/ 3:	19.4275	5.15405	5.97388	5.79932	5.79395
Length   12, alignment  4/ 4:	22.2937	5.72241	5.72314	5.84229	5.97021
Length   12, alignment  4/ 4:	21.156	5.16309	5.16016	5.75049	5.75171
Length   12, alignment  4/ 4:	17.3191	5.1543	5.34399	5.79688	5.79443
Length   12, alignment  4/ 4:	20.9556	5.06177	5.34277	5.80859	5.80298
Length   12, alignment  4/ 4:	22.9868	5.15381	5.34546	5.79199	5.80713
Length   12, alignment  4/ 4:	17.3174	5.15454	5.34448	5.8125	5.78687
Length   12, alignment  4/ 4:	17.3201	5.15454	5.3418	5.79614	5.78857
Length   13, alignment  5/ 5:	21.158	5.72583	5.72241	5.93701	5.62378
Length   13, alignment  5/ 5:	22.2974	5.7229	5.86841	5.91479	5.75659
Length   13, alignment  5/ 5:	23.4358	5.06274	5.34448	5.80298	5.79834
Length   13, alignment  5/ 5:	21.1494	5.15308	5.34351	5.80762	5.80249
Length   13, alignment  5/ 5:	23.4434	5.06152	5.34326	5.80029	5.79932
Length   13, alignment  5/ 5:	16.7192	5.15454	5.34351	5.80396	5.79419
Length   13, alignment  5/ 5:	17.4055	5.15454	5.34351	5.79761	5.79858
Length   14, alignment  6/ 6:	22.2993	5.7229	5.16016	5.80249	5.89062
Length   14, alignment  6/ 6:	23.4412	5.72266	5.72339	5.90552	5.80908
Length   14, alignment  6/ 6:	18.4617	5.0625	5.34473	5.79688	5.80518
Length   14, alignment  6/ 6:	18.4661	5.79883	5.34644	5.78784	5.80249
Length   14, alignment  6/ 6:	24.594	5.1543	5.34302	5.79175	5.80103
Length   14, alignment  6/ 6:	18.4438	5.15332	5.34082	5.79297	5.78564
Length   14, alignment  6/ 6:	17.908	5.06177	5.34033	5.78979	5.79199
Length   15, alignment  7/ 7:	23.4412	5.16382	5.16187	5.69995	6.57422
Length   15, alignment  7/ 7:	24.5842	5.72168	5.16211	5.93994	5.72949
Length   15, alignment  7/ 7:	19.6191	5.06226	5.34473	5.80591	5.8042
Length   15, alignment  7/ 7:	19.603	5.06372	5.34399	5.79736	5.81543
Length   15, alignment  7/ 7:	25.7302	5.06152	5.35254	5.81348	5.81006
Length   15, alignment  7/ 7:	19.958	5.06226	5.34253	5.80933	5.80176
Length   15, alignment  7/ 7:	19.04	5.15649	5.34082	5.81372	5.80273
Length    4, alignment  0/ 0:	11.4333	5.72192	5.15015	5.95044	5.74609
Length    4, alignment  0/ 0:	12.583	5.7229	5.16138	5.92017	5.75464
Length    4, alignment  0/ 0:	13.7214	5.06274	5.34277	5.78271	5.81323
Length    4, alignment  0/ 0:	13.7197	5.59204	5.34375	5.81079	5.78687
Length    4, alignment  0/ 0:	11.4355	5.15186	5.34302	5.79761	5.78906
Length    4, alignment  0/ 0:	11.4341	5.06274	5.34326	5.78955	5.79639
Length    4, alignment  0/ 0:	11.4304	5.05835	5.34302	5.79346	5.78833
Length    4, alignment  0/ 0:	11.4255	5.15137	5.34351	5.8064	5.7832
Length    4, alignment  0/ 0:	11.4246	5.06006	5.34326	5.80566	5.802
Length    4, alignment  0/ 0:	11.9312	5.05884	5.34351	5.8042	5.79224
Length    4, alignment  0/ 0:	11.4243	5.15088	5.34399	5.79761	5.7959
Length    4, alignment  0/ 0:	11.4309	5.05811	5.34375	5.80249	5.79077
Length    8, alignment  0/ 0:	16.0151	5.72266	5.72119	5.7793	5.91748
Length    8, alignment  0/ 0:	17.1553	5.16333	5.7229	5.698	5.71753
Length    8, alignment  0/ 0:	18.8181	5.06152	5.34229	5.80151	5.80322
Length    8, alignment  0/ 0:	18.2959	5.06079	5.34326	5.79785	5.80664
Length    8, alignment  0/ 0:	13.7478	5.05859	5.34351	5.80322	5.79663
Length    8, alignment  0/ 0:	16.0005	5.15161	5.34277	5.802	5.76733
Length    8, alignment  0/ 0:	15.9988	5.14966	5.36182	5.78931	5.8833
Length    8, alignment  0/ 0:	15.1057	4.97339	5.15991	5.59448	5.58472
Length    8, alignment  0/ 0:	15.4478	4.97485	5.16064	5.61499	5.59424
Length    8, alignment  0/ 0:	15.4475	4.97192	5.1604	5.60449	5.58716
Length    8, alignment  0/ 0:	15.4495	4.88477	5.15991	5.59937	5.58447
Length    8, alignment  0/ 0:	15.4485	4.88501	5.17163	5.58569	5.59546
Length   16, alignment  0/ 0:	24.1487	4.97974	4.71582	5.6084	5.58325
Length   16, alignment  0/ 0:	24.8457	4.44678	4.71167	5.57666	5.62549
Length   16, alignment  0/ 0:	25.9414	8.25562	8.91064	9.12769	9.27637
Length   16, alignment  0/ 0:	25.9387	8.19897	8.84009	9.11963	9.75854
Length   16, alignment  0/ 0:	23.738	4.88843	5.16357	5.59229	5.60498
Length   16, alignment  0/ 0:	23.7334	4.89038	5.16138	5.6001	5.60376
Length   16, alignment  0/ 0:	20.019	4.88794	5.1604	5.59521	5.59766
Length   16, alignment  0/ 0:	19.4565	4.97754	5.1604	5.59033	5.60205
Length   16, alignment  0/ 0:	23.293	5.15332	5.34375	5.7915	5.83691
Length   16, alignment  0/ 0:	20.1758	5.06177	5.34302	5.79639	5.81763
Length   16, alignment  0/ 0:	23.6655	5.13794	5.15918	5.66138	5.7981
Length   16, alignment  0/ 0:	20.1726	5.15381	5.34351	5.81055	5.91821
Length   32, alignment  0/ 0:	41.9119	7.47119	8.11426	8.40527	8.40723
Length   32, alignment  0/ 0:	42.4873	7.74731	8.29688	8.5791	8.58545
Length   32, alignment  0/ 0:	43.6006	9.68506	10.7788	12.2104	11.9802
Length   32, alignment  0/ 0:	43.5906	9.6748	10.7742	11.8838	11.9761
Length   32, alignment  0/ 0:	41.3879	8.19995	8.84302	9.12085	9.21509
Length   32, alignment  0/ 0:	38.1404	8.20044	8.84375	9.11768	9.20996
Length   32, alignment  0/ 0:	37.179	8.33203	8.84229	9.11646	9.20776
Length   32, alignment  0/ 0:	41.3765	8.19653	8.83984	9.80835	9.20874
Length   32, alignment  0/ 0:	41.3794	8.19678	8.83936	9.11768	9.20972
Length   32, alignment  0/ 0:	41.3765	8.19653	8.8374	9.12061	9.20801
Length   32, alignment  0/ 0:	40.0337	8.19727	8.83887	9.1167	9.20874
Length   32, alignment  0/ 0:	41.3777	8.19678	8.83716	9.11572	9.20728
Length   64, alignment  0/ 0:	77.1067	11.4583	12.8555	13.2693	13.2734
Length   64, alignment  0/ 0:	98.394	11.437	12.8872	13.999	13.2607
Length   64, alignment  0/ 0:	78.9116	13.8699	14.9216	16.24	16.3633
Length   64, alignment  0/ 0:	79.4482	13.8459	14.9136	16.2351	16.3479
Length   64, alignment  0/ 0:	72.521	12.5757	13.4551	14.0569	14.0923
Length   64, alignment  0/ 0:	76.688	12.0864	13.4365	14.0522	14.0815
Length   64, alignment  0/ 0:	78.2339	12.5574	13.916	14.4893	14.6536
Length   64, alignment  0/ 0:	75.0129	13.1145	13.9175	14.4917	14.5864
Length   64, alignment  0/ 0:	75.1267	12.5129	13.9136	14.4875	14.5854
Length   64, alignment  0/ 0:	79.978	12.5095	13.9153	14.4927	14.5864
Length   64, alignment  0/ 0:	79.9348	12.5117	13.916	14.498	14.6851
