                            	generic_strncat	__strncat_avx2	__strncat_avx2_rtm	__strncat_evex	__strncat_ssse3	__strncat_sse2_unaligned	__strncat_sse2
Length    2/   2, alignment  0/ 2, N    2:	20.7829	18.866	18.3195	18.9895	6.33673	17.2075	21.1724
Length    4/   4, alignment  0/ 0, N    2:	20.1708	18.3171	18.4139	18.8922	5.7334	17.3047	21.1702
Length    4/   4, alignment  4/ 0, N    2:	21.2265	18.4304	18.3126	19.012	5.22961	17.2681	21.2882
Length    8/   8, alignment  0/ 0, N    2:	20.6308	18.3155	18.472	18.8919	6.3147	17.189	22.0175
Length    8/   8, alignment  0/ 0, N    2:	20.7782	19.2286	19.0014	17.5414	5.71887	15.046	18.5234
Length   16/  16, alignment  0/ 0, N    2:	17.687	16.0258	16.027	16.6848	12.074	15.0316	18.1364
Length   16/  16, alignment  7/ 2, N    2:	17	15.5408	15.9801	16.03	12.3183	14.7929	18.1393
Length   16/   4, alignment  0/ 0, N    2:	16.9994	15.541	15.7101	16.0302	5.34625	14.7717	17.963
Length   16/   4, alignment  7/ 2, N    2:	20.1028	15.7427	15.5359	16.0318	4.91364	14.7413	18.8416
Length   32/  32, alignment  0/ 0, N    2:	18.5828	16.7167	16.5543	17.6934	12.0557	14.5603	17.4544
Length   32/  32, alignment  6/ 4, N    2:	16.3724	14.2653	14.3419	15.151	12.1744	13.3676	17.3949
Length   32/   8, alignment  0/ 0, N    2:	17.0007	15.5737	15.9831	17.0609	5.68115	15.5239	19.2909
Length   32/   8, alignment  6/ 4, N    2:	18.0964	16.5438	16.7177	17.0598	5.67877	15.7528	19.1216
Length   64/  64, alignment  0/ 0, N    2:	19.0125	17.9681	17.8182	18.4456	12.8306	15.6347	18.5807
Length   64/  64, alignment  5/ 6, N    2:	18.7528	16.6554	16.7067	17.3989	15.3502	15.6851	18.7567
Length   64/  16, alignment  0/ 0, N    2:	18.1017	16.7314	16.546	17.0604	12.6434	15.5823	19.1214
Length   64/  16, alignment  5/ 6, N    2:	18.278	16.5441	16.5438	17.2306	15.042	15.7484	19.2642
Length  128/ 128, alignment  0/ 0, N    2:	17.9772	15.5934	15.7969	16.0825	12.8521	14.8832	17.578
Length  128/ 128, alignment  4/ 0, N    2:	17.7104	15.8336	15.6091	16.1611	12.6473	14.6353	17.7773
Length  128/  32, alignment  0/ 0, N    2:	17.6338	15.5471	15.5497	16.6409	11.7054	14.5473	17.4552
Length  128/  32, alignment  4/ 0, N    2:	17.6696	15.568	15.5493	16.3595	11.7102	14.5872	18.6271
Length  256/ 256, alignment  0/ 0, N    2:	19.4655	15.6894	15.9202	16.0493	14.894	15.0342	19.4705
Length  256/ 256, alignment  3/ 2, N    2:	19.4555	15.8644	15.6771	16.1125	15.5025	14.5804	19.4694
Length  256/  64, alignment  0/ 0, N    2:	17.5961	15.5816	15.6589	16.4714	11.7887	14.6388	17.6129
Length  256/  64, alignment  3/ 2, N    2:	17.4545	15.6512	15.8805	16.2397	12.4272	15.7924	18.5824
Length  512/ 512, alignment  0/ 0, N    2:	22.7432	18.4259	18.4835	19.2344	26.9324	20.8693	23.3237
Length  512/ 512, alignment  2/ 4, N    2:	23.2751	18.2876	18.4835	19.2065	28.0121	20.8571	23.1279
Length  512/ 128, alignment  0/ 0, N    2:	21.0573	18.6669	18.3979	19.0185	14.6445	17.3653	20.851
Length  512/ 128, alignment  2/ 4, N    2:	20.9507	18.4739	18.395	19.0467	16.626	17.3171	20.9548
Length 1024/1024, alignment  0/ 0, N    2:	25.7178	21.8814	22.1491	20.3882	46.3757	34.2906	27.676
Length 1024/1024, alignment  1/ 6, N    2:	25.2313	22.6598	23.0154	21.321	48.1954	34.1548	25.2033
Length 1024/ 256, alignment  0/ 0, N    2:	24.2603	19.3035	19.2374	19.8964	18.3185	18.1179	23.9248
Length 1024/ 256, alignment  1/ 6, N    2:	23.7961	19.2809	19.2325	19.6928	20.2396	18.1892	23.8989
Length   16/   1, alignment  1/ 2, N    2:	21.9614	18.9877	19.0853	19.5908	5.36676	17.9139	21.6952
Length   16/   1, alignment  2/ 1, N    2:	21.2829	18.3073	18.3112	18.9999	5.16888	17.1719	21.2866
Length   16/  10, alignment  1/ 1, N    2:	20.0355	18.3152	18.4051	18.8944	6.8645	17.3055	21.1698
Length   32/   1, alignment  2/ 4, N    2:	20.1512	18.3174	18.3175	18.9838	5.17102	17.1827	21.2855
Length   32/   1, alignment  4/ 2, N    2:	21.2308	18.3143	18.4099	18.8789	5.16992	17.2977	21.2648
Length   32/  10, alignment  2/ 2, N    2:	20.0366	18.4244	18.3162	18.982	6.32037	17.1779	21.3111
