                            	generic_strncpy	__strncpy_avx2	__strncpy_avx2_rtm	__strncpy_evex	__strncpy_ssse3	__strncpy_sse2_unaligned	__strncpy_sse2
Length   16, n   16, alignment  1/ 1:	9.92897	6.73417	8.14991	6.14791	7.18814	4.74849	9.47619
Length   16, n   16, alignment  1/ 1:	8.92029	6.2072	7.38223	6.03427	6.11201	4.13663	9.14301
Length   16, n   16, alignment  1/ 2:	9.89733	6.98516	8.08415	5.35029	6.96362	4.44628	8.53247
Length   16, n   16, alignment  2/ 1:	8.33326	5.36533	5.96735	4.45257	5.48491	3.88962	7.7821
Length    2, n    4, alignment  7/ 2:	8.64721	7.71112	8.78469	9.35698	6.19767	6.65166	9.23089
Length    4, n    2, alignment  2/ 7:	7.25286	5.09283	5.43072	5.87813	3.80799	4.86041	8.15884
Length    2, n    4, alignment  7/ 2:	10.9048	7.26132	9.46099	8.43966	6.44527	7.8805	9.48996
Length    4, n    2, alignment  2/ 7:	7.77439	6.53285	7.22768	6.71407	3.37429	4.84058	8.21917
Length   16, n   16, alignment  2/ 2:	9.15882	6.50527	7.22006	5.73911	6.88959	4.58168	9.17166
Length   16, n   16, alignment  2/ 2:	9.04775	6.06726	7.75122	5.78436	6.6544	4.42408	9.42797
Length   16, n   16, alignment  2/ 4:	9.55066	6.83636	8.01824	5.94506	6.52567	4.41878	8.71045
Length   16, n   16, alignment  4/ 2:	8.44059	5.70175	7.42344	4.88881	6.72919	4.14407	8.28467
Length    4, n    8, alignment  6/ 4:	11.1271	6.80396	8.47471	9.17018	8.27369	8.14214	10.8
Length    8, n    4, alignment  4/ 6:	8.75038	6.21357	6.73135	6.01522	4.16276	4.13769	8.60758
Length    4, n    8, alignment  6/ 4:	10.9805	7.40794	9.75801	8.7733	8.01809	8.60672	12.2571
Length    8, n    4, alignment  4/ 6:	8.8452	6.40428	7.2546	6.12915	4.16507	5.25249	8.96771
Length   16, n   16, alignment  3/ 3:	9.5531	6.34068	7.40911	5.7277	6.91229	4.63287	8.85541
Length   16, n   16, alignment  3/ 3:	9.40778	6.51159	6.82226	5.58391	6.44083	4.43455	9.21341
Length   16, n   16, alignment  3/ 6:	8.72756	5.39696	7.1353	5.83761	7.20002	4.5894	9.36654
Length   16, n   16, alignment  6/ 3:	7.66481	5.35038	6.44696	5.00622	6.73059	4.13948	8.36872
Length    8, n   16, alignment  5/ 6:	10.0427	7.16289	7.9719	7.28346	8.01797	9.70492	9.87444
Length   16, n    8, alignment  6/ 5:	7.77734	5.98389	7.07794	6.3949	4.85859	4.17654	7.94874
Length    8, n   16, alignment  5/ 6:	10.7447	6.88124	8.68866	8.39228	9.16915	9.53088	10.2425
Length   16, n    8, alignment  6/ 5:	8.28941	6.21419	7.37053	5.63543	5.26167	4.32841	8.2452
Length   16, n   16, alignment  4/ 4:	8.56775	5.60744	6.53809	4.94424	6.88382	4.57967	9.06027
Length   16, n   16, alignment  4/ 4:	9.73407	5.75359	6.72795	5.1829	6.61293	4.16898	9.48719
Length   16, n   16, alignment  4/ 0:	9.55642	6.87442	7.61915	4.61048	5.93459	3.88591	7.29927
Length   16, n   16, alignment  0/ 4:	7.56903	5.2959	7.78307	5.98643	6.88672	4.57929	9.30217
Length   16, n   32, alignment  4/ 0:	12.034	7.82527	7.95313	6.44691	11.9086	7.55684	10.852
Length   32, n   16, alignment  0/ 4:	8.80208	6.92095	6.45361	5.60019	6.87423	4.89178	9.17041
Length   16, n   32, alignment  4/ 0:	11.6161	7.42484	9.17038	7.2534	12.2018	8.31343	10.3708
Length   32, n   16, alignment  0/ 4:	8.41916	5.01752	6.94259	5.94675	7.22073	4.76868	9.24432
Length   16, n   16, alignment  5/ 5:	9.2473	6.70121	7.44526	6.01118	7.32851	4.13973	8.28484
Length   16, n   16, alignment  5/ 5:	8.29807	5.59016	7.65249	5.39419	6.88214	4.60568	9.37977
Length   16, n   16, alignment  5/ 2:	9.17359	6.08459	7.39306	5.55685	6.38012	4.13969	8.27668
Length   16, n   16, alignment  2/ 5:	8.06803	5.57243	6.36569	4.16976	5.42612	4.37764	9.6041
Length   32, n   64, alignment  3/ 2:	13.0581	7.28868	8.99464	6.51886	14.3089	6.67958	12.408
Length   64, n   32, alignment  2/ 3:	8.9264	6.07327	7.2862	5.39727	14.6388	3.98471	7.78646
Length   32, n   64, alignment  3/ 2:	11.0944	6.58203	8.52603	6.06381	13.0598	6.00352	10.8568
Length   64, n   32, alignment  2/ 3:	8.9268	6.53524	7.45884	5.40679	15.6851	4.43378	8.6743
Length   16, n   16, alignment  6/ 6:	8.88631	5.61326	6.53124	4.90405	6.70115	4.57712	9.1684
Length   16, n   16, alignment  6/ 6:	9.74275	6.792	6.90421	4.88888	5.44027	4.25616	9.35881
Length   16, n   16, alignment  6/ 4:	9.52346	6.55859	7.19561	4.6673	5.82863	3.88924	7.7743
Length   16, n   16, alignment  4/ 6:	8.14985	5.69522	6.41159	4.55824	6.86159	4.57907	9.11311
Length   64, n  128, alignment  2/ 4:	12.3678	7.78726	7.08199	6.51081	19.8875	8.51601	11.379
Length  128, n   64, alignment  4/ 2:	8.29324	5.99099	6.17958	6.09592	13.1559	5.98694	8.97286
Length   64, n  128, alignment  2/ 4:	9.8754	7.762	7.78337	8.87204	19.6166	7.78787	10.1974
Length  128, n   64, alignment  4/ 2:	8.27102	6.34276	6.64229	6.18453	13.8222	6.29287	8.7443
Length   16, n   16, alignment  7/ 7:	8.61599	5.98288	6.744	5.08133	6.86997	4.53742	9.16944
Length   16, n   16, alignment  7/ 7:	9.75491	5.83342	5.87419	5.30837	7.47746	4.75987	9.50831
Length   16, n   16, alignment  7/ 6:	9.65042	6.34331	7.24575	4.83608	5.46558	3.56474	7.14571
Length   16, n   16, alignment  6/ 7:	7.87188	5.36598	6.6335	5.7584	7.08757	4.58081	9.1703
Length  128, n  256, alignment  1/ 6:	10.1989	8.27643	8.69785	7.67022	21.2004	10.5347	9.3664
Length  256, n  128, alignment  6/ 1:	8.6285	6.82683	8.16264	7.76392	20.5122	9.03774	9.64504
Length  128, n  256, alignment  1/ 6:	10.6506	9.17311	9.46665	7.30052	20.2722	10.2641	8.4603
Length  256, n  128, alignment  6/ 1:	10.7648	8.0214	8.16211	7.68687	18.3007	9.58045	9.40926
Length    8, n   16, alignment  0/ 0:	9.80325	6.56803	9.36933	6.67295	9.16233	9.76521	10.8047
Length   32, n   16, alignment  0/ 0:	7.70412	4.99599	5.86566	4.28547	5.54008	4.8826	9.68546
Length    8, n   16, alignment  7/ 2:	11.9036	7.52842	9.76101	6.64379	7.99707	10.2729	10.4028
Length   32, n   16, alignment  7/ 2:	9.34027	5.72416	6.94281	5.08312	6.15714	3.8147	7.34681
Length   16, n   32, alignment  0/ 0:	10.7463	7.40968	10.2946	7.32539	11.5391	9.72721	12.1066
Length   64, n   32, alignment  0/ 0:	9.1751	5.15342	7.46132	5.57552	8.86306	4.73664	8.59881
Length   16, n   32, alignment  6/ 4:	11.9189	8.31429	11.0554	7.30257	12.2044	7.22686	9.9104
Length   64, n   32, alignment  6/ 4:	7.36719	4.03511	5.71914	4.00911	11.194	3.88934	8.11442
Length   32, n   64, alignment  0/ 0:	12.8502	6.58956	10.3428	7.62995	13.3446	7.79398	11.5687
Length  128, n   64, alignment  0/ 0:	8.37974	4.02032	5.9396	5.74698	12.4453	5.99329	10.2806
Length   32, n   64, alignment  5/ 6:	12.3285	7.9855	10.7522	7.99974	18.9035	7.76622	11.0731
Length  128, n   64, alignment  5/ 6:	8.22262	4.71161	6.83409	5.73956	16.9813	6.58884	7.63986
Length   64, n  128, alignment  0/ 0:	9.43612	7.44473	8.42227	8.42178	14.1869	7.89694	10.601
Length  256, n  128, alignment  0/ 0:	9.54785	6.71689	7.47029	6.50754	12.0265	7.60222	8.68205
Length   64, n  128, alignment  4/ 0:	11.4517	8.59495	9.75522	8.60447	15.1095	8.57567	12.3211
Length  256, n  128, alignment  4/ 0:	10.4412	8.43533	8.52022	8.02871	18.4925	8.83866	9.32285
Length  128, n  256, alignment  0/ 0:	8.49436	7.73182	7.82114	8.12524	14.9466	10.3711	9.08072
Length  512, n  256, alignment  0/ 0:	12.3302	9.13102	10.243	9.74289	17.8	10.7088	11.6615
Length  128, n  256, alignment  3/ 2:	9.29552	8.81396	9.34107	9.52645	24.1558	11.8381	9.47122
Length  512, n  256, alignment  3/ 2:	12.3459	11.7401	12.2943	10.5205	22.0391	13.0766	14.1788
Length  256, n  512, alignment  0/ 0:	18.6877	12.4406	11.6195	12.5143	21.3753	14.9305	12.4356
Length 1024, n  512, alignment  0/ 0:	13.301	12.4903	12.6607	9.6256	27.231	16.3023	13.8623
Length  256, n  512, alignment  2/ 4:	16.89	12.497	12.4687	11.4234	27.1731	15.8247	16.5783
