                    	generic_strnlen	memchr_strnlen	__strnlen_avx2	__strnlen_avx2_rtm	__strnlen_evex	__strnlen_sse2
Length    1, alignment  0:	2.75923	5.5674	3.21825	2.6261	3.19998	2.14883
Length    1, alignment  0:	4.43552	4.96541	2.75926	5.59767	2.67377	4.13591
Length    1, alignment  0:	4.14844	4.8501	2.75932	5.05878	2.75932	4.96587
Length    2, alignment  0:	4.42784	4.96533	2.75877	4.98145	2.75883	4.42104
Length    2, alignment  0:	4.4292	4.9651	2.75867	4.97899	2.75853	4.42642
Length    2, alignment  0:	4.39838	4.96542	2.75879	4.9854	2.75864	4.33719
Length    3, alignment  0:	4.14551	4.64507	2.58093	4.65872	2.58095	4.6451
Length    3, alignment  0:	5.17638	4.64497	2.47105	4.40434	2.42436	4.36356
Length    3, alignment  0:	4.15309	4.48689	2.45538	4.37816	2.42429	3.88815
Length    4, alignment  0:	3.63773	4.37622	2.42435	4.36339	2.43739	3.88884
Length    4, alignment  0:	3.63741	4.36317	2.4384	4.36336	2.42458	4.00011
Length    4, alignment  0:	3.63724	4.36327	2.42427	4.448	2.58064	4.14516
Length    5, alignment  0:	5.1806	4.64474	2.58075	5.17581	2.58073	4.15753
Length    5, alignment  0:	5.18033	4.86043	2.96303	5.93808	2.96294	4.80692
Length    5, alignment  0:	5.33339	5.2047	2.87003	5.71371	2.85701	4.93576
Length    6, alignment  0:	5.71417	5.15672	2.85709	5.71361	2.86934	4.57489
Length    6, alignment  0:	5.7142	5.15759	2.8573	5.72606	2.85716	4.58252
Length    6, alignment  0:	5.73021	5.00223	2.75868	5.52856	2.75861	4.55928
Length    7, alignment  0:	4.5705	4.29274	2.42438	4.86195	2.42426	3.88602
Length    7, alignment  0:	4.37842	4.36336	2.42439	4.84813	2.42433	4.16827
Length    7, alignment  0:	4.00011	4.0098	2.22217	4.44388	2.22224	3.57974
Length    1, alignment  1:	2.22241	4.02194	2.22281	2.23418	2.22244	1.7782
Length    1, alignment  1:	3.55559	4.28654	2.42421	4.87157	2.5011	4.02104
Length    1, alignment  1:	3.91119	4.36334	2.4353	5.10454	2.58061	4.24501
Length    2, alignment  2:	5.67732	4.64264	2.43658	4.84799	2.42426	3.90059
Length    2, alignment  2:	5.33322	4.36334	2.54195	5.16104	2.5808	4.15382
Length    2, alignment  2:	5.67703	4.645	2.59502	5.16096	2.58067	4.23285
Length    3, alignment  3:	6.70924	4.64514	2.59317	5.16096	2.58073	4.15738
Length    3, alignment  3:	6.7093	4.58646	2.42441	4.84818	2.42418	3.89975
Length    3, alignment  3:	6.30255	4.37564	2.42427	4.91255	2.60562	4.5569
Length    4, alignment  4:	7.99983	5.13377	2.75897	5.52986	2.75879	4.42528
Length    4, alignment  4:	7.18436	4.96512	2.75854	5.55302	2.75882	4.41605
Length    4, alignment  4:	7.00938	4.96541	2.77446	5.51683	2.75877	4.70183
Length    5, alignment  5:	7.17236	4.9794	2.7587	5.51662	2.77217	4.41837
Length    5, alignment  5:	6.63583	4.6449	2.42424	4.84802	2.43794	3.88519
Length    5, alignment  5:	5.81778	4.37621	2.42418	4.84816	2.43581	3.88867
Length    6, alignment  6:	4.84918	4.37468	2.4245	5.15005	2.59425	4.64502
Length    6, alignment  6:	5.18526	4.5502	2.42432	4.84821	2.43915	3.88788
Length    6, alignment  6:	4.90323	4.65982	2.5806	5.16072	2.58078	4.15263
Length    7, alignment  7:	4.90378	4.65973	2.58069	5.16081	2.58073	4.6104
Length    7, alignment  7:	5.1615	4.66121	2.58086	5.16086	2.59354	4.64505
Length    7, alignment  7:	4.90294	4.43903	2.42412	4.84805	2.34763	3.58144
Length    4, alignment  0:	3.55583	3.55545	1.7964	3.56737	1.79419	3.5779
Length    4, alignment  1:	8.01302	3.5558	1.79662	3.13013	1.95752	4.05243
Length    8, alignment  0:	5.19872	4.58446	2.30994	4.57104	2.31921	4.59401
Length    8, alignment  1:	8.95801	4.57201	2.30969	4.61612	2.30647	4.65933
Length   16, alignment  0:	8.77837	4.57127	2.35669	4.57098	2.30627	4.5854
Length   16, alignment  1:	11.1677	4.6076	2.30931	4.57079	2.3326	4.57883
Length   32, alignment  0:	12.5624	7.19627	3.31163	5.73242	4.03345	4.57225
Length   32, alignment  1:	16.7233	6.38007	3.55737	6.56345	4.14847	4.7565
Length   64, alignment  0:	16.2186	5.92619	4.06219	4.74176	4.14853	7.96928
Length   64, alignment  1:	20.9277	5.51761	3.46915	4.40669	3.86267	7.42062
Length  128, alignment  0:	18.1025	5.78662	4.73514	5.26756	4.96043	8.90242
Length  128, alignment  1:	27.8073	5.75717	4.77257	5.26651	4.79724	8.55312
Length  256, alignment  0:	42.4519	8.71614	7.90547	8.90131	8.18996	13.1075
Length  256, alignment  1:	33.0338	8.71895	7.89656	9.103	7.89458	12.1184
Length  512, alignment  0:	45.7924	11.4814	10.5331	12.6116	9.87767	16.8091
Length  512, alignment  1:	74.2972	11.4981	10.53	12.4564	10.3828	17.4285
Length 1024, alignment  0:	152.513	16.6748	14.5817	14.841	13.8398	27.6096
Length 1024, alignment  1:	144.888	18.2896	16.1291	16.993	15.9975	28.1797
Length    1, alignment  0:	5.09012	4.414	2.23006	4.45395	2.2274	4.24385
Length    2, alignment  0:	4.69205	4.30344	2.22977	4.45546	2.22797	4.42622
Length    3, alignment  0:	4.45847	4.41379	2.22981	4.4133	2.2674	4.34862
Length    4, alignment  0:	5.16139	4.17166	2.02582	3.87851	1.95695	3.90733
Length    5, alignment  0:	3.8793	3.87874	1.99809	3.87842	1.95676	3.87885
Length    6, alignment  0:	4.15863	3.87874	1.95946	3.87872	1.99513	4.36334
Length    7, alignment  0:	4.36389	3.91862	1.9595	3.87857	2.04767	4.61295
Length    1, alignment  1:	4.57153	4.57103	2.35121	4.45917	2.23915	4.62083
Length    2, alignment  2:	6.28561	4.57085	2.34546	4.57094	2.30618	4.6442
Length    3, alignment  3:	7.14227	4.60896	2.3092	4.57095	2.30635	4.61655
Length    4, alignment  4:	7.15092	4.61296	2.30937	4.57129	2.30643	4.61182
Length    5, alignment  5:	6.28606	4.60564	2.30942	4.57092	2.30634	4.69688
Length    6, alignment  6:	5.42928	4.60901	2.30927	4.57098	2.30635	4.69046
Length    7, alignment  7:	5.71407	4.61369	2.30936	4.57085	2.30626	4.66673
Length    4, alignment  0:	4.57166	4.61461	2.30936	4.57072	2.30643	4.62628
Length    4, alignment  1:	10.3216	4.51462	2.22978	4.4135	2.26439	4.49667
Length    8, alignment  0:	5.51828	4.44804	2.22968	4.41336	2.27158	4.492
Length    8, alignment  1:	8.47314	4.12894	2.08583	4.12895	2.12759	4.18585
Length   16, alignment  0:	6.77968	4.129	2.08597	4.12849	2.12656	4.13518
Length   16, alignment  1:	10.1042	4.12878	2.08572	4.16045	2.08307	4.14389
Length   32, alignment  0:	10.6133	6.70047	3.74878	6.28609	4.07503	4.57098
Length   32, alignment  1:	14.6554	6.23567	3.31187	6.5741	3.96272	4.57158
Length   64, alignment  0:	14.6824	5.78833	4.00108	5.1053	4.00121	7.68022
Length   64, alignment  1:	20.0284	5.76521	4.00009	4.57249	4.03619	7.64594
Length  128, alignment  0:	21.2319	6.31268	4.90347	7.05852	4.94714	8.95825
Length  128, alignment  1:	24.6819	6.28595	4.96216	6.85765	4.96347	8.8576
Length  256, alignment  0:	42.192	8.42412	7.63533	10.5466	7.8968	12.1774
Length  256, alignment  1:	42.3849	8.43719	7.68417	10.3117	8.18037	12.9433
Length  512, alignment  0:	75.8925	11.9066	10.9236	13.6519	9.93262	16.8595
Length  512, alignment  1:	79.1001	12.4878	10.9237	13.0703	10.3834	17.4338
Length 1024, alignment  0:	164.098	18.3858	16.1535	16.597	15.6442	28.999
Length 1024, alignment  1:	154.528	19.0179	16.7243	17.0698	15.9544	27.9836
