                                	simple_strpbrk	__strpbrk_sse42	__strpbrk_sse2
Length  512, alignment  0, rej len  0:	336.244	2.88672	320.687
Length  512, alignment  0, rej len  0:	336.551	2.8877	317.119
Length  512, alignment  0, rej len  1:	608.522	78.8604	315.107
Length  512, alignment  1, rej len  1:	609.745	75.8252	312.069
Length  512, alignment  0, rej len  2:	1287.06	76.9082	312.817
Length  512, alignment  2, rej len  2:	1286.36	75.7393	314.73
Length  512, alignment  0, rej len  3:	1820.81	79.4512	326.348
Length  512, alignment  3, rej len  3:	1846.4	78.5654	326.106
Length  512, alignment  0, rej len  4:	2605.07	77.6436	353.631
Length  512, alignment  4, rej len  4:	2581.07	75.7598	339.736
Length  512, alignment  0, rej len  5:	3728.6	72.5254	303.514
Length  512, alignment  5, rej len  5:	3710.15	75.7627	316.679
Length  512, alignment  0, rej len  6:	2465.1	72.2539	306.882
Length  512, alignment  6, rej len  6:	2524.76	75.6992	383.612
Length  512, alignment  0, rej len  7:	3002.88	75.2217	319.933
Length  512, alignment  7, rej len  7:	2824.21	68.3877	287.657
Length  512, alignment  0, rej len  8:	3005.24	71.582	286.73
Length  512, alignment  0, rej len  8:	3081.61	67.6396	287.272
Length  512, alignment  0, rej len  9:	3178.48	71.6074	287.741
Length  512, alignment  1, rej len  9:	2971.71	65.3428	269.183
Length  512, alignment  0, rej len 10:	3359.49	66.0391	270.847
Length  512, alignment  2, rej len 10:	3440.99	68.0303	289.913
Length  512, alignment  0, rej len 11:	3908.95	73.8965	306.653
Length  512, alignment  3, rej len 11:	3872.31	69.5459	290.279
Length  512, alignment  0, rej len 12:	4171.42	76.5645	322.761
Length  512, alignment  4, rej len 12:	4436.92	76.9609	321.489
Length  512, alignment  0, rej len 13:	4332.99	69.1182	293.072
Length  512, alignment  5, rej len 13:	4130.56	74.3906	312.295
Length  512, alignment  0, rej len 14:	5015.73	76.5332	323.542
Length  512, alignment  6, rej len 14:	5028.74	76.9121	324.002
Length  512, alignment  0, rej len 15:	5223.83	64.9258	275.514
Length  512, alignment  7, rej len 15:	4793.65	77.0068	320.273
Length  512, alignment  0, rej len 16:	5565.09	67.1855	274.085
Length  512, alignment  0, rej len 16:	4803.77	69.0859	292.181
Length  512, alignment  0, rej len 17:	5661.95	316.331	313.558
Length  512, alignment  1, rej len 17:	5604.69	327.068	325.362
Length  512, alignment  0, rej len 18:	5795.78	254.556	252.752
Length  512, alignment  2, rej len 18:	5365.67	279.436	281.138
Length  512, alignment  0, rej len 19:	5425.54	258.884	252.643
Length  512, alignment  3, rej len 19:	5885.38	332.526	324.394
Length  512, alignment  0, rej len 20:	6292.34	281.57	275.348
Length  512, alignment  4, rej len 20:	6260.74	306.644	291.387
