                    	simple_strrchr	__strrchr_avx2	__strrchr_avx2_rtm	__strrchr_evex	__strrchr_sse2
Length 2048, alignment in bytes  0:	1136.7	75.196	72.4166	71.8676	121.395
Length 2048, alignment in bytes  1:	1145.57	63.6393	66.1057	70.4499	139.439
Length 2048, alignment in bytes  0:	1103.16	65.9687	67.7732	67.9526	114.878
Length 2048, alignment in bytes  2:	1151.04	75.4342	75.9174	69.7788	123.259
Length 2048, alignment in bytes  0:	1117.72	64.9977	64.1422	67.9934	115.963
Length 2048, alignment in bytes  3:	1092.27	75.1578	75.1299	70.2588	106.106
Length 2048, alignment in bytes  0:	1046.78	64.1234	64.1245	64.273	134.794
Length 2048, alignment in bytes  4:	1060.69	64.6367	63.4863	59.2863	103.007
Length 2048, alignment in bytes  0:	1040.62	59.8425	59.7197	59.6933	112.599
Length 2048, alignment in bytes  5:	1116.45	68.9691	68.8171	72.6208	129.503
Length 2048, alignment in bytes  0:	1109.04	77.456	74.4174	60.5259	106.094
Length 2048, alignment in bytes  6:	1072.26	74.9868	75.0575	74.9822	115.619
Length 2048, alignment in bytes  0:	1149.48	77.2646	77.153	77.8305	138.057
Length 2048, alignment in bytes  7:	1054.71	74.41	74.5151	74.961	140.885
Length  256, alignment in bytes  1:	177.98	10.6716	9.7655	9.21619	20.4868
Length  256, alignment in bytes  1:	151.654	10.3281	10.3973	9.81073	21.973
Length  256, alignment in bytes  2:	155.348	10.4861	11.9673	10.4937	23.2903
Length  256, alignment in bytes  2:	167.804	10.8585	11.3541	10.8583	24.3105
Length  256, alignment in bytes  3:	174.978	11.4482	11.9271	11.2925	24.093
Length  256, alignment in bytes  3:	172.313	12.4447	12.0411	11.2607	25.0859
Length  256, alignment in bytes  4:	171.298	12.571	12.5706	10.8587	24.2224
Length  256, alignment in bytes  4:	172.231	12.2867	13.7138	11.4133	23.9179
Length  256, alignment in bytes  5:	173.499	10.858	11.4963	10.8582	24.1804
Length  256, alignment in bytes  5:	173.031	11.5752	13.1463	11.4334	24.0823
Length  256, alignment in bytes  6:	172.836	10.8689	11.6314	10.8672	24.1797
Length  256, alignment in bytes  6:	175.778	11.2664	11.9169	12.2104	25.0851
Length  256, alignment in bytes  7:	179.816	11.2624	12.7413	11.0168	24.3394
Length  256, alignment in bytes  7:	176.891	10.8608	12.5715	10.8596	24.1024
Length    1, alignment in bytes  0:	2.28882	4.00433	4.58148	2.86261	2.85956
Length    1, alignment in bytes  0:	2.2901	4.00171	4.70819	3.43256	2.86078
Length    2, alignment in bytes  0:	2.8623	4.00128	5.14197	2.86029	2.85883
Length    2, alignment in bytes  0:	2.86011	4.00043	4.57281	2.86011	2.85791
Length    3, alignment in bytes  0:	4.86023	3.82458	4.57617	2.86084	2.85883
Length    3, alignment in bytes  0:	4.85907	3.99976	4.57166	2.8609	2.85809
Length    4, alignment in bytes  0:	6.00385	3.42902	4.57355	2.86218	2.99579
Length    4, alignment in bytes  0:	6.28766	4.05249	4.41949	3.31189	2.75916
Length    5, alignment in bytes  0:	8.27887	3.86237	4.41547	2.76306	2.7605
Length    5, alignment in bytes  0:	8.43811	3.86365	4.41913	3.31134	2.76056
Length    6, alignment in bytes  0:	8.83069	3.86212	4.41418	2.76172	2.75989
Length    6, alignment in bytes  0:	6.20258	3.8623	4.41864	2.7627	2.75958
Length    7, alignment in bytes  0:	6.90289	3.86188	4.41406	2.76221	2.75934
Length    7, alignment in bytes  0:	6.90961	3.86292	4.8205	3.3111	2.76025
Length    8, alignment in bytes  0:	7.44989	3.86273	4.414	3.31073	2.75989
Length    8, alignment in bytes  0:	7.44897	3.86267	4.414	3.08191	2.76062
Length    9, alignment in bytes  0:	9.38263	3.86237	4.41888	2.76276	2.75946
Length    9, alignment in bytes  0:	9.37952	3.86237	4.41907	2.76276	2.90149
Length   10, alignment in bytes  0:	9.94635	3.86249	4.41901	3.31104	2.7594
Length   10, alignment in bytes  0:	9.93146	3.86267	4.41437	2.76239	2.92102
