                       	oldstrsep	strsep	simple_strsep
Length    8/2, alignment  0/ 0, found:	51.3984	25.9844	25.5156
Length    8/2, alignment  0/ 0, fail:	8.69531	9.17969	29.3125
Length    8/2, alignment  0/ 3, found:	22.1562	22.8906	18.6719
Length    8/2, alignment  0/ 3, fail:	10.3906	10.9453	29.0078
Length    8/2, alignment  0/ 9, found:	20.3672	22.7344	18.4609
Length    8/2, alignment  0/ 9, fail:	9.96875	10.5234	28.8828
Length    8/2, alignment  0/15, found:	20.7578	22.7109	18.4531
Length    8/2, alignment  0/15, fail:	10.375	10.8594	22.0234
Length    8/2, alignment  3/ 0, found:	21.1406	22.3125	16.2734
Length    8/2, alignment  3/ 0, fail:	8.875	9.57031	22.1406
Length    8/2, alignment  3/ 3, found:	21.2734	22.1641	16.25
Length    8/2, alignment  3/ 3, fail:	10.4844	11.3281	21.9922
Length    8/2, alignment  3/ 9, found:	20.8594	21.9688	16.2734
Length    8/2, alignment  3/ 9, fail:	10.0781	10.125	22.0391
Length    8/2, alignment  3/15, found:	21.2344	22.1094	16.2266
Length    8/2, alignment  3/15, fail:	10.375	11.2188	22.0703
Length    8/2, alignment  9/ 0, found:	20.9844	22.125	16.1641
Length    8/2, alignment  9/ 0, fail:	10.4297	10.5	22.0859
Length    8/2, alignment  9/ 3, found:	20.9453	21.8828	16.1953
Length    8/2, alignment  9/ 3, fail:	11.3438	10.4141	22.1094
Length    8/2, alignment  9/ 9, found:	20.9297	21.8984	16.2422
Length    8/2, alignment  9/ 9, fail:	10.7344	11	22.3672
Length    8/2, alignment  9/15, found:	20.9609	22.2734	16.2031
Length    8/2, alignment  9/15, fail:	11.0078	11.8281	22.125
Length    8/2, alignment 15/ 0, found:	20.6172	23.2344	16.25
Length    8/2, alignment 15/ 0, fail:	10.3438	10.2188	22.0234
Length    8/2, alignment 15/ 3, found:	20.7031	22.9922	16.25
Length    8/2, alignment 15/ 3, fail:	10.7734	10.4297	22.0078
Length    8/2, alignment 15/ 9, found:	20.3672	22.7344	16.2734
Length    8/2, alignment 15/ 9, fail:	10.3047	10.0781	22.0469
Length    8/2, alignment 15/15, found:	20.6641	22.8047	16.0703
Length    8/2, alignment 15/15, fail:	11.1719	11.7031	22.0312
Length   10/2, alignment  0/ 0, found:	20.6953	22.7734	18.6875
Length   10/2, alignment  0/ 0, fail:	8.51562	9.21094	26.0078
Length   10/2, alignment  0/ 3, found:	20.4219	22.8281	18.6484
Length   10/2, alignment  0/ 3, fail:	10.2422	10.7109	25.5938
Length   10/2, alignment  0/ 9, found:	20.2891	22.5781	18.5547
