                                	simple_strspn	__strspn_sse42	__strspn_sse2
Length  512, alignment  0, acc len  1:	604.071	56.3398	303.999
Length  512, alignment  1, acc len  1:	574.392	57.9688	300.588
Length  512, alignment  0, acc len  2:	1448.81	56.3057	306.135
Length  512, alignment  2, acc len  2:	596.175	57.9453	302.694
Length  512, alignment  0, acc len  3:	1765.54	56.2881	302.566
Length  512, alignment  3, acc len  3:	1843.67	57.9502	304.756
Length  512, alignment  0, acc len  4:	1898	56.29	311.502
Length  512, alignment  4, acc len  4:	2263.1	60.9941	314.872
Length  512, alignment  0, acc len  5:	2534.99	60.0244	316.413
Length  512, alignment  5, acc len  5:	2349.92	55.7529	284.102
Length  512, alignment  0, acc len  6:	2330.74	56.3145	306.793
Length  512, alignment  6, acc len  6:	2255.89	55.7695	284.941
Length  512, alignment  0, acc len  7:	2452.64	60.0186	318.264
Length  512, alignment  7, acc len  7:	2689.21	60.0342	319.04
Length  512, alignment  0, acc len  8:	2786.81	58.3174	319.194
Length  512, alignment  0, acc len  8:	2856.29	60.0361	318.994
Length  512, alignment  0, acc len  9:	2826.04	61.8877	316.95
Length  512, alignment  1, acc len  9:	2997.34	60.0488	316.421
Length  512, alignment  0, acc len 10:	2984	60.0352	318.747
Length  512, alignment  2, acc len 10:	3475.59	64.0684	329.296
Length  512, alignment  0, acc len 11:	2944.58	62.251	331.152
Length  512, alignment  3, acc len 11:	3689.84	61.7227	318.183
Length  512, alignment  0, acc len 12:	3304.04	54.2129	290.979
Length  512, alignment  4, acc len 12:	3217.18	50.9746	269.216
Length  512, alignment  0, acc len 13:	3832.38	54.2197	281.422
Length  512, alignment  5, acc len 13:	3511.98	52.3711	271.377
Length  512, alignment  0, acc len 14:	3442.15	46.6855	249.373
Length  512, alignment  6, acc len 14:	3190.44	48.0244	249.159
Length  512, alignment  0, acc len 15:	3545.35	48.5137	249.401
Length  512, alignment  7, acc len 15:	3643.9	52.374	270.44
Length  512, alignment  0, acc len 16:	3917.68	50.918	279.407
Length  512, alignment  0, acc len 16:	4112.25	54.208	288.104
Length  512, alignment  0, acc len 17:	3660.75	275.438	273.317
Length  512, alignment  1, acc len 17:	3855.25	256.115	250.209
Length  512, alignment  0, acc len 18:	3998.79	318.899	311.04
Length  512, alignment  2, acc len 18:	4484.98	326.942	323.407
Length  512, alignment  0, acc len 19:	4671.85	325.188	322.167
Length  512, alignment  3, acc len 19:	4841.22	324.915	322.719
Length  512, alignment  0, acc len 20:	4653.85	328.723	323.474
Length  512, alignment  4, acc len 20:	4694.99	339.362	332.617
Length  512, alignment  0, acc len 21:	4503.38	262.416	261.695
Length  512, alignment  5, acc len 21:	3732.67	254.059	249.906
Length  512, alignment  0, acc len 22:	4211.66	279.456	275.102
Length  512, alignment  6, acc len 22:	3858.46	278.57	272.959
Length  512, alignment  0, acc len 23:	4257	282.51	275.415
Length  512, alignment  7, acc len 23:	4577.59	279.043	277.759
Length  512, alignment  0, acc len 24:	4238.91	299.211	293.208
Length  512, alignment  0, acc len 24:	4532.2	262.706	251.148
Length  512, alignment  0, acc len 25:	4169.06	328.25	325.827
Length  512, alignment  1, acc len 25:	5027.41	330.008	323.587
Length  512, alignment  0, acc len 26:	5646.27	330.171	323.953
Length  512, alignment  2, acc len 26:	5240.62	330.886	327.348
Length  512, alignment  0, acc len 27:	5104.26	330.318	324.086
Length  512, alignment  3, acc len 27:	5371.06	343.503	341.739
Length  512, alignment  0, acc len 28:	5305.21	297.901	293.821
Length  512, alignment  4, acc len 28:	5128.88	276.295	278.992
Length  512, alignment  0, acc len 29:	4574.38	280.259	276.587
Length  512, alignment  5, acc len 29:	4694.47	260.581	254.468
Length  512, alignment  0, acc len 30:	4592.35	257.583	253.893
Length  512, alignment  6, acc len 30:	4675.41	259.125	253.724
Length  512, alignment  0, acc len 31:	5760.19	322.482	328.59
Length  512, alignment  7, acc len 31:	7018.44	333.07	326.814
Length   32, alignment  0, acc len  4:	150.467	6.9248	47.8564
Length   32, alignment  1, acc len  4:	147.162	8.64551	46.7832
Length   64, alignment  0, acc len  4:	224.101	12.0928	63.1055
Length   64, alignment  2, acc len  4:	302.426	12.0391	59.1738
Length  128, alignment  0, acc len  4:	584.814	17.2197	94.4092
Length  128, alignment  3, acc len  4:	545.299	20.6133	92.4561
Length  256, alignment  0, acc len  4:	1173.58	30.9014	169.468
Length  256, alignment  4, acc len  4:	1169.49	32.667	169.387
Length  512, alignment  0, acc len  4:	2348.08	60.0723	314.636
Length  512, alignment  5, acc len  4:	2360.53	61.9883	314.035
Length 1024, alignment  0, acc len  4:	4571.75	114.887	641.243
Length 1024, alignment  6, acc len  4:	4689.38	114.901	641.948
Length 2048, alignment  0, acc len  4:	7345.61	178.321	973.237
Length 2048, alignment  7, acc len  4:	7666.38	174.71	963.483
Length   64, alignment  1, acc len 10:	350.797	10.2461	50.376
Length   64, alignment  2, acc len 10:	331.794	11.6914	49.7812
Length   64, alignment  3, acc len 10:	335.5	11.7275	47.5049
Length   64, alignment  4, acc len 10:	358.41	10.6885	44.2637
Length   64, alignment  5, acc len 10:	328.519	10.6875	45.3682
Length   64, alignment  6, acc len 10:	332.698	10.6758	43.1523
Length   64, alignment  7, acc len 10:	321.021	9.35938	48.166
Length    0, alignment  0, acc len  6:	5.81641	4.04883	20.8164
Length    1, alignment  0, acc len  6:	10.6953	4.02734	21.125
Length    2, alignment  0, acc len  6:	13.8145	5.34668	20.9893
Length    3, alignment  0, acc len  6:	13.2793	5.23438	21.6875
Length    4, alignment  0, acc len  6:	16.9326	5.35938	22.0693
Length    5, alignment  0, acc len  6:	24.7295	4.43262	23.1406
Length    6, alignment  0, acc len  6:	35.8604	4.27051	22.1104
Length    7, alignment  0, acc len  6:	35.9951	4.01855	23.7666
Length    8, alignment  0, acc len  6:	41.2188	4.24707	24.7969
Length    9, alignment  0, acc len  6:	37.6201	4.52832	24.001
Length   10, alignment  0, acc len  6:	42.5322	5.26465	26.167
Length   11, alignment  0, acc len  6:	58.0039	4.02051	30.9814
Length   12, alignment  0, acc len  6:	54.3818	4.26465	25.9863
Length   13, alignment  0, acc len  6:	71.6084	5.3457	27.7119
Length   14, alignment  0, acc len  6:	64.9424	4.0127	26.9316
Length   15, alignment  0, acc len  6:	63.6963	5.17578	28.9395
Length   16, alignment  0, acc len  6:	63.8594	5.42383	27.7646
Length   17, alignment  0, acc len  6:	73.0498	4.07129	29.2627
Length   18, alignment  0, acc len  6:	88.9717	4.03711	29.5693
Length   19, alignment  0, acc len  6:	94.0703	4.02148	30.4111
Length   20, alignment  0, acc len  6:	75.0957	5.40039	30.2686
Length   21, alignment  0, acc len  6:	86.8105	4.05371	31.8252
Length   22, alignment  0, acc len  6:	99.0361	5.38281	31.5527
Length   23, alignment  0, acc len  6:	88.9707	5.35254	31.7295
Length   24, alignment  0, acc len  6:	98.7822	4.02344	32.9355
Length   25, alignment  0, acc len  6:	103.642	5.35547	33.6074
Length   26, alignment  0, acc len  6:	100.709	5.34863	34.4121
Length   27, alignment  0, acc len  6:	110.526	4.01855	35.5391
Length   28, alignment  0, acc len  6:	97.4229	5.35059	35.7393
Length   29, alignment  0, acc len  6:	116.563	4.46191	35.5596
Length   30, alignment  0, acc len  6:	118.925	5.3457	36.6396
Length   31, alignment  0, acc len  6:	125.375	4.03223	36.8604
Length   32, alignment  0, acc len  6:	165.863	5.39941	37.6826
Length   33, alignment  0, acc len  6:	128.105	6.70996	37.9463
Length   34, alignment  0, acc len  6:	140.412	6.73438	37.3486
Length   35, alignment  0, acc len  6:	125.841	6.70117	39.0508
Length   36, alignment  0, acc len  6:	171.141	5.36035	40.2793
Length   37, alignment  0, acc len  6:	152.507	5.35254	39.0059
Length   38, alignment  0, acc len  6:	153.939	6.68262	41.124
Length   39, alignment  0, acc len  6:	159.857	5.34961	42.0811
Length   40, alignment  0, acc len  6:	156.48	6.69434	42.1348
Length   41, alignment  0, acc len  6:	159.174	5.39551	42.8662
Length   42, alignment  0, acc len  6:	187.772	5.35742	42.9424
Length   43, alignment  0, acc len  6:	199.619	6.68457	43.4883
Length   44, alignment  0, acc len  6:	164.323	6.67969	44.2988
Length   45, alignment  0, acc len  6:	171.646	5.35156	44.3076
Length   46, alignment  0, acc len  6:	166.766	5.35254	44.3721
Length   47, alignment  0, acc len  6:	191.618	5.35059	44.3105
Length   48, alignment  0, acc len  6:	192.612	8.0459	47.6699
Length   49, alignment  0, acc len  6:	183.367	6.73047	46.0361
Length   50, alignment  0, acc len  6:	188.547	6.6875	45.6514
Length   51, alignment  0, acc len  6:	198.258	6.67578	46.8408
Length   52, alignment  0, acc len  6:	207.693	6.67285	45.5557
Length   53, alignment  0, acc len  6:	210.245	6.6748	46.1191
Length   54, alignment  0, acc len  6:	224.566	6.79883	53.3867
Length   55, alignment  0, acc len  6:	230.715	7.28809	51.9521
Length   56, alignment  0, acc len  6:	244.396	7.29004	52.002
Length   57, alignment  0, acc len  6:	260.045	7.34863	53.0068
Length   58, alignment  0, acc len  6:	226.016	7.2959	53.1562
Length   59, alignment  0, acc len  6:	257.066	7.29199	53.2812
Length   60, alignment  0, acc len  6:	246.214	7.29199	52.7578
Length   61, alignment  0, acc len  6:	246.885	7.28418	53.3291
Length   62, alignment  0, acc len  6:	262.722	7.75488	56.6455
Length   63, alignment  0, acc len  6:	297.909	9.32812	56.7754
