                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	46.625	74.1875	335.5	40.4375
Length   64/  1, alignment  0/ 9, fail :	48.125	11.8125	13.6875	12.8125
Length   64/  2, alignment  1/ 3, found:	52.0625	277.062	13.6875	47
Length   64/  2, alignment  0/ 9, fail :	48.75	37.6875	33.125	43.0625
Length   64/  3, alignment  1/ 3, found:	54.625	76.75	12.875	86.25
Length   64/  3, alignment  0/ 9, fail :	49.625	61.6875	17.9375	83.1875
Length   64/  4, alignment  1/ 3, found:	54.5	94.3125	12.8125	79.125
Length   64/  4, alignment  0/ 9, fail :	54	87.375	15.5625	68.25
Length   64/  5, alignment  1/ 3, found:	57.875	108	12.625	76.8125
Length   64/  5, alignment  0/ 9, fail :	52.4375	95.4375	15.5	72.875
Length   64/  6, alignment  1/ 3, found:	69.625	176.812	21.25	75.6875
Length   64/  6, alignment  0/ 9, fail :	64.9375	172.875	20.5	71.3125
Length   64/  7, alignment  1/ 3, found:	72.1875	172.062	20.9375	66.625
Length   64/  7, alignment  0/ 9, fail :	70.875	161.938	22.1875	63.75
Length   64/  8, alignment  1/ 3, found:	73.625	139.312	19.5	61.3125
Length   64/  8, alignment  0/ 9, fail :	69.0625	144.25	22.3125	59.9375
Length   64/  9, alignment  1/ 3, found:	72.5625	95.625	22.6875	67.6875
Length   64/  9, alignment  0/ 9, fail :	67.125	82.0625	15.8125	62.625
Length   64/ 10, alignment  1/ 3, found:	53.125	22.1875	22.75	23.5
Length   64/ 10, alignment  0/ 9, fail :	45.75	15.6875	15.3125	13.9375
Length   64/ 11, alignment  1/ 3, found:	61.1875	116.188	17	65.75
Length   64/ 11, alignment  0/ 9, fail :	64.875	92.625	16.5	63.125
Length   64/ 12, alignment  1/ 3, found:	56.875	125.625	17.75	74.125
Length   64/ 12, alignment  0/ 9, fail :	49.25	105.812	16.5	69.4375
Length   64/ 13, alignment  1/ 3, found:	68.3125	161.5	18.125	97.6875
Length   64/ 13, alignment  0/ 9, fail :	57.75	149.188	16.1875	90.4375
Length   64/ 14, alignment  1/ 3, found:	55.875	160.5	18.25	83.6875
Length   64/ 14, alignment  0/ 9, fail :	53.375	150.25	16.4375	76.875
Length   64/ 15, alignment  1/ 3, found:	68.4375	189.5	19.6875	76.125
Length   64/ 15, alignment  0/ 9, fail :	58.9375	193.125	16	68.6875
Length   64/ 16, alignment  1/ 3, found:	60.875	186.125	19.75	72.75
Length   64/ 16, alignment  0/ 9, fail :	61.5	174.938	19.0625	66.875
Length   96/  1, alignment  1/ 3, found:	64.625	15.875	14.9375	13.0625
Length   96/  1, alignment  0/ 9, fail :	62.875	14.75	11.8125	14.4375
Length   96/  2, alignment  1/ 3, found:	74.6875	138.062	20.625	142.125
Length   96/  2, alignment  0/ 9, fail :	71.875	128.562	17.1875	119.938
Length   96/  3, alignment  1/ 3, found:	94.9375	74.1875	23.9375	124.25
Length   96/  3, alignment  0/ 9, fail :	89.9375	68.8125	19.5	120.438
Length   96/  4, alignment  1/ 3, found:	77.3125	87.875	20.875	94.875
Length   96/  4, alignment  0/ 9, fail :	70.125	73.1875	16.625	89.5
Length   96/  5, alignment  1/ 3, found:	76.0625	145.25	22.25	84.9375
Length   96/  5, alignment  0/ 9, fail :	72.875	134.875	19.5625	80.3125
Length   96/  6, alignment  1/ 3, found:	90.9375	242.562	21.9375	88.375
Length   96/  6, alignment  0/ 9, fail :	84.5	242.5	17.875	76
Length   96/  7, alignment  1/ 3, found:	73	291	24.125	83.25
Length   96/  7, alignment  0/ 9, fail :	72.375	288.25	16.3125	72.875
Length   96/  8, alignment  1/ 3, found:	71.1875	24.375	21.375	25.6875
Length   96/  8, alignment  0/ 9, fail :	61.5625	15.375	15.5625	14.1875
Length   96/  9, alignment  1/ 3, found:	99	96.9375	26.4375	75.8125
