                       	strtok	oldstrtok
Length    4/2, alignment  0/ 0, found:	61.0312	84.3516
Length    4/2, alignment  0/ 0, fail:	23.2969	59.3906
Length    4/2, alignment  0/ 3, found:	27.5859	60.3516
Length    4/2, alignment  0/ 3, fail:	27.6484	59.6406
Length    4/2, alignment  0/ 9, found:	26.9531	59.7266
Length    4/2, alignment  0/ 9, fail:	26.7812	59.6875
Length    4/2, alignment  0/15, found:	28.4453	59.5156
Length    4/2, alignment  0/15, fail:	27.7344	58.875
Length    4/2, alignment  3/ 0, found:	23.1797	60.3203
Length    4/2, alignment  3/ 0, fail:	24.7266	60.1719
Length    4/2, alignment  3/ 3, found:	26.3438	60.5391
Length    4/2, alignment  3/ 3, fail:	27.2891	60.1641
Length    4/2, alignment  3/ 9, found:	27.4141	60.0078
Length    4/2, alignment  3/ 9, fail:	27.4062	59.9141
Length    4/2, alignment  3/15, found:	27.6094	60.5625
Length    4/2, alignment  3/15, fail:	28.2266	60.2109
Length    4/2, alignment  9/ 0, found:	24.7109	60.0078
Length    4/2, alignment  9/ 0, fail:	24.5547	59.8906
Length    4/2, alignment  9/ 3, found:	26.9766	59.9375
Length    4/2, alignment  9/ 3, fail:	26.7734	59.9766
Length    4/2, alignment  9/ 9, found:	27.9766	59.9844
Length    4/2, alignment  9/ 9, fail:	27.3594	59.9141
Length    4/2, alignment  9/15, found:	28.1797	60.125
Length    4/2, alignment  9/15, fail:	28.1172	60.0625
Length    4/2, alignment 15/ 0, found:	26.3672	60.9453
Length    4/2, alignment 15/ 0, fail:	25.0156	60.4062
Length    4/2, alignment 15/ 3, found:	27.5	60.6406
Length    4/2, alignment 15/ 3, fail:	28.2344	59.5234
Length    4/2, alignment 15/ 9, found:	28.375	60.4141
Length    4/2, alignment 15/ 9, fail:	28.7969	59.4141
Length    4/2, alignment 15/15, found:	28.9609	61
Length    4/2, alignment 15/15, fail:	28.2891	60.4141
Length    6/2, alignment  0/ 0, found:	23.8984	60.2422
Length    6/2, alignment  0/ 0, fail:	24.3906	59.4922
Length    6/2, alignment  0/ 3, found:	45.3672	59.9141
Length    6/2, alignment  0/ 3, fail:	26.5859	59.7031
Length    6/2, alignment  0/ 9, found:	27.4453	58.9688
Length    6/2, alignment  0/ 9, fail:	24.8828	59.6328
Length    6/2, alignment  0/15, found:	26.6562	59.8906
Length    6/2, alignment  0/15, fail:	29.5234	59.1328
Length    6/2, alignment  3/ 0, found:	22.9844	60.7969
Length    6/2, alignment  3/ 0, fail:	24.1328	60.0703
Length    6/2, alignment  3/ 3, found:	26.1875	60.6094
Length    6/2, alignment  3/ 3, fail:	26.8672	59.9531
Length    6/2, alignment  3/ 9, found:	26.3203	59.9844
Length    6/2, alignment  3/ 9, fail:	26.7891	59.9453
Length    6/2, alignment  3/15, found:	27.9531	60.8047
Length    6/2, alignment  3/15, fail:	27.7109	60.1328
Length    6/2, alignment  9/ 0, found:	24.2812	59.9922
Length    6/2, alignment  9/ 0, fail:	23.9922	59.9766
Length    6/2, alignment  9/ 3, found:	27.0625	60.0547
Length    6/2, alignment  9/ 3, fail:	26.8125	60.0078
Length    6/2, alignment  9/ 9, found:	26.2578	59.9922
Length    6/2, alignment  9/ 9, fail:	26.8125	59.9688
Length    6/2, alignment  9/15, found:	27.8594	60.2734
Length    6/2, alignment  9/15, fail:	27.625	59.9766
Length    6/2, alignment 15/ 0, found:	23.9375	61.8516
Length    6/2, alignment 15/ 0, fail:	26.1562	60.3672
Length    6/2, alignment 15/ 3, found:	29.4062	61.2578
Length    6/2, alignment 15/ 3, fail:	30.6562	59.4609
Length    6/2, alignment 15/ 9, found:	28.7734	60.3906
Length    6/2, alignment 15/ 9, fail:	29.1562	59.2812
Length    6/2, alignment 15/15, found:	26.1719	61.5312
Length    6/2, alignment 15/15, fail:	28.5625	60.1094
Length    8/2, alignment  0/ 0, found:	23.4062	59.6719
Length    8/2, alignment  0/ 0, fail:	23.0703	59.6094
Length    8/2, alignment  0/ 3, found:	28.4219	58.9141
Length    8/2, alignment  0/ 3, fail:	26.0312	60.0547
Length    8/2, alignment  0/ 9, found:	26.5547	58.8047
Length    8/2, alignment  0/ 9, fail:	25.875	59.7422
Length    8/2, alignment  0/15, found:	27.6797	59.2891
Length    8/2, alignment  0/15, fail:	25.0703	59.0391
Length    8/2, alignment  3/ 0, found:	23.8516	60.4766
Length    8/2, alignment  3/ 0, fail:	23.5547	60.1328
Length    8/2, alignment  3/ 3, found:	27.375	60.3906
Length    8/2, alignment  3/ 3, fail:	26.5078	60.125
Length    8/2, alignment  3/ 9, found:	27.4688	60.0234
Length    8/2, alignment  3/ 9, fail:	26.9609	60.0312
Length    8/2, alignment  3/15, found:	28.4219	60.2969
Length    8/2, alignment  3/15, fail:	28.1016	60.1328
Length    8/2, alignment  9/ 0, found:	25.0078	60.1797
Length    8/2, alignment  9/ 0, fail:	25.1484	61.4453
Length    8/2, alignment  9/ 3, found:	24.4922	60.4453
Length    8/2, alignment  9/ 3, fail:	25.9297	60.8203
Length    8/2, alignment  9/ 9, found:	25.7109	60.1484
Length    8/2, alignment  9/ 9, fail:	25.7266	60.3594
Length    8/2, alignment  9/15, found:	26.8047	60.2734
Length    8/2, alignment  9/15, fail:	27.2344	61.0703
Length    8/2, alignment 15/ 0, found:	24.3281	61.5703
Length    8/2, alignment 15/ 0, fail:	25.0781	60.2422
Length    8/2, alignment 15/ 3, found:	27.2344	60.8438
