                       	generic_wcpcpy	wcpcpy
Length    0, alignments in bytes  0/ 0:	11.4468	8.09717
Length    0, alignments in bytes  0/ 0:	10.3184	8.58545
Length    0, alignments in bytes  0/ 0:	10.3098	8.00708
Length    0, alignments in bytes  0/ 0:	10.4741	7.74438
Length    1, alignments in bytes  0/ 0:	9.29541	7.2312
Length    1, alignments in bytes  0/ 0:	9.30029	7.7522
Length    1, alignments in bytes  0/ 4:	9.29663	7.74902
Length    1, alignments in bytes  4/ 0:	9.29346	7.74316
Length    2, alignments in bytes  0/ 0:	9.29126	7.23096
Length    2, alignments in bytes  0/ 0:	9.29077	7.74487
Length    2, alignments in bytes  0/ 8:	9.29175	7.22754
Length    2, alignments in bytes  8/ 0:	9.67236	7.24976
Length    3, alignments in bytes  0/ 0:	9.81299	8.04272
Length    3, alignments in bytes  0/ 0:	9.22168	7.76489
Length    3, alignments in bytes  0/12:	9.49609	7.50659
Length    3, alignments in bytes 12/ 0:	9.50024	7.50513
Length    4, alignments in bytes  0/ 0:	9.50366	7.50488
Length    4, alignments in bytes  0/ 0:	9.50415	7.50391
Length    4, alignments in bytes  0/16:	9.50317	7.50464
Length    4, alignments in bytes 16/ 0:	9.50342	7.50415
Length    5, alignments in bytes  0/ 0:	9.50269	7.50635
Length    5, alignments in bytes  0/ 0:	9.50146	7.50488
Length    5, alignments in bytes  0/20:	9.79785	7.50439
Length    5, alignments in bytes 20/ 0:	9.50269	9.30664
Length    6, alignments in bytes  0/ 0:	9.50415	7.50439
Length    6, alignments in bytes  0/ 0:	9.50195	7.50513
Length    6, alignments in bytes  0/24:	9.60498	7.27759
Length    6, alignments in bytes 24/ 0:	9.21362	7.27661
Length    7, alignments in bytes  0/ 0:	8.73486	7.27661
Length    7, alignments in bytes  0/ 0:	8.73706	6.79834
Length    7, alignments in bytes  0/28:	8.72974	6.78979
Length    7, alignments in bytes 28/ 0:	8.72778	6.79004
Length    8, alignments in bytes  0/ 0:	9.70361	7.76221
Length    8, alignments in bytes  0/ 0:	9.70581	8.20288
Length    8, alignments in bytes  0/ 0:	9.69751	7.7771
Length    8, alignments in bytes  0/ 0:	9.69727	8.24365
Length    9, alignments in bytes  0/ 0:	9.69751	7.75977
Length    9, alignments in bytes  0/ 0:	9.69727	7.75903
Length    9, alignments in bytes  0/ 4:	9.69702	7.75928
Length    9, alignments in bytes  4/ 0:	9.698	7.76001
Length   10, alignments in bytes  0/ 0:	9.69629	7.78076
Length   10, alignments in bytes  0/ 0:	9.69727	7.75952
Length   10, alignments in bytes  0/ 8:	9.76514	8.27856
Length   10, alignments in bytes  8/ 0:	10.3242	9.94531
Length   11, alignments in bytes  0/ 0:	10.9404	7.75928
Length   11, alignments in bytes  0/ 0:	10.603	7.75977
Length   11, alignments in bytes  0/12:	9.69824	7.75928
Length   11, alignments in bytes 12/ 0:	9.69824	7.75952
Length   12, alignments in bytes  0/ 0:	9.69775	7.75952
Length   12, alignments in bytes  0/ 0:	11.137	7.75977
Length   12, alignments in bytes  0/16:	9.69873	8.2439
Length   12, alignments in bytes 16/ 0:	9.70483	8.25073
Length   13, alignments in bytes  0/ 0:	9.70386	7.76514
Length   13, alignments in bytes  0/ 0:	9.69897	7.75977
Length   13, alignments in bytes  0/20:	9.69751	7.76001
Length   13, alignments in bytes 20/ 0:	9.95166	8.24854
