                            	generic_wcpncpy	wcpncpy
Length   16, n   16, alignment  1/ 1:	11.2062	11.1014
Length   16, n   16, alignment  1/ 1:	10.5374	11.036
Length   16, n   16, alignment  1/ 2:	12.1396	10.5035
Length   16, n   16, alignment  2/ 1:	11.8315	11.0468
Length    2, n    4, alignment  7/ 2:	14.4943	12.6245
Length    4, n    2, alignment  2/ 7:	10.8577	10.3361
Length    2, n    4, alignment  7/ 2:	14.003	12.9168
Length    4, n    2, alignment  2/ 7:	10.8571	9.24728
Length   16, n   16, alignment  2/ 2:	12.422	10.8528
Length   16, n   16, alignment  2/ 2:	9.80771	10.3917
Length   16, n   16, alignment  2/ 4:	10.5621	10.7099
Length   16, n   16, alignment  4/ 2:	11.185	12.3826
Length    4, n    8, alignment  6/ 4:	15.8015	13.7573
Length    8, n    4, alignment  4/ 6:	12.5139	11.1199
Length    4, n    8, alignment  6/ 4:	16.5658	15.2708
Length    8, n    4, alignment  4/ 6:	12.2485	11.6606
Length   16, n   16, alignment  3/ 3:	13.6905	11.8715
Length   16, n   16, alignment  3/ 3:	11.8465	11.8323
Length   16, n   16, alignment  3/ 6:	11.5126	12.3669
Length   16, n   16, alignment  6/ 3:	12.1152	12.222
Length    8, n   16, alignment  5/ 6:	16.6109	14.8953
Length   16, n    8, alignment  6/ 5:	12.0382	10.3285
Length    8, n   16, alignment  5/ 6:	17.9896	14.6895
Length   16, n    8, alignment  6/ 5:	12.2333	11.2417
Length   16, n   16, alignment  4/ 4:	12.0446	11.3186
Length   16, n   16, alignment  4/ 4:	11.8859	11.1026
Length   16, n   16, alignment  4/ 0:	12.04	11.9534
Length   16, n   16, alignment  0/ 4:	13.7548	11.0169
Length   16, n   32, alignment  4/ 0:	14.9591	13.5807
Length   32, n   16, alignment  0/ 4:	10.7965	11.0706
Length   16, n   32, alignment  4/ 0:	13.8451	13.0409
Length   32, n   16, alignment  0/ 4:	11.0811	11.0721
Length   16, n   16, alignment  5/ 5:	11.4508	11.1094
Length   16, n   16, alignment  5/ 5:	11.3126	10.4845
Length   16, n   16, alignment  5/ 2:	13.3061	10.4844
Length   16, n   16, alignment  2/ 5:	11.1419	11.0789
Length   32, n   64, alignment  3/ 2:	13.3013	12.103
Length   64, n   32, alignment  2/ 3:	11.1688	11.0861
Length   32, n   64, alignment  3/ 2:	13.293	12.7288
Length   64, n   32, alignment  2/ 3:	11.9044	11.3397
Length   16, n   16, alignment  6/ 6:	12.0744	11.4639
Length   16, n   16, alignment  6/ 6:	11.5897	12.5482
Length   16, n   16, alignment  6/ 4:	12.614	11.6667
Length   16, n   16, alignment  4/ 6:	12.1069	12.2484
Length   64, n  128, alignment  2/ 4:	19.0536	17.5422
Length  128, n   64, alignment  4/ 2:	15.2335	15.2909
Length   64, n  128, alignment  2/ 4:	20.6547	18.063
Length  128, n   64, alignment  4/ 2:	15.3521	14.7978
Length   16, n   16, alignment  7/ 7:	12.4178	11.9184
Length   16, n   16, alignment  7/ 7:	11.4755	12.0402
Length   16, n   16, alignment  7/ 6:	11.0764	10.7896
Length   16, n   16, alignment  6/ 7:	11.1575	11.4359
Length  128, n  256, alignment  1/ 6:	22.7105	22.0725
Length  256, n  128, alignment  6/ 1:	19.0583	19.7365
Length  128, n  256, alignment  1/ 6:	22.744	22.2169
Length  256, n  128, alignment  6/ 1:	20.3005	19.6502
Length    8, n   16, alignment  0/ 0:	17.0452	14.5867
Length   32, n   16, alignment  0/ 0:	11.7932	9.84355
Length    8, n   16, alignment  7/ 2:	15.671	13.1688
Length   32, n   16, alignment  7/ 2:	10.8388	11.0838
Length   16, n   32, alignment  0/ 0:	13.1088	13.216
Length   64, n   32, alignment  0/ 0:	11.8931	11.0818
Length   16, n   32, alignment  6/ 4:	14.1574	13.8033
Length   64, n   32, alignment  6/ 4:	12.1126	11.9141
Length   32, n   64, alignment  0/ 0:	14.5223	13.0842
Length  128, n   64, alignment  0/ 0:	15.4678	14.4232
Length   32, n   64, alignment  5/ 6:	14.1091	10.9493
Length  128, n   64, alignment  5/ 6:	14.5423	12.4051
Length   64, n  128, alignment  0/ 0:	17.4646	15.8227
Length  256, n  128, alignment  0/ 0:	15.2467	14.8272
Length   64, n  128, alignment  4/ 0:	16.5938	14.3427
Length  256, n  128, alignment  4/ 0:	17.0969	16.5964
Length  128, n  256, alignment  0/ 0:	20.3393	19.877
Length  512, n  256, alignment  0/ 0:	23.9604	22.7162
Length  128, n  256, alignment  3/ 2:	19.2451	19.5937
Length  512, n  256, alignment  3/ 2:	30.1497	32.0561
Length  256, n  512, alignment  0/ 0:	32.3397	32.2655
Length 1024, n  512, alignment  0/ 0:	40.9096	38.4605
Length  256, n  512, alignment  2/ 4:	34.6086	33.869
Length 1024, n  512, alignment  2/ 4:	52.9971	54.1102
Length  512, n 1024, alignment  0/ 0:	67.6723	71.5644
Length  512, n 1024, alignment  1/ 6:	89.0553	93.02
