                            	generic_wcscat	wcscat
Length    0/   0, alignment  0/ 0:	19.3821	19.3877
Length    0/   0, alignment  0/ 0:	19.1909	18.7901
Length    0/   0, alignment  0/ 0:	18.776	18.1236
Length    0/   0, alignment  0/ 0:	17.5623	18.5107
Length    1/   1, alignment  0/ 0:	18.8523	19.4628
Length    1/   1, alignment  0/ 0:	19.4526	19.4585
Length    1/   1, alignment  0/ 1:	19.4641	19.4421
Length    1/   1, alignment  1/ 0:	19.4535	20.1371
Length    2/   2, alignment  0/ 0:	20.1756	19.8652
Length    2/   2, alignment  0/ 0:	19.4414	19.4906
Length    2/   2, alignment  0/ 2:	19.4385	19.3503
Length    2/   2, alignment  2/ 0:	18.7846	18.7701
Length    3/   3, alignment  0/ 0:	19.4211	20.1607
Length    3/   3, alignment  0/ 0:	20.1739	20.1837
Length    3/   3, alignment  0/ 3:	20.164	20.1822
Length    3/   3, alignment  3/ 0:	20.1782	20.1605
Length    4/   4, alignment  0/ 0:	20.7702	20.7957
Length    4/   4, alignment  0/ 0:	20.7944	20.7711
Length    4/   4, alignment  0/ 4:	20.5052	20.0101
Length    4/   4, alignment  4/ 0:	20.0564	20.0247
Length    5/   5, alignment  0/ 0:	20.1848	20.8537
Length    5/   5, alignment  0/ 0:	20.7648	20.7521
Length    5/   5, alignment  0/ 5:	20.7697	20.818
Length    5/   5, alignment  5/ 0:	21.1757	20.5833
Length    6/   6, alignment  0/ 0:	20.5962	20.5979
Length    6/   6, alignment  0/ 0:	20.5831	20.5951
Length    6/   6, alignment  0/ 6:	20.5957	20.5823
Length    6/   6, alignment  6/ 0:	24.5798	24.5829
Length    7/   7, alignment  0/ 0:	20.6805	20.6524
Length    7/   7, alignment  0/ 0:	20.655	20.6178
Length    7/   7, alignment  0/ 7:	20.8187	21.4102
Length    7/   7, alignment  7/ 0:	26.1705	26.1687
Length    8/   8, alignment  0/ 0:	26.2031	26.1937
Length    8/   8, alignment  0/ 0:	26.2036	26.253
Length    8/   8, alignment  0/ 0:	25.5711	25.2651
Length    8/   8, alignment  0/ 0:	25.2626	25.2656
Length    9/   9, alignment  0/ 0:	26.171	26.7887
Length    9/   9, alignment  0/ 0:	27.1193	26.3702
Length    9/   9, alignment  0/ 1:	26.1992	26.9054
Length    9/   9, alignment  1/ 0:	25.5088	26.3318
Length   10/  10, alignment  0/ 0:	27.2193	27.2636
Length   10/  10, alignment  0/ 0:	26.5202	27.2195
Length   10/  10, alignment  0/ 2:	26.3506	26.3696
Length   10/  10, alignment  2/ 0:	25.9796	25.9165
Length   11/  11, alignment  0/ 0:	27.3126	26.3392
Length   11/  11, alignment  0/ 0:	25.9638	27.7891
Length   11/  11, alignment  0/ 3:	28.2728	28.2389
Length   11/  11, alignment  3/ 0:	28.1705	27.2106
Length   12/  12, alignment  0/ 0:	25.3876	25.931
Length   12/  12, alignment  0/ 0:	26.2821	26.9038
Length   12/  12, alignment  0/ 4:	26.8983	26.963
Length   12/  12, alignment  4/ 0:	26.0983	25.9207
Length   13/  13, alignment  0/ 0:	27.0908	27.0875
Length   13/  13, alignment  0/ 0:	27.1273	27.0826
Length   13/  13, alignment  0/ 5:	26.7067	26.1786
Length   13/  13, alignment  5/ 0:	25.5915	24.5662
Length   14/  14, alignment  0/ 0:	25.232	25.1758
Length   14/  14, alignment  0/ 0:	25.6752	26.964
Length   14/  14, alignment  0/ 6:	26.277	26.9101
Length   14/  14, alignment  6/ 0:	27.1548	26.9464
Length   15/  15, alignment  0/ 0:	27.9831	27.9552
Length   15/  15, alignment  0/ 0:	27.0294	24.7606
Length   15/  15, alignment  0/ 7:	24.8223	28.0128
Length   15/  15, alignment  7/ 0:	27.9552	27.9142
Length   16/  16, alignment  0/ 0:	26.6735	26.1731
Length   16/  16, alignment  7/ 2:	27.5502	27.5756
Length   16/   4, alignment  0/ 0:	24.0269	23.4402
Length   16/   4, alignment  7/ 2:	26.7218	28.4602
Length   32/  32, alignment  0/ 0:	32.0966	32.0585
Length   32/  32, alignment  6/ 4:	33.5848	29.8678
Length   32/   8, alignment  0/ 0:	27.0722	28.1001
Length   32/   8, alignment  6/ 4:	31.5675	33.5347
Length   64/  64, alignment  0/ 0:	36.6737	37.0716
Length   64/  64, alignment  5/ 6:	40.0311	40.2688
Length   64/  16, alignment  0/ 0:	34.9298	34.14
Length   64/  16, alignment  5/ 6:	37.0994	36.9568
Length  128/ 128, alignment  0/ 0:	42.0136	41.4278
Length  128/ 128, alignment  4/ 0:	40.0373	39.8864
Length  128/  32, alignment  0/ 0:	40.0947	40.0026
Length  128/  32, alignment  4/ 0:	42.4336	44.2859
Length  256/ 256, alignment  0/ 0:	56.7529	55.347
Length  256/ 256, alignment  3/ 2:	64.8889	64.2284
Length  256/  64, alignment  0/ 0:	51.7797	49.3213
