                    	simple_STRCHR	__wcschr_avx2	__wcschr_avx2_rtm	__wcschr_evex	__wcschr_sse2
Length   64, alignment in bytes  4:	40.2897	9.90027	9.91	8.59987	18.1806
Length   64, alignment in bytes  4:	38.7757	9.48772	9.54546	8.17523	16.8575
Length   64, alignment in bytes  8:	44.1839	11.7727	11.8158	10.6503	21.4005
Length   64, alignment in bytes  8:	44.0609	10.9398	10.9601	9.54742	20.034
Length   64, alignment in bytes 12:	42.1943	10.9317	10.9675	10.0884	19.5311
Length   64, alignment in bytes 12:	45.3453	11.7733	11.8046	10.2875	21.3725
Length   64, alignment in bytes 16:	43.6905	8.76379	8.61459	7.55534	15.5975
Length   64, alignment in bytes 16:	35.6644	9.58836	9.37935	8.10611	17.8438
Length   64, alignment in bytes 20:	39.5018	10.0312	10.046	8.87428	17.6578
Length   64, alignment in bytes 20:	38.1806	10.0522	9.91165	8.85564	18.107
Length   64, alignment in bytes 24:	39.4773	10.0099	9.90918	9.04143	18.0934
Length   64, alignment in bytes 24:	38.2644	10.8233	10.9719	10.0423	20.0101
Length   64, alignment in bytes 28:	40.5933	11.0564	11.3687	10.6221	20.6556
Length   64, alignment in bytes 28:	43.7556	11.3494	11.0297	9.20827	17.6003
Length  256, alignment in bytes  0:	185.879	20.4715	20.0331	18.0793	65.2909
Length  256, alignment in bytes  0:	161.858	25.81	25.7837	22.1599	77.0333
Length  256, alignment in bytes 64:	175.213	24.5283	22.9459	19.664	62.6815
Length  256, alignment in bytes 64:	182.881	22.2336	22.8609	19.5677	64.8533
Length  256, alignment in bytes 128:	167.006	27.7855	27.7919	24.0329	67.4602
Length  256, alignment in bytes 128:	175.077	26.7679	26.9691	23.8702	77.9184
Length  256, alignment in bytes 192:	151.133	26.9463	29.3217	25.2018	72.7314
Length  256, alignment in bytes 192:	182.55	24.7205	24.3315	21.0229	65.7193
Length  256, alignment in bytes 256:	172.425	27.7737	27.7552	21.4311	67.4602
Length  256, alignment in bytes 256:	166.895	22.1019	21.7992	17.5377	64.1419
Length  256, alignment in bytes 320:	177.768	21.2242	20.9206	17.9917	58.5885
Length  256, alignment in bytes 320:	169.719	28.9895	28.9756	24.8628	62.654
Length  256, alignment in bytes 384:	155.714	20.4243	20.0773	17.0426	58.3962
Length  256, alignment in bytes 384:	158.252	26.5353	27.7634	23.643	77.9607
Length  256, alignment in bytes 448:	142.14	21.0919	20.9575	18.164	58.3828
Length  256, alignment in bytes 448:	157.355	28.9948	29.0171	25.1956	59.8639
Length    0, alignment in bytes  0:	2.66737	2.22272	3.11497	2.22272	2.69775
Length    0, alignment in bytes  0:	2.87692	2.42448	4.36349	2.45644	2.91011
Length    1, alignment in bytes  0:	5.33322	2.42442	3.91194	2.4245	2.91019
Length    1, alignment in bytes  0:	5.85216	2.42429	3.87862	2.47685	3.64977
Length    2, alignment in bytes  0:	6.70979	2.58084	4.16496	2.58075	3.61279
Length    2, alignment in bytes  0:	6.74701	2.5808	4.12904	2.61534	3.61296
Length    3, alignment in bytes  0:	6.70993	2.62491	4.12868	2.58075	4.00241
Length    3, alignment in bytes  0:	7.22516	2.58075	3.93933	2.42427	3.87877
Length    4, alignment in bytes  0:	8.75804	2.42432	3.87854	2.46062	3.45897
Length    4, alignment in bytes  0:	8.87956	2.42444	3.87852	2.42432	3.32555
Length    5, alignment in bytes  0:	6.36229	2.28603	3.68747	2.25247	3.55545
Length    5, alignment in bytes  0:	6.25668	2.2224	3.55534	2.22227	3.20644
Length    6, alignment in bytes  0:	6.80038	2.4243	3.92009	2.42439	3.45903
Length    6, alignment in bytes  0:	9.25363	2.58098	4.12901	2.61897	3.68187
Length    7, alignment in bytes  0:	8.29642	2.58073	4.12869	2.58066	4.16432
Length    7, alignment in bytes  0:	11.4297	2.58075	4.12878	2.5808	4.16508
Length    8, alignment in bytes  0:	10.4681	3.41797	4.6989	4.18481	5.10457
Length    8, alignment in bytes  0:	11.8866	3.55594	5.36893	4.14856	5.14081
Length    9, alignment in bytes  0:	12.4772	3.55606	5.33319	4.18336	5.10446
Length    9, alignment in bytes  0:	12.4783	3.55577	4.77858	4.14824	5.13879
Length   10, alignment in bytes  0:	13.1198	3.55577	5.33316	4.17705	5.10713
Length   10, alignment in bytes  0:	10.88	2.66673	4.02835	3.38329	4.17918
Length   11, alignment in bytes  0:	11.185	2.90924	4.39499	3.39395	4.36397
Length   11, alignment in bytes  0:	11.1765	2.93771	4.36449	3.39395	4.17587
Length   12, alignment in bytes  0:	12.4228	3.09689	4.13004	3.61293	5.26091
Length   12, alignment in bytes  0:	11.7677	3.09695	3.98804	3.4268	4.95761
Length   13, alignment in bytes  0:	13.2928	2.69264	4.01477	3.20004	4.66161
Length   13, alignment in bytes  0:	12.4807	2.7002	3.55653	3.11108	4.57451
Length   14, alignment in bytes  0:	12.968	2.66667	3.5564	3.11092	4.57726
Length   14, alignment in bytes  0:	14.0106	2.66667	3.99976	3.14621	4.55179
Length   15, alignment in bytes  0:	17.3667	3.55562	5.35365	4.33504	6.06702
Length   15, alignment in bytes  0:	18.4975	3.55569	5.33307	4.17387	5.9259
Length   16, alignment in bytes  0:	14.2926	4.17557	5.92673	5.20734	7.02347
Length   16, alignment in bytes  0:	14.2948	4.17813	5.33395	4.78662	7.01778
Length   17, alignment in bytes  0:	12.6504	3.1111	3.59532	3.55553	5.35434
Length   17, alignment in bytes  0:	11.208	3.14461	4.00034	3.55545	5.30019
Length   18, alignment in bytes  0:	11.6691	3.11102	3.55675	3.55542	5.29472
Length   18, alignment in bytes  0:	11.6682	3.29637	4.86522	3.87856	5.74185
Length   19, alignment in bytes  0:	13.2339	3.42761	4.84825	4.28119	6.3922
Length   19, alignment in bytes  0:	16.1515	4.18085	5.33389	4.7417	6.56197
Length   20, alignment in bytes  0:	16.7118	4.18393	4.74211	4.74057	8.03021
Length   20, alignment in bytes  0:	19.029	4.14828	5.96117	4.74068	8.4229
Length   21, alignment in bytes  0:	19.662	4.1803	4.74419	4.74174	8.32448
Length   21, alignment in bytes  0:	19.6906	4.14819	5.3343	4.76566	7.99983
Length   22, alignment in bytes  0:	20.2512	4.14825	5.33035	4.82353	8.33382
Length   22, alignment in bytes  0:	19.6169	3.46179	3.55656	3.55527	6.95435
Length   23, alignment in bytes  0:	15.6907	3.32614	3.88014	3.87863	6.40248
Length   23, alignment in bytes  0:	18.1566	3.64391	4.64558	4.12891	6.74074
Length   24, alignment in bytes  0:	18.6152	4.31573	4.97614	4.12987	7.56648
Length   24, alignment in bytes  0:	18.398	4.1293	4.64574	4.1682	7.73262
Length   25, alignment in bytes  0:	17.4402	3.66467	4.14647	3.91054	7.757
Length   25, alignment in bytes  0:	19.1268	4.12932	4.67943	4.1292	8.28691
Length   26, alignment in bytes  0:	19.6662	4.32224	4.64586	4.12898	8.29341
Length   26, alignment in bytes  0:	19.6787	4.12915	4.6459	4.0601	7.58771
Length   27, alignment in bytes  0:	19.1385	4.00763	4.77731	4.12892	7.77837
Length   27, alignment in bytes  0:	20.2361	4.41118	5.33412	4.74072	8.98668
Length   28, alignment in bytes  0:	22.1408	4.57918	5.532	4.57109	9.09724
Length   28, alignment in bytes  0:	20.7142	4.12915	4.64561	4.15741	9.0321
Length   29, alignment in bytes  0:	22.0855	4.61926	5.05359	4.12898	9.06075
Length   29, alignment in bytes  0:	21.23	4.1291	4.76447	4.12894	9.07932
Length   30, alignment in bytes  0:	24.8094	4.91154	6.1709	4.92265	10.8074
Length   30, alignment in bytes  0:	25.8223	4.9313	5.57213	4.92287	10.8062
Length   31, alignment in bytes  0:	23.4252	4.13251	5.09822	4.12907	8.81694
Length   31, alignment in bytes  0:	20.369	4.12907	5.16113	4.16743	9.28992
