                    	wcschrnul	simple_WCSCHRNUL
Length   64, alignment in bytes  4:	45.2082	42.8609
Length   64, alignment in bytes  4:	44.2839	45.2092
Length   64, alignment in bytes  8:	44.2409	45.1882
Length   64, alignment in bytes  8:	45.0902	45.3584
Length   64, alignment in bytes 12:	44.2335	44.0092
Length   64, alignment in bytes 12:	43.9128	43.0832
Length   64, alignment in bytes 16:	38.383	39.4836
Length   64, alignment in bytes 16:	37.1145	38.1889
Length   64, alignment in bytes 20:	39.5892	42.1908
Length   64, alignment in bytes 20:	41.8031	41.1594
Length   64, alignment in bytes 24:	41.1854	42.1519
Length   64, alignment in bytes 24:	41.4251	42.5635
Length   64, alignment in bytes 28:	44.1125	43.6981
Length   64, alignment in bytes 28:	42.5272	43.6165
Length  256, alignment in bytes  0:	183.437	177.357
Length  256, alignment in bytes  0:	166.382	139.762
Length  256, alignment in bytes 64:	148.678	139.844
Length  256, alignment in bytes 64:	156.514	150.492
Length  256, alignment in bytes 128:	165.143	179.908
Length  256, alignment in bytes 128:	181.532	166.871
Length  256, alignment in bytes 192:	166.741	157.287
Length  256, alignment in bytes 192:	156.3	139.872
Length  256, alignment in bytes 256:	174.126	151.034
Length  256, alignment in bytes 256:	170.805	177.699
Length  256, alignment in bytes 320:	143.455	156.728
Length  256, alignment in bytes 320:	152.646	149.826
Length  256, alignment in bytes 384:	157.632	163.989
Length  256, alignment in bytes 384:	147.416	163.507
Length  256, alignment in bytes 448:	166.982	150.253
Length  256, alignment in bytes 448:	162.143	157.722
Length    0, alignment in bytes  0:	2.42482	2.90955
Length    0, alignment in bytes  0:	2.8849	2.4252
Length    1, alignment in bytes  0:	4.76726	3.74055
Length    1, alignment in bytes  0:	4.00021	3.55574
Length    2, alignment in bytes  0:	5.80467	4.47005
Length    2, alignment in bytes  0:	6.25352	5.77757
Length    3, alignment in bytes  0:	6.60786	7.11127
Length    3, alignment in bytes  0:	6.54504	9.1377
Length    4, alignment in bytes  0:	10.335	11.4638
Length    4, alignment in bytes  0:	10.8866	11.4706
Length    5, alignment in bytes  0:	10.3139	8.52429
Length    5, alignment in bytes  0:	8.03302	10.9612
Length    6, alignment in bytes  0:	9.64119	8.87494
Length    6, alignment in bytes  0:	11.7077	10.6609
Length    7, alignment in bytes  0:	8.82596	12.7338
Length    7, alignment in bytes  0:	8.77467	12.7042
Length    8, alignment in bytes  0:	9.77219	13.6815
Length    8, alignment in bytes  0:	11.0814	9.78964
Length    9, alignment in bytes  0:	10.2745	10.2168
Length    9, alignment in bytes  0:	11.0797	11.3783
Length   10, alignment in bytes  0:	11.4213	10.7003
Length   10, alignment in bytes  0:	10.9378	10.8549
Length   11, alignment in bytes  0:	12.6926	12.6462
Length   11, alignment in bytes  0:	14.5045	14.888
Length   12, alignment in bytes  0:	16.7136	15.4691
Length   12, alignment in bytes  0:	16.9439	15.9946
Length   13, alignment in bytes  0:	18.4863	16.5675
Length   13, alignment in bytes  0:	18.5617	17.1788
Length   14, alignment in bytes  0:	12.5838	12.8563
Length   14, alignment in bytes  0:	11.943	11.3548
Length   15, alignment in bytes  0:	13.8783	13.2107
Length   15, alignment in bytes  0:	13.3132	13.1453
Length   16, alignment in bytes  0:	13.3304	13.6574
Length   16, alignment in bytes  0:	14.396	14.7452
Length   17, alignment in bytes  0:	17.335	14.8928
Length   17, alignment in bytes  0:	16.1648	14.884
Length   18, alignment in bytes  0:	17.0687	15.6313
Length   18, alignment in bytes  0:	15.949	12.9814
Length   19, alignment in bytes  0:	14.3587	12.3326
Length   19, alignment in bytes  0:	14.2149	15.1439
Length   20, alignment in bytes  0:	15.4753	13.7147
Length   20, alignment in bytes  0:	14.4423	13.7063
Length   21, alignment in bytes  0:	15.6001	14.1895
Length   21, alignment in bytes  0:	15.1779	14.194
Length   22, alignment in bytes  0:	16.5751	14.6763
Length   22, alignment in bytes  0:	16.5139	16.8225
Length   23, alignment in bytes  0:	19.033	18.6655
Length   23, alignment in bytes  0:	18.9987	17.8708
Length   24, alignment in bytes  0:	20.7101	18.6562
Length   24, alignment in bytes  0:	18.7052	16.6041
Length   25, alignment in bytes  0:	18.1287	16.1568
Length   25, alignment in bytes  0:	17.9488	17.0686
Length   26, alignment in bytes  0:	19.6971	18.4458
Length   26, alignment in bytes  0:	19.5302	19.2667
Length   27, alignment in bytes  0:	20.0159	19.5111
Length   27, alignment in bytes  0:	21.1517	17.3704
Length   28, alignment in bytes  0:	21.6599	22.3339
Length   28, alignment in bytes  0:	21.8086	22.9371
Length   29, alignment in bytes  0:	22.3619	22.3701
Length   29, alignment in bytes  0:	20.0226	20.3135
Length   30, alignment in bytes  0:	19.4659	19.4616
Length   30, alignment in bytes  0:	21.7531	19.8293
Length   31, alignment in bytes  0:	23.1508	22.4667
Length   31, alignment in bytes  0:	24.6201	22.5093
Length   64, alignment in bytes  4:	42.2175	33.8031
Length   64, alignment in bytes  4:	36.1112	34.4196
Length   64, alignment in bytes  8:	38.4078	36.5253
Length   64, alignment in bytes  8:	39.5166	34.8698
Length   64, alignment in bytes 12:	37.7618	41.1472
Length   64, alignment in bytes 12:	45.1273	41.56
Length   64, alignment in bytes 16:	41.3782	36.5052
Length   64, alignment in bytes 16:	39.4806	35.7797
Length   64, alignment in bytes 20:	37.0586	34.3015
Length   64, alignment in bytes 20:	39.3449	40.5128
Length   64, alignment in bytes 24:	43.6025	40.4343
Length   64, alignment in bytes 24:	39.0105	34.3036
Length   64, alignment in bytes 28:	35.3424	33.9832
