                       	generic_wcscpy	__wcscpy_ssse3	__wcscpy_sse2
Length    0, alignments in bytes  0/ 0:	9.30591	2.58862	9.29932
Length    0, alignments in bytes  0/ 0:	8.78174	2.59644	7.75464
Length    0, alignments in bytes  0/ 0:	8.7771	3.3855	8.26636
Length    0, alignments in bytes  0/ 0:	8.80176	2.58472	7.74341
Length    1, alignments in bytes  0/ 0:	8.78125	2.59277	7.74731
Length    1, alignments in bytes  0/ 0:	8.78125	2.59375	7.75049
Length    1, alignments in bytes  0/ 4:	8.7793	2.58936	7.74805
Length    1, alignments in bytes  4/ 0:	8.7749	2.58691	7.74707
Length    2, alignments in bytes  0/ 0:	8.77393	2.59253	7.7439
Length    2, alignments in bytes  0/ 0:	8.77368	2.61401	7.74707
Length    2, alignments in bytes  0/ 8:	8.77515	2.58911	7.74487
Length    2, alignments in bytes  8/ 0:	8.7749	2.58887	7.74268
Length    3, alignments in bytes  0/ 0:	9.71436	2.59619	9.29614
Length    3, alignments in bytes  0/ 0:	9.29761	2.59766	8.26782
Length    3, alignments in bytes  0/12:	9.29517	2.58691	8.26514
Length    3, alignments in bytes 12/ 0:	9.29102	2.58765	8.26245
Length    4, alignments in bytes  0/ 0:	9.29053	3.62695	8.26123
Length    4, alignments in bytes  0/ 0:	9.29395	3.62329	8.25806
Length    4, alignments in bytes  0/16:	9.29297	3.61914	8.26562
Length    4, alignments in bytes 16/ 0:	9.29028	3.10547	8.45093
Length    5, alignments in bytes  0/ 0:	8.72925	3.40454	7.75806
Length    5, alignments in bytes  0/ 0:	8.72656	3.65186	8.7251
Length    5, alignments in bytes  0/20:	8.72632	3.39697	8.72998
Length    5, alignments in bytes 20/ 0:	8.72656	3.40503	7.75806
Length    6, alignments in bytes  0/ 0:	8.72681	3.8855	7.76245
Length    6, alignments in bytes  0/ 0:	8.72656	3.88647	7.76074
Length    6, alignments in bytes  0/24:	8.72607	3.88403	7.7583
Length    6, alignments in bytes 24/ 0:	8.72656	5.83252	7.75854
Length    7, alignments in bytes  0/ 0:	8.24854	3.40747	7.27979
Length    7, alignments in bytes  0/ 0:	8.24756	3.4021	7.2832
Length    7, alignments in bytes  0/28:	8.24683	3.39673	9.81714
Length    7, alignments in bytes 28/ 0:	8.50342	6.02344	7.50342
Length    8, alignments in bytes  0/ 0:	10.0081	4.26099	8.50317
