                                	wcscspn	simple_wcscspn
Length  512, alignment  0, rej len  0:	2323.39	299.761
Length  512, alignment  0, rej len  0:	2666.09	610.493
Length  512, alignment  0, rej len  1:	2198.84	783.68
Length  512, alignment  1, rej len  1:	2744.82	912.31
Length  512, alignment  0, rej len  2:	2757.59	1236.45
Length  512, alignment  2, rej len  2:	2769.97	1085.42
Length  512, alignment  0, rej len  3:	2702.01	1998.95
Length  512, alignment  3, rej len  3:	2756.75	2008.77
Length  512, alignment  0, rej len  4:	2202.07	2523.5
Length  512, alignment  4, rej len  4:	2386.19	2491.79
Length  512, alignment  0, rej len  5:	2345.03	3460.93
Length  512, alignment  5, rej len  5:	1948.58	3257.33
Length  512, alignment  0, rej len  6:	2176.71	2916.74
Length  512, alignment  6, rej len  6:	2309.25	2671.89
Length  512, alignment  0, rej len  7:	2599.68	2730.15
Length  512, alignment  7, rej len  7:	2160.73	2638.35
Length  512, alignment  0, rej len  8:	2407	2944.68
Length  512, alignment  0, rej len  8:	2668.09	3168.94
Length  512, alignment  0, rej len  9:	2887.11	4091.47
Length  512, alignment  1, rej len  9:	2551.75	3984.01
Length  512, alignment  0, rej len 10:	2653.54	4068.51
Length  512, alignment  2, rej len 10:	2911.63	3996.22
Length  512, alignment  0, rej len 11:	2397.2	4794.53
Length  512, alignment  3, rej len 11:	2985.04	5213.53
Length  512, alignment  0, rej len 12:	3683.33	4959.72
Length  512, alignment  4, rej len 12:	3175.12	4854.52
Length  512, alignment  0, rej len 13:	3273.87	6479.44
Length  512, alignment  5, rej len 13:	3045.45	5905.72
Length  512, alignment  0, rej len 14:	3884.33	7004.59
Length  512, alignment  6, rej len 14:	2536.87	6157.95
Length  512, alignment  0, rej len 15:	3442.61	7359.16
Length  512, alignment  7, rej len 15:	3127.1	7153.17
Length  512, alignment  0, rej len 16:	3477.21	4739.89
Length  512, alignment  0, rej len 16:	2911.4	4957.59
Length  512, alignment  0, rej len 17:	3378.46	5260.72
Length  512, alignment  1, rej len 17:	2888.12	4759.15
Length  512, alignment  0, rej len 18:	2907.69	5586.25
Length  512, alignment  2, rej len 18:	3428.65	5663.18
Length  512, alignment  0, rej len 19:	3403.3	6142.12
Length  512, alignment  3, rej len 19:	2783.12	6411.16
Length  512, alignment  0, rej len 20:	3574.19	5932.46
Length  512, alignment  4, rej len 20:	3195.9	6920.6
Length  512, alignment  0, rej len 21:	3091.93	6585.5
Length  512, alignment  5, rej len 21:	2882.86	6097.48
Length  512, alignment  0, rej len 22:	2736.24	5793.51
Length  512, alignment  6, rej len 22:	2640.64	7329.75
Length  512, alignment  0, rej len 23:	3453.58	7056.7
Length  512, alignment  7, rej len 23:	2483.29	7104.81
Length  512, alignment  0, rej len 24:	2503.68	7897.63
Length  512, alignment  0, rej len 24:	3159.86	7023.02
Length  512, alignment  0, rej len 25:	2531.21	6783.55
Length  512, alignment  1, rej len 25:	2858.15	8382.66
Length  512, alignment  0, rej len 26:	3063.05	7044.21
Length  512, alignment  2, rej len 26:	2922.52	7719.14
Length  512, alignment  0, rej len 27:	2804.98	8337.78
Length  512, alignment  3, rej len 27:	3467.76	7446.06
