                            	generic_wcsncat	wcsncat
Length    2/   2, alignment  0/ 2, N    2:	18.8033	18.5822
Length    4/   4, alignment  0/ 0, N    2:	18.407	17.5248
Length    4/   4, alignment  4/ 0, N    2:	17.4531	17.453
Length    8/   8, alignment  0/ 0, N    2:	18.3254	17.9376
Length    8/   8, alignment  0/ 0, N    2:	18.4009	17.9386
Length   16/  16, alignment  0/ 0, N    2:	16.7401	16.7249
Length   16/  16, alignment  7/ 2, N    2:	16.4431	17.0129
Length   16/   4, alignment  0/ 0, N    2:	17.503	17.4529
Length   16/   4, alignment  7/ 2, N    2:	17.4528	18.1965
Length   32/  32, alignment  0/ 0, N    2:	19.0956	19.208
Length   32/  32, alignment  6/ 4, N    2:	19.0958	19.0969
Length   32/   8, alignment  0/ 0, N    2:	19.5131	18.6947
Length   32/   8, alignment  6/ 4, N    2:	18.3179	17.9377
Length   64/  64, alignment  0/ 0, N    2:	19.9501	20.0226
Length   64/  64, alignment  5/ 6, N    2:	20.3378	21.4891
Length   64/  16, alignment  0/ 0, N    2:	19.0974	19.3538
Length   64/  16, alignment  5/ 6, N    2:	19.1516	19.353
Length  128/ 128, alignment  0/ 0, N    2:	21.4945	21.4235
Length  128/ 128, alignment  4/ 0, N    2:	21.4049	21.5576
Length  128/  32, alignment  0/ 0, N    2:	19.0964	19.5435
Length  128/  32, alignment  4/ 0, N    2:	19.0949	19.6657
Length  256/ 256, alignment  0/ 0, N    2:	21.7431	21.3771
Length  256/ 256, alignment  3/ 2, N    2:	21.4451	21.3799
Length  256/  64, alignment  0/ 0, N    2:	21.1833	21.2492
Length  256/  64, alignment  3/ 2, N    2:	21.1919	21.2495
Length  512/ 512, alignment  0/ 0, N    2:	25.9451	25.4507
Length  512/ 512, alignment  2/ 4, N    2:	25.5976	24.7275
Length  512/ 128, alignment  0/ 0, N    2:	20.1664	20.1999
Length  512/ 128, alignment  2/ 4, N    2:	20.1115	20.2592
Length 1024/ 256, alignment  0/ 0, N    2:	20.1362	20.1493
Length 1024/ 256, alignment  1/ 6, N    2:	24.6409	21.5643
Length   16/   1, alignment  1/ 2, N    2:	17.4539	17.453
Length   16/   1, alignment  2/ 1, N    2:	17.5058	17.4538
Length   16/  10, alignment  1/ 1, N    2:	18.2629	18.0027
Length   32/   1, alignment  2/ 4, N    2:	17.4544	17.4532
Length   32/   1, alignment  4/ 2, N    2:	17.5123	17.4531
Length   32/  10, alignment  2/ 2, N    2:	19.4521	19.9227
Length   64/   1, alignment  3/ 6, N    2:	21.3338	21.3993
Length   64/   1, alignment  6/ 3, N    2:	21.3326	21.4077
Length   64/  10, alignment  3/ 3, N    2:	22.3207	21.9889
Length  128/   1, alignment  4/ 0, N    2:	21.3331	21.3943
Length  128/   1, alignment  0/ 4, N    2:	21.332	21.3317
Length  128/  10, alignment  4/ 4, N    2:	22.382	21.9239
Length  256/   1, alignment  5/ 2, N    2:	21.3975	21.332
