                            	generic_wcsncpy	wcsncpy
Length   16, n   16, alignment  1/ 1:	10.4979	9.77541
Length   16, n   16, alignment  1/ 1:	10.4632	9.81981
Length   16, n   16, alignment  1/ 2:	10.9092	11.0065
Length   16, n   16, alignment  2/ 1:	11.867	11.8507
Length    2, n    4, alignment  7/ 2:	16.0619	14.8297
Length    4, n    2, alignment  2/ 7:	11.8651	11.8719
Length    2, n    4, alignment  7/ 2:	16.0248	14.8215
Length    4, n    2, alignment  2/ 7:	11.4447	10.6153
Length   16, n   16, alignment  2/ 2:	10.855	10.5654
Length   16, n   16, alignment  2/ 2:	10.6071	10.5123
Length   16, n   16, alignment  2/ 4:	10.5109	8.38106
Length   16, n   16, alignment  4/ 2:	10.1578	10.2381
Length    4, n    8, alignment  6/ 4:	15.0128	14.2794
Length    8, n    4, alignment  4/ 6:	11.6235	9.77727
Length    4, n    8, alignment  6/ 4:	13.2598	12.9623
Length    8, n    4, alignment  4/ 6:	10.3586	9.62691
Length   16, n   16, alignment  3/ 3:	10.3552	10.2416
Length   16, n   16, alignment  3/ 3:	10.3576	10.8374
Length   16, n   16, alignment  3/ 6:	11.134	11.8074
Length   16, n   16, alignment  6/ 3:	11.9088	11.8954
Length    8, n   16, alignment  5/ 6:	16.4338	15.4968
Length   16, n    8, alignment  6/ 5:	11.6857	10.1104
Length    8, n   16, alignment  5/ 6:	16.1843	14.7766
Length   16, n    8, alignment  6/ 5:	9.86511	9.32213
Length   16, n   16, alignment  4/ 4:	9.33429	9.69766
Length   16, n   16, alignment  4/ 4:	9.51062	10.217
Length   16, n   16, alignment  4/ 0:	9.5807	8.24219
Length   16, n   16, alignment  0/ 4:	10.219	9.73685
Length   16, n   32, alignment  4/ 0:	12.7926	12.4493
Length   32, n   16, alignment  0/ 4:	10.0511	8.5625
Length   16, n   32, alignment  4/ 0:	12.6853	11.697
Length   32, n   16, alignment  0/ 4:	10.1811	9.23196
Length   16, n   16, alignment  5/ 5:	9.38998	8.75935
Length   16, n   16, alignment  5/ 5:	9.81282	9.28957
Length   16, n   16, alignment  5/ 2:	11.6577	10.5292
Length   16, n   16, alignment  2/ 5:	11.8893	10.4186
Length   32, n   64, alignment  3/ 2:	14.267	13.0764
Length   64, n   32, alignment  2/ 3:	12.0337	10.3333
Length   32, n   64, alignment  3/ 2:	13.7543	13.0004
Length   64, n   32, alignment  2/ 3:	10.9637	9.52492
Length   16, n   16, alignment  6/ 6:	10.8824	10.8737
Length   16, n   16, alignment  6/ 6:	10.3569	10.3215
Length   16, n   16, alignment  6/ 4:	10.9527	9.82587
Length   16, n   16, alignment  4/ 6:	10.3597	9.46289
Length   64, n  128, alignment  2/ 4:	15.9358	14.2582
Length  128, n   64, alignment  4/ 2:	12.019	11.527
Length   64, n  128, alignment  2/ 4:	16.0513	16.5022
Length  128, n   64, alignment  4/ 2:	14.3161	12.7881
Length   16, n   16, alignment  7/ 7:	12.3784	11.1682
Length   16, n   16, alignment  7/ 7:	10.9714	11.2264
Length   16, n   16, alignment  7/ 6:	10.5043	9.1436
Length   16, n   16, alignment  6/ 7:	10.4956	9.02385
Length  128, n  256, alignment  1/ 6:	17.2072	16.1376
Length  256, n  128, alignment  6/ 1:	14.07	13.5833
Length  128, n  256, alignment  1/ 6:	16.958	17.3661
Length  256, n  128, alignment  6/ 1:	13.6866	13.6219
Length    8, n   16, alignment  0/ 0:	12.4945	13.5025
Length   32, n   16, alignment  0/ 0:	12.3044	11.8822
Length    8, n   16, alignment  7/ 2:	15.4889	15.0043
Length   32, n   16, alignment  7/ 2:	12.3621	10.8042
Length   16, n   32, alignment  0/ 0:	16.2301	15.3054
Length   64, n   32, alignment  0/ 0:	10.447	8.71011
Length   16, n   32, alignment  6/ 4:	12.7928	10.7128
Length   64, n   32, alignment  6/ 4:	8.88928	8.02808
Length   32, n   64, alignment  0/ 0:	10.7084	9.67653
Length  128, n   64, alignment  0/ 0:	10.6982	9.33466
Length   32, n   64, alignment  5/ 6:	11.1075	9.81418
Length  128, n   64, alignment  5/ 6:	10.4622	9.63364
Length   64, n  128, alignment  0/ 0:	15.5112	12.7176
Length  256, n  128, alignment  0/ 0:	13.4786	12.028
Length   64, n  128, alignment  4/ 0:	13.9916	12.4817
Length  256, n  128, alignment  4/ 0:	14.7299	13.5253
Length  128, n  256, alignment  0/ 0:	16.1525	20.5202
Length  512, n  256, alignment  0/ 0:	27.1418	26.576
Length  128, n  256, alignment  3/ 2:	23.1467	21.9899
Length  512, n  256, alignment  3/ 2:	28.7018	30.3371
Length  256, n  512, alignment  0/ 0:	35.1677	36.0839
Length 1024, n  512, alignment  0/ 0:	43.2762	38.7891
Length  256, n  512, alignment  2/ 4:	36.5345	41.5361
Length 1024, n  512, alignment  2/ 4:	56.1043	49.8248
Length  512, n 1024, alignment  0/ 0:	54.9093	58.7446
Length  512, n 1024, alignment  1/ 6:	80.4064	77.4225
