                    	generic_wcsnlen	wcschr_wcsnlen	__wcsnlen_avx2	__wcsnlen_avx2_rtm	__wcsnlen_evex	__wcsnlen_sse4_1	__wcsnlen_sse2
Length    1, alignment  0:	5.90318	5.51755	2.78929	2.75899	2.75903	2.20738	5.53729
Length    1, alignment  0:	5.51747	5.63797	2.96362	5.92642	4.16347	6.09175	6.03542
Length    1, alignment  0:	7.11151	7.12534	2.96373	5.94597	4.14876	6.09106	5.9454
Length    2, alignment  0:	5.92612	5.94211	2.96313	5.68193	3.56595	6.09039	5.94604
Length    2, alignment  0:	5.92596	5.94522	2.96329	5.9418	4.14821	6.091	5.94183
Length    2, alignment  0:	5.57584	4.54364	2.22247	4.44437	3.12766	4.56808	4.44427
Length    3, alignment  0:	4.45596	4.44429	2.22237	4.51604	3.11096	4.56842	4.49083
Length    3, alignment  0:	4.44427	4.5663	2.27286	4.13197	3.11151	4.61229	4.44478
Length    3, alignment  0:	4.44495	4.48335	2.2226	4.00021	3.11119	4.6033	4.44458
Length    4, alignment  0:	4.44443	4.52577	2.22249	4.00008	3.15858	4.56784	4.44432
Length    4, alignment  0:	4.57648	4.84854	2.42458	4.89091	3.29031	4.62904	4.89058
Length    4, alignment  0:	4.84857	4.89474	2.42455	4.84848	3.45634	5.29037	4.88307
Length    5, alignment  0:	4.88898	4.84854	2.42444	5.16302	4.00006	5.91328	5.71405
Length    5, alignment  0:	6.77536	5.92625	2.96329	5.79428	4.14815	6.12006	5.92593
Length    5, alignment  0:	5.95782	5.92584	2.96346	5.96027	4.14835	6.1226	5.92603
Length    6, alignment  0:	6.0639	5.92622	2.96321	5.9529	4.14827	6.1216	5.92596
Length    6, alignment  0:	5.95811	5.92606	2.96323	5.83089	3.99989	6.01904	5.7141
Length    6, alignment  0:	5.74205	5.71411	2.85747	5.74075	3.99995	5.9005	5.71437
Length    7, alignment  0:	5.74141	5.71426	2.8573	5.61298	4.00005	5.90385	5.71404
Length    7, alignment  0:	5.73761	5.71404	2.85745	5.17981	3.99988	5.62083	5.19431
Length    7, alignment  0:	4.44423	4.53662	2.23904	4.44441	3.11108	4.60545	4.44453
Length    1, alignment  1:	4.47847	4.44469	2.23346	2.22269	2.66707	1.83257	4.88916
Length    1, alignment  1:	5.33328	4.4781	2.22241	4.44449	3.12929	4.56807	4.44441
Length    1, alignment  1:	4.48813	4.44426	2.22231	4.47752	3.11116	4.56766	4.48654
Length    2, alignment  2:	4.44456	4.44438	2.25867	4.44426	3.11116	4.61044	4.51729
Length    2, alignment  2:	4.44435	4.48772	2.22229	4.4444	3.11113	4.61292	4.44438
Length    2, alignment  2:	4.49133	4.44421	2.22244	4.49121	3.11113	4.56824	4.49268
Length    3, alignment  3:	4.51602	4.44434	2.22234	4.47975	3.11105	4.56784	4.48482
