                                	wcspbrk	simple_wcspbrk
Length  512, alignment  0, rej len  0:	1947.29	328.89
Length  512, alignment  0, rej len  0:	1993.47	306.968
Length  512, alignment  0, rej len  1:	1787.16	527.455
Length  512, alignment  1, rej len  1:	1665.76	527.224
Length  512, alignment  0, rej len  2:	2045.74	1161.41
Length  512, alignment  2, rej len  2:	2267.63	1243.55
Length  512, alignment  0, rej len  3:	2214.99	1786.53
Length  512, alignment  3, rej len  3:	2075.06	1751.62
Length  512, alignment  0, rej len  4:	1912.36	2372.2
Length  512, alignment  4, rej len  4:	2474.93	2576.53
Length  512, alignment  0, rej len  5:	2257.75	3004.19
Length  512, alignment  5, rej len  5:	1927.78	3432.02
Length  512, alignment  0, rej len  6:	2045.82	2179.55
Length  512, alignment  6, rej len  6:	2065.32	2135.25
Length  512, alignment  0, rej len  7:	1835.55	2854.8
Length  512, alignment  7, rej len  7:	2454.71	2968.25
Length  512, alignment  0, rej len  8:	2522.8	2929.34
Length  512, alignment  0, rej len  8:	2659.96	3415.37
Length  512, alignment  0, rej len  9:	2941.67	3476.27
Length  512, alignment  1, rej len  9:	2848.14	3486.51
Length  512, alignment  0, rej len 10:	2430.59	3264.72
Length  512, alignment  2, rej len 10:	3221.04	3856.06
Length  512, alignment  0, rej len 11:	2588.24	3339.98
Length  512, alignment  3, rej len 11:	2072	3999.62
Length  512, alignment  0, rej len 12:	3261	3735.77
Length  512, alignment  4, rej len 12:	2737.02	3549.42
Length  512, alignment  0, rej len 13:	2782.62	4527.75
Length  512, alignment  5, rej len 13:	3030.11	4472.65
Length  512, alignment  0, rej len 14:	2969.24	4484.7
Length  512, alignment  6, rej len 14:	2410.37	4582.22
Length  512, alignment  0, rej len 15:	2868.18	4895.71
Length  512, alignment  7, rej len 15:	3153.6	5267.53
Length  512, alignment  0, rej len 16:	3221.09	5593.77
Length  512, alignment  0, rej len 16:	2941.28	5352.67
Length  512, alignment  0, rej len 17:	3188.84	5598.81
Length  512, alignment  1, rej len 17:	3018.8	5412.19
Length  512, alignment  0, rej len 18:	3144.61	6201.71
Length  512, alignment  2, rej len 18:	3247.45	5943.14
Length  512, alignment  0, rej len 19:	2763.03	5670.96
Length  512, alignment  3, rej len 19:	2908.93	5738.3
Length  512, alignment  0, rej len 20:	2963.58	6512.49
Length  512, alignment  4, rej len 20:	2895.28	6608.78
Length  512, alignment  0, rej len 21:	2973.98	6432.2
Length  512, alignment  5, rej len 21:	2789.08	6299.33
Length  512, alignment  0, rej len 22:	3032.42	6974.2
Length  512, alignment  6, rej len 22:	2607.95	7303.76
Length  512, alignment  0, rej len 23:	2803.98	6581.29
Length  512, alignment  7, rej len 23:	2675.58	7563.9
Length  512, alignment  0, rej len 24:	2863.75	6840.82
Length  512, alignment  0, rej len 24:	2322.68	7867.67
Length  512, alignment  0, rej len 25:	2873.05	7009.86
Length  512, alignment  1, rej len 25:	2346.45	6462.28
Length  512, alignment  0, rej len 26:	2533.93	6858.62
Length  512, alignment  2, rej len 26:	2655.05	7383.43
Length  512, alignment  0, rej len 27:	2924.4	8280.24
Length  512, alignment  3, rej len 27:	3094.27	8118
Length  512, alignment  0, rej len 28:	2865.52	9249.55
Length  512, alignment  4, rej len 28:	2904.26	8515
Length  512, alignment  0, rej len 29:	3143.3	9196.54
Length  512, alignment  5, rej len 29:	2878.66	9338.34
Length  512, alignment  0, rej len 30:	3251.37	9293.35
Length  512, alignment  6, rej len 30:	2674.06	9173.92
Length  512, alignment  0, rej len 31:	3123.95	9073.23
Length  512, alignment  7, rej len 31:	2859.3	9746.31
Length   32, alignment  0, rej len  4:	165.622	152.081
Length   32, alignment  1, rej len  4:	148.981	157.346
Length   64, alignment  0, rej len  4:	273.366	322.603
Length   64, alignment  2, rej len  4:	297.503	306.918
Length  128, alignment  0, rej len  4:	569.155	579.667
Length  128, alignment  3, rej len  4:	478.447	583.313
Length  256, alignment  0, rej len  4:	1048.12	1143.5
Length  256, alignment  4, rej len  4:	1024.93	1190.34
Length  512, alignment  0, rej len  4:	1871.19	2436.45
Length  512, alignment  5, rej len  4:	2380.55	2516.64
Length 1024, alignment  0, rej len  4:	3930.5	4480.68
Length 1024, alignment  6, rej len  4:	3930.24	5055.66
Length   64, alignment  1, rej len 10:	338.939	521.263
Length   64, alignment  2, rej len 10:	362.605	514.531
Length   64, alignment  3, rej len 10:	328.911	512.817
Length   64, alignment  4, rej len 10:	360.901	517.241
Length   64, alignment  5, rej len 10:	428.216	512.83
Length   64, alignment  6, rej len 10:	429.415	524.653
Length   64, alignment  7, rej len 10:	330.123	492.437
