                    	simple_wcsrchr	__wcsrchr_avx2	__wcsrchr_avx2_rtm	__wcsrchr_evex	__wcsrchr_sse2
Length  256, alignment in bytes  4:	165.851	37.1577	37.0438	37.0355	74.7298
Length  256, alignment in bytes  4:	183.022	39.7693	39.7025	39.7983	78.0792
Length  256, alignment in bytes  8:	185.689	36.9653	37.023	35.3511	68.1736
Length  256, alignment in bytes  8:	162.471	34.5805	33.8405	33.3589	64.3521
Length  256, alignment in bytes 12:	155.064	33.5604	32.6333	33.9744	68.0011
Length  256, alignment in bytes 12:	180.077	39.8314	39.8577	39.8857	77.7775
Length  256, alignment in bytes 16:	170.058	32.6352	32.485	32.1041	63.9484
Length  256, alignment in bytes 16:	152.638	32.6174	32.6271	36.0416	78.2429
Length  256, alignment in bytes 20:	186.575	40.0181	39.8428	39.7025	74.7395
Length  256, alignment in bytes 20:	160.682	34.7656	34.7614	34.5789	64.4799
Length  256, alignment in bytes 24:	159.384	32.6232	30.5383	29.9106	64.4254
Length  256, alignment in bytes 24:	186.571	39.8506	39.8336	39.7018	78.2758
Length  256, alignment in bytes 28:	169.381	32.4811	31.5356	32.6578	63.6376
Length  256, alignment in bytes 28:	156.839	32.6277	32.4839	32.6127	63.6435
Length    1, alignment in bytes  0:	1.94257	2.93683	5.30457	3.6153	4.13135
Length    1, alignment in bytes  0:	2.06848	3.10559	5.67871	3.61475	4.13043
Length    2, alignment in bytes  0:	2.58429	3.10352	5.67773	3.61371	5.42572
Length    2, alignment in bytes  0:	2.5835	3.10577	5.67731	3.61377	5.67944
Length    3, alignment in bytes  0:	4.39172	3.09991	5.67841	3.61389	4.64819
Length    3, alignment in bytes  0:	4.3891	3.23468	5.67853	3.61432	4.13074
Length    4, alignment in bytes  0:	5.42279	3.10028	5.67712	3.61304	4.31866
Length    4, alignment in bytes  0:	5.42102	3.6142	5.82623	3.61426	5.1236
Length    5, alignment in bytes  0:	7.74518	3.09839	5.67749	3.61292	6.75916
Length    5, alignment in bytes  0:	7.27411	3.56409	5.33331	3.39404	4.40912
Length    6, alignment in bytes  0:	7.76166	2.9115	5.33307	3.39478	4.86078
Length    6, alignment in bytes  0:	5.34851	3.56415	5.33411	3.59314	5.32825
Length    7, alignment in bytes  0:	7.13702	3.55731	6.51953	4.15015	5.92865
Length    7, alignment in bytes  0:	7.55377	3.56006	5.33679	4.14905	7.10632
Length    8, alignment in bytes  0:	8.0152	4.74487	5.3382	4.74426	9.38654
Length    8, alignment in bytes  0:	8.01514	4.74255	5.33527	4.74243	9.47974
Length    9, alignment in bytes  0:	10.0772	5.5097	7.11462	5.92975	8.28021
Length    9, alignment in bytes  0:	10.0759	4.74487	8.95453	5.92749	6.30212
Length   10, alignment in bytes  0:	10.6704	4.74396	8.88934	4.75006	8.12677
Length   10, alignment in bytes  0:	10.6679	4.74457	5.93579	5.92743	8.29749
Length   11, alignment in bytes  0:	11.434	4.745	8.88995	5.92755	6.92279
Length   11, alignment in bytes  0:	11.4945	4.92639	6.52234	5.92761	6.92786
Length   12, alignment in bytes  0:	12.4033	4.74316	8.89093	5.92786	7.29236
Length   12, alignment in bytes  0:	12.4456	4.74481	8.297	5.33673	6.93054
Length   13, alignment in bytes  0:	14.4006	4.74365	8.88837	5.92596	7.21954
Length   13, alignment in bytes  0:	13.8201	4.74323	8.8891	5.92621	6.98499
Length   14, alignment in bytes  0:	13.4207	4.13177	7.69238	4.13599	6.81744
Length   14, alignment in bytes  0:	14.1942	4.13214	7.7417	4.64612	7.57294
Length   15, alignment in bytes  0:	16.0016	4.13159	7.74176	4.13464	6.83215
Length   15, alignment in bytes  0:	16.6272	4.13263	7.74347	4.64569	8.24756
Length   16, alignment in bytes  0:	10.8546	7.38062	7.74445	7.74292	6.89972
Length   16, alignment in bytes  0:	10.8464	7.20935	8.32117	7.74152	6.82245
Length   17, alignment in bytes  0:	10.7133	4.58118	5.3374	4.85504	6.8175
Length   17, alignment in bytes  0:	10.7261	4.57922	5.81866	5.33398	6.67389
Length   18, alignment in bytes  0:	10.6986	4.19751	7.11084	4.88916	6.55853
Length   18, alignment in bytes  0:	10.2473	4.19879	7.11176	4.67047	6.55695
Length   19, alignment in bytes  0:	10.7242	4.19769	7.11066	4.88904	6.57013
Length   19, alignment in bytes  0:	10.8515	4.19708	7.1106	4.44867	6.56982
Length   20, alignment in bytes  0:	11.1465	4.19775	7.11176	4.33514	7.55914
Length   20, alignment in bytes  0:	11.1406	4.19684	7.11096	4.44879	6.65967
Length   21, alignment in bytes  0:	11.7499	4.19696	7.112	4.073	6.85095
Length   21, alignment in bytes  0:	11.6099	4.1972	7.27991	4.88977	6.82953
Length   22, alignment in bytes  0:	12.0442	4.19781	6.66718	4.44971	7.36877
Length   22, alignment in bytes  0:	12.0425	4.2002	7.11176	4.44958	7.22833
Length   23, alignment in bytes  0:	12.6081	4.19818	7.11121	4.88953	7.24927
Length   23, alignment in bytes  0:	12.4861	4.19879	7.22681	4.45044	7.24854
Length   24, alignment in bytes  0:	12.9737	4.97028	7.10236	4.97455	9.15723
Length   24, alignment in bytes  0:	13.7279	5.42139	7.27417	5.82031	8.00507
Length   25, alignment in bytes  0:	14.7528	5.39966	5.84473	5.33752	8.2243
Length   25, alignment in bytes  0:	14.7305	5.39783	7.75885	5.18945	8.22247
Length   26, alignment in bytes  0:	15.0883	5.39526	7.88739	5.19397	8.68567
Length   26, alignment in bytes  0:	15.0857	5.39795	7.89832	5.19458	8.73071
Length   27, alignment in bytes  0:	15.6154	5.39716	7.27362	5.34442	8.7356
Length   27, alignment in bytes  0:	15.6113	5.39966	7.75842	5.19702	9.49078
Length   28, alignment in bytes  0:	19.2232	6.59863	9.48163	6.3429	10.6935
Length   28, alignment in bytes  0:	18.9719	6.85114	8.00616	6.10413	10.6511
Length   29, alignment in bytes  0:	20.2818	6.59857	9.4826	6.62408	10.9344
Length   29, alignment in bytes  0:	20.2735	6.59686	9.18878	6.32056	10.9323
Length   30, alignment in bytes  0:	20.1647	6.36163	8.36371	6.12158	11.1229
Length   30, alignment in bytes  0:	20.1297	6.4967	8.55707	6.10413	11.1213
Length   31, alignment in bytes  0:	20.5805	6.54028	9.14374	6.11609	11.1437
Length   31, alignment in bytes  0:	20.771	6.36084	9.14325	6.28766	11.1458
Length   32, alignment in bytes  0:	21.4511	7.31226	9.13104	7.9928	10.8638
Length   32, alignment in bytes  0:	21.4291	7.34869	7.57532	7.07025	10.638
Length  256, alignment in bytes  4:	38.0723	10.8331	11.5469	10.4873	18.8648
Length  256, alignment in bytes  4:	35.7895	9.95154	11.263	10.4852	19.3126
Length  256, alignment in bytes  8:	40.0047	10.6179	12.2831	10.4849	20.078
Length  256, alignment in bytes  8:	42.9262	11.4108	13.2391	11.2603	21.0388
Length  256, alignment in bytes 12:	42.9009	11.3005	13.3179	10.8579	21.1495
Length  256, alignment in bytes 12:	41.4526	11.0056	13.3357	10.8582	20.2863
Length  256, alignment in bytes 16:	41.4642	11.0038	13.3218	10.8587	20.001
Length  256, alignment in bytes 16:	41.414	11.0021	12.5203	10.8582	19.7323
Length  256, alignment in bytes 20:	38.6689	10.6544	13.3062	10.8574	20.0032
Length  256, alignment in bytes 20:	41.4871	11.0396	12.8564	10.4836	20.4147
Length  256, alignment in bytes 24:	39.9329	10.6307	12.6903	10.6483	19.5891
Length  256, alignment in bytes 24:	40.0198	10.6264	12.9664	10.5051	18.3232
Length  256, alignment in bytes 28:	36.9679	10.6111	12.6902	10.4849	19.7345
Length  256, alignment in bytes 28:	40.0361	10.4874	11.9351	9.97833	19.4396
Length    1, alignment in bytes  0:	2.58282	3.12634	5.33954	3.39661	4.36548
Length    1, alignment in bytes  0:	2.42523	2.91162	4.36414	3.39557	4.3645
Length    2, alignment in bytes  0:	1.94232	3.39551	4.85059	3.39557	4.85156
Length    2, alignment in bytes  0:	1.94232	2.91205	5.33429	3.39502	5.33392
Length    3, alignment in bytes  0:	2.42743	2.91504	5.33435	3.59338	4.8537
Length    3, alignment in bytes  0:	2.42609	2.91162	4.84863	3.39453	4.84961
Length    4, alignment in bytes  0:	4.12274	2.91101	4.84882	3.39545	4.3656
Length    4, alignment in bytes  0:	4.2876	3.39606	5.33337	3.39441	3.88477
Length    5, alignment in bytes  0:	5.09338	2.91095	5.33368	3.39484	4.85168
Length    5, alignment in bytes  0:	5.09235	2.91278	5.53351	3.39404	5.86169
Length    6, alignment in bytes  0:	7.27417	2.91162	5.3338	3.39545	4.85339
Length    6, alignment in bytes  0:	8.12988	3.30188	5.67883	3.6145	7.21167
Length    7, alignment in bytes  0:	5.68256	3.10071	5.67804	3.61426	6.49213
Length    7, alignment in bytes  0:	6.56024	3.83093	6.5199	4.15002	8.28192
Length    8, alignment in bytes  0:	7.40991	3.55927	6.5191	4.14954	6.07843
Length    8, alignment in bytes  0:	7.41113	4.12073	6.52057	4.14941	5.67639
Length    9, alignment in bytes  0:	10.081	4.7467	7.43701	5.93097	7.70288
Length    9, alignment in bytes  0:	8.00903	4.74445	7.11169	5.92767	8.46649
Length   10, alignment in bytes  0:	10.0764	4.7428	5.93494	5.92853	8.2818
Length   10, alignment in bytes  0:	10.2426	4.74445	5.9353	5.92761	8.89032
Length   11, alignment in bytes  0:	10.67	4.74274	5.93372	6.07355	6.63043
Length   11, alignment in bytes  0:	10.6674	4.74432	5.93286	5.33899	7.6972
Length   12, alignment in bytes  0:	11.4216	4.74341	5.93176	5.92743	6.61774
Length   12, alignment in bytes  0:	11.2621	4.74414	9.15857	5.92761	7.69342
Length   13, alignment in bytes  0:	11.8567	4.7439	8.88849	4.935	7.6991
Length   13, alignment in bytes  0:	11.8555	4.74316	8.89581	5.14337	8.13904
Length   14, alignment in bytes  0:	13.7354	4.57538	8.57092	4.57867	7.91217
Length   14, alignment in bytes  0:	12.28	3.5575	6.66656	4.44476	5.56232
Length   15, alignment in bytes  0:	11.9821	3.55725	6.6662	4.18811	5.64996
Length   15, alignment in bytes  0:	11.9816	3.55786	6.66614	4.00067	6.22351
Length   16, alignment in bytes  0:	12.5677	3.55841	6.66638	4.44501	5.64526
Length   16, alignment in bytes  0:	12.426	3.55762	6.77887	4.4447	5.77777
Length   17, alignment in bytes  0:	9.34845	4.20258	6.67157	4.61926	6.29895
Length   17, alignment in bytes  0:	10.334	4.58038	7.75854	4.44543	6.29755
Length   18, alignment in bytes  0:	10.6712	4.57849	7.91205	4.84998	6.67523
Length   18, alignment in bytes  0:	10.6694	4.57861	5.0249	4.4397	6.67462
Length   19, alignment in bytes  0:	11.9762	4.57977	7.75842	4.43878	6.90198
Length   19, alignment in bytes  0:	11.1599	4.58014	7.87695	4.85449	7.06293
Length   20, alignment in bytes  0:	12.095	4.5788	7.75854	4.85321	7.04926
