                                	wcsspn	simple_wcsspn
Length  512, alignment  0, acc len  1:	692.913	523.902
Length  512, alignment  1, acc len  1:	826.327	555.399
Length  512, alignment  0, acc len  2:	1397.06	1205.17
Length  512, alignment  2, acc len  2:	1331.49	1181.18
Length  512, alignment  0, acc len  3:	1615.55	1375.56
Length  512, alignment  3, acc len  3:	1550.13	1414.3
Length  512, alignment  0, acc len  4:	1872.54	1819.53
Length  512, alignment  4, acc len  4:	1724.08	1826.8
Length  512, alignment  0, acc len  5:	2188.18	2389.61
Length  512, alignment  5, acc len  5:	2496.28	2382.22
Length  512, alignment  0, acc len  6:	2484.98	2222.57
Length  512, alignment  6, acc len  6:	2337.23	2105.29
Length  512, alignment  0, acc len  7:	2388.21	2287.4
Length  512, alignment  7, acc len  7:	2380.15	2326.12
Length  512, alignment  0, acc len  8:	2182.06	2165.22
Length  512, alignment  0, acc len  8:	2569.95	2424.29
Length  512, alignment  0, acc len  9:	2674.38	2413.58
Length  512, alignment  1, acc len  9:	2624.49	2457.54
Length  512, alignment  0, acc len 10:	2614.55	2405.42
Length  512, alignment  2, acc len 10:	2797.26	2662.91
Length  512, alignment  0, acc len 11:	2709.71	2546.8
Length  512, alignment  3, acc len 11:	2588.04	2582.84
Length  512, alignment  0, acc len 12:	2640.85	2971.21
Length  512, alignment  4, acc len 12:	3290.29	3381.14
Length  512, alignment  0, acc len 13:	3547.81	3756.9
Length  512, alignment  5, acc len 13:	3285.88	2955.27
Length  512, alignment  0, acc len 14:	2884.94	3260.51
Length  512, alignment  6, acc len 14:	3224.77	3587.84
Length  512, alignment  0, acc len 15:	3452.37	3706.13
Length  512, alignment  7, acc len 15:	3594.27	4505.49
Length  512, alignment  0, acc len 16:	4319.99	4344.95
Length  512, alignment  0, acc len 16:	3978.49	4005.56
Length  512, alignment  0, acc len 17:	4104.3	4059.97
Length  512, alignment  1, acc len 17:	4682.57	4435.62
Length  512, alignment  0, acc len 18:	4313.31	4048.53
Length  512, alignment  2, acc len 18:	4355.69	4368.82
Length  512, alignment  0, acc len 19:	4876.82	4819.81
Length  512, alignment  3, acc len 19:	4466.47	4507.88
Length  512, alignment  0, acc len 20:	4696.6	4507.41
Length  512, alignment  4, acc len 20:	4725.96	4306.39
Length  512, alignment  0, acc len 21:	5005.21	4211.21
Length  512, alignment  5, acc len 21:	4324.87	4197.05
Length  512, alignment  0, acc len 22:	4663.36	4359.65
Length  512, alignment  6, acc len 22:	4507.17	4304.1
Length  512, alignment  0, acc len 23:	4971.66	5176.3
Length  512, alignment  7, acc len 23:	5132.76	4767.7
Length  512, alignment  0, acc len 24:	5061.72	5045.55
Length  512, alignment  0, acc len 24:	5462.34	4833.4
Length  512, alignment  0, acc len 25:	4533.23	4365.19
Length  512, alignment  1, acc len 25:	4875.38	5165.45
Length  512, alignment  0, acc len 26:	5403.03	5333.35
Length  512, alignment  2, acc len 26:	5032.15	4839.08
Length  512, alignment  0, acc len 27:	4969.76	4962.49
Length  512, alignment  3, acc len 27:	5281.61	5264.85
Length  512, alignment  0, acc len 28:	5484.66	5147.17
Length  512, alignment  4, acc len 28:	5196.73	4997.97
Length  512, alignment  0, acc len 29:	5324.6	4813.87
Length  512, alignment  5, acc len 29:	5268.74	5407.69
Length  512, alignment  0, acc len 30:	6241.07	5266.06
Length  512, alignment  6, acc len 30:	5383.14	5913.09
Length  512, alignment  0, acc len 31:	6085.65	7328.92
Length  512, alignment  7, acc len 31:	5670.84	5642.91
Length   32, alignment  0, acc len  4:	116.814	110.11
Length   32, alignment  1, acc len  4:	125.51	123.365
Length   64, alignment  0, acc len  4:	248.811	265.548
Length   64, alignment  2, acc len  4:	271.142	270.506
Length  128, alignment  0, acc len  4:	509.263	511.038
Length  128, alignment  3, acc len  4:	487.44	475.734
Length  256, alignment  0, acc len  4:	1059.33	1042.4
Length  256, alignment  4, acc len  4:	1084.95	1055.53
Length  512, alignment  0, acc len  4:	1894.16	1926.54
Length  512, alignment  5, acc len  4:	2079.22	2034.38
Length 1024, alignment  0, acc len  4:	3876.5	3360.65
Length 1024, alignment  6, acc len  4:	3453.14	3569.56
Length   64, alignment  1, acc len 10:	347.423	324.478
Length   64, alignment  2, acc len 10:	376.55	344.739
Length   64, alignment  3, acc len 10:	389.731	377.012
Length   64, alignment  4, acc len 10:	356.503	313.666
Length   64, alignment  5, acc len 10:	358.114	331.312
Length   64, alignment  6, acc len 10:	363.12	347.133
Length   64, alignment  7, acc len 10:	367.947	321.18
Length    0, alignment  0, acc len  6:	6.3584	5.86328
Length    1, alignment  0, acc len  6:	9.26562	6.83594
Length    2, alignment  0, acc len  6:	15.0684	14.6055
Length    3, alignment  0, acc len  6:	22.8672	19.9141
