                    	simple_wmemchr	__wmemchr_avx2	__wmemchr_avx2_rtm	__wmemchr_evex	__wmemchr_evex_rtm	__wmemchr_sse2
Length  256, position   64, alignment  1:	39.9748	7.50787	7.78352	7.27443	7.24901	12.3107
Length  256, position   64, alignment  1:	43.1158	8.43118	8.95374	8.2968	8.32211	14.051
Length  256, position   64, alignment  2:	44.2467	7.67961	7.79739	7.04736	6.78851	10.6301
Length  256, position   64, alignment  2:	34.3546	6.84908	7.4536	7.31851	7.22621	12.5252
Length  256, position   64, alignment  3:	41.5516	8.7336	9.31723	8.6593	8.66707	14.6171
Length  256, position   64, alignment  3:	45.9987	8.73799	8.83076	6.89156	6.78804	11.5187
Length  256, position   64, alignment  4:	37.533	7.05226	7.3112	6.82309	6.78793	11.1392
Length  256, position   64, alignment  4:	37.6931	7.14275	7.80779	6.78813	8.15277	14.8182
Length  256, position   64, alignment  5:	45.9369	8.78088	9.27394	8.66261	8.68983	15.0668
Length  256, position   64, alignment  5:	43.2026	8.11394	8.36818	8.1714	8.60963	15.0053
Length  256, position   64, alignment  6:	46.0196	8.95766	9.32074	8.61545	8.66174	14.4304
Length  256, position   64, alignment  6:	33.9591	6.4675	6.82242	6.8148	6.78819	12.0829
Length  256, position   64, alignment  7:	46.2499	8.98177	9.88771	8.61555	8.64934	15.0392
Length  256, position   64, alignment  7:	41.5437	6.49825	6.82339	6.22224	6.25899	11.5109
Length  192, position   32, alignment  1:	20.1653	4.42862	4.84926	4.43074	4.39914	7.00989
Length  192, position   32, alignment  1:	23.2547	4.71266	5.16145	4.73506	4.68311	7.41479
Length  256, position   32, alignment  1:	22.8045	4.42798	4.84886	4.45132	4.39937	7.28008
Length  256, position   32, alignment  1:	23.266	4.71843	5.16177	4.73645	4.68758	7.36763
Length  512, position   32, alignment  1:	22.2181	4.43372	4.84882	4.43402	4.40079	6.9178
Length  512, position   32, alignment  1:	21.64	4.67006	5.16185	4.72375	4.68402	7.32933
Length  192, position   64, alignment  2:	38.1958	6.49883	7.02176	6.78841	8.08543	14.6148
Length  192, position   64, alignment  2:	46.1636	8.96518	9.27269	8.65733	8.65541	14.3341
Length  256, position   64, alignment  2:	39.7824	7.08444	7.30676	6.82458	6.82639	11.5271
Length  256, position   64, alignment  2:	39.2555	7.47516	8.20891	7.82349	8.00003	11.9173
Length  512, position   64, alignment  2:	39.9951	7.44942	7.82709	7.22623	7.27005	12.2718
Length  512, position   64, alignment  2:	40.0853	8.15527	8.80829	8.00018	8.04041	13.5782
Length  192, position   96, alignment  3:	57.0383	9.17953	9.53857	9.13593	9.25232	13.8462
Length  192, position   96, alignment  3:	53.6387	9.30777	9.73567	9.85258	9.85022	17.1778
Length  256, position   96, alignment  3:	56.9369	9.58192	9.72272	9.84384	9.85349	15.961
Length  256, position   96, alignment  3:	54.6797	9.52499	9.8181	9.84943	9.84471	15.9833
Length  512, position   96, alignment  3:	56.629	9.54993	10.9251	11.2909	11.3499	19.0905
Length  512, position   96, alignment  3:	62.8621	10.6233	11.4245	11.2912	10.987	15.9246
Length  192, position  128, alignment  4:	75.8385	13.5162	13.7796	13.0038	12.9568	22.8612
Length  192, position  128, alignment  4:	72.2628	11.1459	11.3945	10.8523	10.2267	18.7407
Length  256, position  128, alignment  4:	70.8473	11.4056	11.0598	10.3831	11.8834	23.233
Length  256, position  128, alignment  4:	81.1477	12.8699	11.6704	10.8289	10.8719	18.8346
Length  512, position  128, alignment  4:	81.4967	13.5143	13.6627	12.6915	12.0381	19.6311
Length  512, position  128, alignment  4:	66.7251	10.8154	10.7167	10.1715	10.205	18.7458
Length  192, position  160, alignment  5:	104.637	13.304	12.9956	11.9501	11.8408	23.7317
Length  192, position  160, alignment  5:	102.577	12.2927	12.1719	9.86656	10.0175	20.6935
Length  256, position  160, alignment  5:	104.27	14.321	15.4582	12.8273	13.3694	27.6534
Length  256, position  160, alignment  5:	114.141	15.1988	15.4961	13.0342	13.7834	28.4722
Length  512, position  160, alignment  5:	115.432	13.0958	14.3054	12.107	11.4616	24.0696
